#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc
0,6,NL,PinkRoid~,1414,31,5,0,1,36,0.861111111111111
1,5,TH,HONG_KFC,1380,37,13,0,2,50,0.74
2,1,KR,PRO༊,1377,33,11,0,3,44,0.75
3,5,TH,Odizzy,1371,34,11,0,4,45,0.7555555555555551
4,6,NL,Seiishizo,1369,25,5,0,5,30,0.833333333333333
5,5,AU,Icedcoyote,1364,34,14,0,6,48,0.708333333333333
6,2,JP,XカブレラX,1364,41,19,0,6,60,0.683333333333333
7,6,DE,SmokeZzz,1364,25,5,0,6,30,0.833333333333333
8,3,CN,Himiko.,1362,28,8,0,9,36,0.777777777777777
9,2,FR,☆étoile☆,1354,42,18,0,10,60,0.7000000000000001
10,6,FR,SaPyn,1353,33,13,0,11,46,0.717391304347826
11,3,CN,⚕⚕至尊寶⚕⚕,1352,41,19,0,12,60,0.683333333333333
12,4,US,Ex|Shizzy,1350,24,6,0,13,30,0.8
13,6,US,Bor@m,1348,32,12,0,14,44,0.7272727272727271
14,3,CN,俏皮可爱小尾巴,1348,41,19,0,14,60,0.683333333333333
15,2,JP,MiranღNoah,1348,19,1,0,14,20,0.9500000000000001
16,3,CN,帅狗奥特曼,1346,23,4,0,17,27,0.8518518518518511
17,4,MX,conejojo,1346,24,6,0,17,30,0.8
18,2,JP,Ryuji@,1345,33,14,0,19,47,0.7021276595744681
19,5,TH,Mr.VSR`,1345,33,14,0,19,47,0.7021276595744681
20,5,MY,JinYao,1339,29,11,0,21,40,0.725
21,2,JP,ぶるぶるー,1339,21,4,0,21,25,0.84
22,1,KR,#Maximus,1334,40,19,0,23,59,0.677966101694915
23,3,CN,贝吉塔#神,1333,36,15,0,24,51,0.7058823529411761
24,5,TH,Krom`z,1331,26,9,0,25,35,0.7428571428571421
25,5,TH,o2loveo,1331,22,6,0,25,28,0.785714285714285
26,3,CN,杰咪爸,1331,26,8,0,25,34,0.764705882352941
27,2,JP,おさださん,1331,22,5,0,25,27,0.8148148148148141
28,2,JP,だに〜,1330,39,21,0,29,60,0.65
29,6,FR,Rosith,1329,19,3,0,30,22,0.8636363636363631
30,5,SG,~khaii~,1328,31,12,0,31,43,0.720930232558139
31,6,PT,venry,1327,33,15,0,32,48,0.6875
32,6,DE,G2urker,1327,36,19,0,32,55,0.6545454545454541
33,5,VN,BabyDarkness,1327,33,14,0,32,47,0.7021276595744681
34,5,VN,❀Liกh้Aกh,1327,24,6,0,32,30,0.8
35,6,GR,dragalion,1326,16,0,0,36,16,1.0
36,6,FI,Viilipytty,1326,23,7,0,36,30,0.766666666666666
37,3,CN,海贼༒斌哥,1324,25,9,0,38,34,0.7352941176470581
38,4,UY,Elmimo,1324,23,7,0,38,30,0.766666666666666
39,3,CN,༦有莘不破࿐,1324,37,19,0,38,56,0.660714285714285
40,6,FR,LH][Drogo974,1323,36,19,0,41,55,0.6545454545454541
41,6,NL,ThatAapje~,1320,28,11,0,42,39,0.7179487179487181
42,3,CN,有暗奥就有天下,1319,35,17,0,43,52,0.673076923076923
43,6,DE,-ᴛɪᴍʙø-,1318,18,2,0,44,20,0.9
44,3,CN,俏皮可爱小瓦瓦,1318,37,21,0,44,58,0.637931034482758
45,2,JP,Sou0307,1317,28,11,0,46,39,0.7179487179487181
46,3,CN,Howtoplay༢,1317,17,2,0,46,19,0.894736842105263
47,6,FR,Albuza,1316,33,15,0,48,48,0.6875
48,3,CN,o0从麟开始0o,1316,39,21,0,48,60,0.65
49,4,US,TrueWhale,1315,23,7,0,50,30,0.766666666666666
50,6,DE,Reach,1315,39,21,0,50,60,0.65
51,2,JP,きらぱみん✩*,1314,39,21,0,52,60,0.65
52,2,JP,RこまR,1314,24,8,0,52,32,0.75
53,1,KR,아칸-,1314,18,2,0,52,20,0.9
54,4,US,DDSquirtle,1314,22,8,0,52,30,0.7333333333333331
55,4,CA,Alloraan,1314,22,8,0,52,30,0.7333333333333331
56,2,JP,サキ2,1313,25,8,0,57,33,0.757575757575757
57,3,CN,绿茶.,1313,20,4,0,57,24,0.833333333333333
58,2,JP,abuchiyo,1313,22,7,0,57,29,0.758620689655172
59,2,JP,★rough,1313,34,17,0,57,51,0.6666666666666661
60,3,CN,大V威,1313,18,3,0,57,21,0.8571428571428571
61,3,CN,海贼༒卡罗特,1312,17,2,0,62,19,0.894736842105263
62,2,JP,パデオ,1312,24,8,0,62,32,0.75
63,6,DE,cRyTexx,1311,30,14,0,64,44,0.6818181818181811
64,3,CN,指纹在旅行,1311,30,15,0,64,45,0.6666666666666661
65,4,VN,T0n4Ch3n,1311,20,4,0,64,24,0.833333333333333
66,1,KR,빛암마켓,1311,17,2,0,64,19,0.894736842105263
67,6,DE,Show;}Down,1311,35,19,0,64,54,0.648148148148148
68,5,TW,/喵喵/,1310,22,6,0,69,28,0.785714285714285
69,4,SA,Alzaher,1310,23,7,0,69,30,0.766666666666666
70,6,AU,Turtle™,1309,22,7,0,71,29,0.758620689655172
71,2,JP,蓮♡3rd,1309,24,8,0,71,32,0.75
72,4,BD,Ę.Ń.Đ,1309,22,7,0,71,29,0.758620689655172
73,6,FR,Hows,1308,20,5,0,74,25,0.8
74,5,TH,Nαstyßoy,1308,18,4,0,74,22,0.818181818181818
75,5,TH,Ë❃JE_KFC,1308,31,15,0,74,46,0.6739130434782601
76,1,KR,°빛대,1308,32,15,0,74,47,0.6808510638297871
77,4,CN,ི欧皇条码ི,1308,16,2,0,74,18,0.8888888888888881
78,5,TW,冥神GOD,1308,22,6,0,74,28,0.785714285714285
79,4,JP,脳死した子供,1308,19,4,0,74,23,0.826086956521739
80,1,KR,수즈,1307,26,10,0,81,36,0.7222222222222221
81,1,KR,삞싥뭃,1307,22,6,1,81,29,0.758620689655172
82,2,JP,ʚしるばɞ,1307,38,22,0,81,60,0.6333333333333331
83,4,US,R€P,1307,14,0,0,81,14,1.0
84,4,CA,Evan_Beast,1306,22,7,1,85,30,0.7333333333333331
85,1,KR,TM하울링,1306,35,17,0,85,52,0.673076923076923
86,5,VN,Lếu.Lều,1306,39,21,0,85,60,0.65
87,6,BT,VanessaPlease~,1306,25,10,0,85,35,0.7142857142857141
88,1,KR,°쥬리,1306,27,13,0,85,40,0.675
89,1,KR,서빈마마,1306,25,9,0,85,34,0.7352941176470581
90,1,KR,오드나,1306,22,8,0,85,30,0.7333333333333331
91,2,JP,Shaja⛵,1305,29,12,0,92,41,0.707317073170731
92,6,NL,Zanplix,1305,28,13,0,92,41,0.6829268292682921
93,1,KR, 레오나 ,1305,39,21,0,92,60,0.65
94,6,DE,sykesthedog,1304,22,8,0,95,30,0.7333333333333331
95,5,JM,JamRock_,1304,18,4,0,95,22,0.818181818181818
96,4,NL,monkzera_,1303,22,7,0,97,29,0.758620689655172
97,5,TH,-Tnnnn-_,1303,28,13,0,97,41,0.6829268292682921
98,3,CN,陶味侠,1303,25,11,0,97,36,0.6944444444444441
99,6,AT,DønJex,1303,28,12,0,97,40,0.7000000000000001
