#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 14:56:09.274142
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 14:56:09.286070
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 14:56:09.297174
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 14:56:09.308259
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 14:56:09.447125
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 17:51:39.357267
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 17:51:39.368383
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 17:51:39.379199
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 17:51:39.389729
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 17:51:39.517350
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 18:40:01.405604
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 18:40:01.417180
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 18:40:01.428425
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 18:40:01.439391
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 18:40:01.574910
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 21:50:22.112252
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 21:50:22.122988
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 21:50:22.133246
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 21:50:22.143429
57,5,TH,-Tnnnn-_,1408,71,44,0,57,115,0.6173913043478261,2021-01-06 21:50:22.270791
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.441540
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.463917
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.474594
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.485445
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.720965
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:28.494944
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.534752
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.555454
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.565484
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.575546
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.794761
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.509112
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.213077
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.234373
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.244701
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.255366
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.476109
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.209109
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.982414
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.831038
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.855003
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.866686
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.878818
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.141244
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.954427
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.797916
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:12:49.011909
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:13:11.367081
