monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Fran,58,79.5,36,62.1,13,22.4,7,12.1,3,5.2,0,0.0,3,100.0,0,0.0,<--,Fran,11,15.1,6,54.5,2,18.2,1,9.1,1,9.1,0,0.0,0,0.0,0,0.0
Vigor,20,27.4,11,55.0,0,0.0,1,5.0,0,0.0,2,10.0,0,0.0,0,0.0,<--,Vigor,12,16.4,8,66.7,0,0.0,1,8.3,0,0.0,1,8.3,0,0.0,0,0.0
Okeanos,27,37.0,15,55.6,2,7.4,4,14.8,9,33.3,0,0.0,5,55.6,0,0.0,<--,Okeanos,35,47.9,21,60.0,7,20.0,10,28.6,8,22.9,0,0.0,2,25.0,0,0.0
Herteit,7,9.6,6,85.7,0,0.0,4,57.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Herteit,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Oberon,11,15.1,9,81.8,2,18.2,3,27.3,0,0.0,2,18.2,0,0.0,2,100.0,<--,Oberon,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,11,15.1,9,81.8,1,9.1,5,45.5,2,18.2,2,18.2,1,50.0,0,0.0
Triana,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,2,2.7,1,50.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0
XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,3,4.1,3,100.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bolverk,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bolverk,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leona,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leona,1,1.4,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,39,53.4,23,59.0,20,51.3,6,15.4,32,82.1,0,0.0,19,59.4,0,0.0,<--,Seara,22,30.1,13,59.1,16,72.7,5,22.7,11,50.0,0,0.0,5,45.5,0,0.0
Savannah,33,45.2,17,51.5,0,0.0,5,15.2,0,0.0,1,3.0,0,0.0,0,0.0,<--,Savannah,6,8.2,6,100.0,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,19,26.0,12,63.2,13,68.4,3,15.8,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,13,17.8,7,53.8,6,46.2,4,30.8,0,0.0,1,7.7,0,0.0,0,0.0
Juno,21,28.8,11,52.4,1,4.8,7,33.3,0,0.0,3,14.3,0,0.0,0,0.0,<--,Juno,22,30.1,12,54.5,7,31.8,2,9.1,0,0.0,2,9.1,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,18,24.7,8,44.4,0,0.0,4,22.2,1,5.6,1,5.6,1,100.0,1,100.0
Ganymede,5,6.8,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,12,16.4,7,58.3,1,8.3,1,8.3,0,0.0,1,8.3,0,0.0,1,100.0
Velajuel,3,4.1,2,66.7,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,1,100.0,<--,Velajuel,7,9.6,4,57.1,2,28.6,0,0.0,0,0.0,1,14.3,0,0.0,0,0.0
Verdehile,22,30.1,13,59.1,0,0.0,10,45.5,0,0.0,4,18.2,0,0.0,2,50.0,<--,Verdehile,14,19.2,8,57.1,0,0.0,5,35.7,0,0.0,2,14.3,0,0.0,0,0.0
Tetra,4,5.5,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tetra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Abellio,3,4.1,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Abellio,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Elucia,6,8.2,3,50.0,2,33.3,2,33.3,0,0.0,1,16.7,0,0.0,1,100.0,<--,Elucia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,7,9.6,4,57.1,2,28.6,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0
Han,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Han,5,6.8,3,60.0,0,0.0,2,40.0,0,0.0,1,20.0,0,0.0,1,100.0
Daphnis,6,8.2,2,33.3,0,0.0,3,50.0,0,0.0,1,16.7,0,0.0,1,100.0,<--,Daphnis,13,17.8,7,53.8,1,7.7,5,38.5,0,0.0,3,23.1,0,0.0,2,66.7
Mookwol,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Mookwol,1,1.4,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,6,8.2,4,66.7,2,33.3,2,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,4,5.5,2,50.0,1,25.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0
Rica,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Rica,1,1.4,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0
Triton,4,5.5,2,50.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,1,100.0,<--,Triton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ethna,8,11.0,6,75.0,0,0.0,1,12.5,0,0.0,3,37.5,0,0.0,2,66.7,<--,Ethna,3,4.1,3,100.0,0,0.0,1,33.3,0,0.0,2,66.7,0,0.0,0,0.0
Felleria,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Felleria,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Laika,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Laika,4,5.5,3,75.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0
Nicki,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nicki,2,2.7,2,100.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
MeiHouWang,2,2.7,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,MeiHouWang,2,2.7,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,17,23.3,9,52.9,0,0.0,2,11.8,2,11.8,2,11.8,1,50.0,2,100.0
TianLang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,TianLang,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0
ShiHou,6,8.2,3,50.0,0,0.0,2,33.3,0,0.0,2,33.3,0,0.0,1,50.0,<--,ShiHou,3,4.1,3,100.0,0,0.0,1,33.3,0,0.0,2,66.7,0,0.0,0,0.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,6,8.2,5,83.3,3,50.0,0,0.0,0,0.0,1,16.7,0,0.0,0,0.0
Tesarion,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tesarion,2,2.7,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Miho,6,8.2,5,83.3,0,0.0,2,33.3,0,0.0,3,50.0,0,0.0,2,66.7,<--,Miho,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Odin,3,4.1,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Odin,2,2.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bastet,5,6.8,2,40.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,4,5.5,3,75.0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0
Anavel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Anavel,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Artamiel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Artamiel,3,4.1,2,66.7,0,0.0,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0
Taranys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Taranys,2,2.7,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Sekhmet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Sekhmet,1,1.4,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,21,28.8,15,71.4,14,66.7,7,33.3,1,4.8,0,0.0,1,100.0,0,0.0,<--,Vanessa,7,9.6,4,57.1,5,71.4,2,28.6,1,14.3,1,14.3,1,100.0,0,0.0
Wedjat,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Wedjat,1,1.4,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Kahli,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Kahli,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MoLong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MoLong,4,5.5,3,75.0,2,50.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0
Harmonia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Harmonia,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Diana,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,5,6.8,3,60.0,0,0.0,1,20.0,0,0.0,1,20.0,0,0.0,1,100.0
