monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Molly,69,81.2,47,68.1,2,2.9,19,27.5,2,2.9,0,0.0,1,50.0,0,0.0,<--,Molly,9,10.6,4,44.4,0,0.0,5,55.6,6,66.7,0,0.0,3,50.0,0,0.0
Verdehile,11,12.9,6,54.5,0,0.0,0,0.0,0,0.0,1,9.1,0,0.0,1,100.0,<--,Verdehile,11,12.9,8,72.7,0,0.0,2,18.2,0,0.0,1,9.1,0,0.0,0,0.0
Alexandra,61,71.8,41,67.2,0,0.0,11,18.0,0,0.0,2,3.3,0,0.0,2,100.0,<--,Alexandra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Abellio,21,24.7,14,66.7,1,4.8,3,14.3,0,0.0,2,9.5,0,0.0,1,50.0,<--,Abellio,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,63,74.1,38,60.3,27,42.9,7,11.1,39,61.9,0,0.0,23,59.0,0,0.0,<--,Seara,17,20.0,13,76.5,13,76.5,2,11.8,16,94.1,0,0.0,4,25.0,0,0.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,42,49.4,25,59.5,7,16.7,16,38.1,12,28.6,0,0.0,3,25.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,13,15.3,8,61.5,0,0.0,1,7.7,0,0.0,0,0.0,0,0.0,0,0.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,1,1.2,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,7,8.2,7,100.0,0,0.0,0,0.0,0,0.0,1,14.3,0,0.0,0,0.0
Fran,1,1.2,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,36,42.4,21,58.3,6,16.7,22,61.1,2,5.6,1,2.8,1,50.0,0,0.0
Juno,67,78.8,43,64.2,4,6.0,15,22.4,0,0.0,6,9.0,0,0.0,3,50.0,<--,Juno,3,3.5,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Josephine,10,11.8,4,40.0,5,50.0,1,10.0,0,0.0,3,30.0,0,0.0,2,66.7,<--,Josephine,2,2.4,2,100.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,1,1.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,15,17.6,6,40.0,0,0.0,2,13.3,0,0.0,2,13.3,0,0.0,1,50.0
Vigor,3,3.5,1,33.3,0,0.0,0,0.0,0,0.0,2,66.7,0,0.0,1,50.0,<--,Vigor,27,31.8,14,51.9,0,0.0,0,0.0,0,0.0,1,3.7,0,0.0,0,0.0
