monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Artamiel,21,70.0,9,42.9,8,38.1,5,23.8,1,4.8,1,4.8,1,100.0,1,100.0,<--,Artamiel,1,3.3,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,17,56.7,8,47.1,7,41.2,2,11.8,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,6,20.0,2,33.3,1,16.7,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,4,13.3,2,50.0,0,0.0,2,50.0,0,0.0,2,50.0,0,0.0,1,50.0,<--,Verdehile,3,10.0,1,33.3,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,1,100.0
Juno,6,20.0,2,33.3,0,0.0,0,0.0,0,0.0,1,16.7,0,0.0,1,100.0,<--,Juno,2,6.7,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Okeanos,21,70.0,8,38.1,1,4.8,4,19.0,12,57.1,2,9.5,3,25.0,0,0.0,<--,Okeanos,7,23.3,5,71.4,2,28.6,2,28.6,6,85.7,0,0.0,2,33.3,0,0.0
Seara,13,43.3,4,30.8,10,76.9,2,15.4,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,14,46.7,8,57.1,10,71.4,2,14.3,5,35.7,0,0.0,1,20.0,0,0.0
Chiwu,5,16.7,4,80.0,0,0.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,5,16.7,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,4,13.3,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
TianLang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,TianLang,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,2,6.7,0,0.0,1,50.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0
