monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,27,73.0,17,63.0,22,81.5,1,3.7,15,55.6,0,0.0,11,73.3,0,0.0,<--,Seara,8,21.6,5,62.5,5,62.5,3,37.5,8,100.0,0,0.0,3,37.5,0,0.0
Molly,35,94.6,22,62.9,0,0.0,6,17.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,1,2.7,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Ragdoll,36,97.3,23,63.9,3,8.3,7,19.4,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,1,2.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bolverk,9,24.3,5,55.6,0,0.0,1,11.1,0,0.0,2,22.2,0,0.0,1,50.0,<--,Bolverk,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,30,81.1,21,70.0,9,30.0,9,30.0,0,0.0,3,10.0,0,0.0,0,0.0,<--,Juno,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,10,27.0,7,70.0,0,0.0,0,0.0,0,0.0,3,30.0,0,0.0,3,100.0,<--,Vigor,13,35.1,8,61.5,0,0.0,1,7.7,1,7.7,1,7.7,1,100.0,0,0.0
Vanessa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,2,5.4,2,100.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,17,45.9,11,64.7,4,23.5,1,5.9,1,5.9,0,0.0,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,2,5.4,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Verdehile,1,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,4,10.8,3,75.0,0,0.0,3,75.0,0,0.0,1,25.0,0,0.0,0,0.0
MeiHouWang,4,10.8,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MeiHouWang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,22,59.5,14,63.6,5,22.7,0,0.0,7,31.8,0,0.0,4,57.1,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,8,21.6,3,37.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TianLang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,TianLang,3,8.1,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Daphnis,6,16.2,5,83.3,0,0.0,5,83.3,0,0.0,1,16.7,0,0.0,0,0.0
Lulu,2,5.4,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Lulu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Herteit,3,8.1,2,66.7,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,<--,Herteit,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tesarion,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tesarion,7,18.9,5,71.4,0,0.0,4,57.1,0,0.0,2,28.6,0,0.0,1,50.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,6,16.2,4,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
