monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,49,77.8,31,63.3,19,38.8,7,14.3,32,65.3,1,2.0,19,59.4,1,100.0,<--,Seara,14,22.2,8,57.1,9,64.3,3,21.4,14,100.0,0,0.0,6,42.9,0,0.0
Barbara,55,87.3,35,63.6,0,0.0,11,20.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,3,4.8,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Masha,15,23.8,10,66.7,0,0.0,1,6.7,0,0.0,2,13.3,0,0.0,2,100.0,<--,Masha,3,4.8,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Rica,7,11.1,5,71.4,0,0.0,2,28.6,0,0.0,4,57.1,0,0.0,3,75.0,<--,Rica,4,6.3,2,50.0,0,0.0,1,25.0,0,0.0,2,50.0,0,0.0,1,50.0
Chiwu,44,69.8,27,61.4,29,65.9,10,22.7,0,0.0,1,2.3,0,0.0,0,0.0,<--,Chiwu,7,11.1,6,85.7,4,57.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,40,63.5,24,60.0,5,12.5,6,15.0,0,0.0,1,2.5,0,0.0,1,100.0,<--,Okeanos,20,31.7,12,60.0,3,15.0,1,5.0,4,20.0,0,0.0,1,25.0,0,0.0
Cheongpung,37,58.7,24,64.9,0,0.0,4,10.8,0,0.0,6,16.2,0,0.0,4,66.7,<--,Cheongpung,13,20.6,8,61.5,1,7.7,0,0.0,1,7.7,0,0.0,1,100.0,0,0.0
Wolyung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Wolyung,1,1.6,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,2,3.2,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,10,15.9,6,60.0,0,0.0,0,0.0,1,10.0,0,0.0,0,0.0,0,0.0
Pater,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Pater,1,1.6,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,8,12.7,7,87.5,1,12.5,1,12.5,1,12.5,0,0.0,1,100.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,4,6.3,2,50.0,1,25.0,2,50.0,0,0.0,1,25.0,0,0.0,1,100.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,12,19.0,5,41.7,0,0.0,3,25.0,3,25.0,0,0.0,1,33.3,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,3,4.8,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,2,3.2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,3,4.8,1,33.3,3,100.0,0,0.0,0,0.0,2,66.7,0,0.0,1,50.0,<--,Vanessa,11,17.5,6,54.5,8,72.7,3,27.3,1,9.1,0,0.0,1,100.0,0,0.0
Fran,4,6.3,3,75.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,23,36.5,14,60.9,8,34.8,3,13.0,3,13.0,1,4.3,0,0.0,0,0.0
Eshir,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Eshir,3,4.8,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,4,6.3,3,75.0,1,25.0,0,0.0,0,0.0,2,50.0,0,0.0,1,50.0
Psamathe,3,4.8,3,100.0,2,66.7,1,33.3,0,0.0,1,33.3,0,0.0,1,100.0,<--,Psamathe,2,3.2,1,50.0,1,50.0,0,0.0,0,0.0,2,100.0,0,0.0,1,50.0
Ganymede,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,7,11.1,4,57.1,1,14.3,1,14.3,1,14.3,0,0.0,0,0.0,0,0.0
Verdehile,12,19.0,8,66.7,0,0.0,6,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,16,25.4,11,68.8,0,0.0,4,25.0,0,0.0,2,12.5,0,0.0,1,50.0
Leo,6,9.5,3,50.0,1,16.7,5,83.3,0,0.0,1,16.7,0,0.0,1,100.0,<--,Leo,12,19.0,8,66.7,1,8.3,4,33.3,0,0.0,1,8.3,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,11,17.5,7,63.6,0,0.0,3,27.3,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU1,8,12.7,7,87.5,1,12.5,5,62.5,0,0.0,1,12.5,0,0.0,0,0.0
Helena,6,9.5,5,83.3,0,0.0,1,16.7,0,0.0,3,50.0,0,0.0,3,100.0,<--,Helena,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,3,4.8,0,0.0,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,<--,Daphnis,3,4.8,3,100.0,0,0.0,1,33.3,0,0.0,3,100.0,0,0.0,0,0.0
MoLong,1,1.6,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MoLong,2,3.2,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Artamiel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Artamiel,4,6.3,3,75.0,1,25.0,2,50.0,0,0.0,2,50.0,0,0.0,1,50.0
Diana,6,9.5,3,50.0,0,0.0,1,16.7,0,0.0,1,16.7,0,0.0,0,0.0,<--,Diana,7,11.1,6,85.7,0,0.0,2,28.6,0,0.0,1,14.3,0,0.0,0,0.0
Velajuel,8,12.7,5,62.5,2,25.0,3,37.5,0,0.0,3,37.5,0,0.0,1,33.3,<--,Velajuel,3,4.8,1,33.3,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
Triana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,5,7.9,4,80.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ethna,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ethna,5,7.9,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
QitianDasheng,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,QitianDasheng,3,4.8,2,66.7,0,0.0,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0
Juno,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,12,19.0,6,50.0,4,33.3,2,16.7,0,0.0,3,25.0,0,0.0,3,100.0
XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,6,9.5,4,66.7,3,50.0,0,0.0,0,0.0,1,16.7,0,0.0,0,0.0
Josephine,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Josephine,3,4.8,2,66.7,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
Akroma,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Akroma,2,3.2,1,50.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Anavel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Anavel,1,1.6,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,2,3.2,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU,4,6.3,3,75.0,1,25.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Poseidon,5,7.9,3,60.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Poseidon,2,3.2,2,100.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0
Nicki,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nicki,1,1.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Harmonia,1,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Harmonia,1,1.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bolverk,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bolverk,1,1.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vivachel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vivachel,1,1.6,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
