battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,False,Molly,Jager,Fran,Tetra,Artamiel,Molly,None,Jager,Artamiel,Giana,Nephthys,Cheongpung,Savannah,Ragdoll,None,Savannah,Nephthys,Ragdoll,2021-01-05 19:59:36,바니횽,secondbaby
1,False,Jager,Artamiel,Velajuel,Rica,Molly,None,Rica,Artamiel,Molly,Seara,Savannah,Giana,Ragdoll,Fran,Seara,None,Seara,Fran,2021-01-05 19:56:26,바니횽,G-Fam✨
2,True,Molly,Jager,Artamiel,Velajuel,Diana,None,Diana,Artamiel,Diana,Seara,Cheongpung,Lushen,Lydia,Bastet,Seara,None,Seara,Bastet,2021-01-05 19:47:25,바니횽,☆Yor~yuI☆
3,True,Molly,Artamiel,Jager,Velajuel,Juno,Molly,None,Jager,Juno,Fran,Savannah,Miho,Taranys,Garo,None,Garo,Fran,Garo,2021-01-05 19:42:44,바니횽,KRANZE
4,True,Molly,Artamiel,XingZhe,Velajuel,Jager,Molly,None,XingZhe,Jager,Seara,Fran,Vigor,TianLang,Laika,None,Laika,Seara,Laika,2021-01-05 19:39:08,바니횽,Akavali
5,True,Molly,Jager,Fran,XingZhe,Praha,None,Praha,XingZhe,Praha,Seara,Tesarion,Vigor,Garo,Daphnis,Seara,None,Seara,Daphnis,2021-01-05 19:31:34,바니횽,ヤンシー筋肉君
6,True,Molly,Verdehile,Tetra,Jager,Artamiel,Molly,None,Jager,Artamiel,Chiwu,Cheongpung,Okeanos,Verad,Vancliffe/DarkRYU1,None,Verad,Okeanos,Vancliffe/DarkRYU1,2021-01-05 19:29:23,바니횽,ヤンシー筋肉君
7,True,Molly,Jager,XingZhe,Rica,Velajuel,None,Rica,XingZhe,Velajuel,Seara,Vigor,Cheongpung,Miho,Okeanos,Seara,None,Seara,Okeanos,2021-01-05 19:27:06,바니횽,눈밑곰-
8,False,Molly,Hathor,Jager,Artamiel,Hwadam,Molly,None,Jager,Hwadam,Taranys,Velajuel,FengYan,Wedjat,Vigor,None,Vigor,Wedjat,Vigor,2021-01-05 19:22:14,바니횽,삞댥챦
9,False,Molly,Jager,XingZhe,Woosa,Hwadam,None,Hwadam,XingZhe,Hwadam,Vigor,Verdehile,Oberon,Odin,Fran,Fran,None,Oberon,Fran,2021-01-05 19:16:08,바니횽,Shaja⛵
10,False,Molly,Artamiel,Leo,Tetra,Juno,Molly,None,Artamiel,Juno,Nephthys,Tiana,Poseidon,Lushen,Bastet,None,Lushen,Poseidon,Bastet,2021-01-05 19:13:13,바니횽,スロろん
11,True,Molly,Jager,Tetra,Amelia,Artamiel,Molly,None,Jager,Artamiel,Moore/WaterRYU1,Chiwu,Savannah,Helena,Bolverk,None,Bolverk,Moore/WaterRYU1,Bolverk,2021-01-08 22:35:40,바니횽,[Symp]moREvolt
12,False,Molly,Jager,Juno,Rica,XingZhe,None,Rica,Jager,XingZhe,FengYan,Leona,Taranys,Leo,Lulu,FengYan,None,Leo,Lulu,2021-01-08 22:31:48,바니횽,#ZOE
13,True,Molly,Vigor,Artamiel,Tesarion,Juno,None,Tesarion,Artamiel,Juno,Racuni,Fran,Miho,Triana,Loren,Racuni,None,Fran,Loren,2021-01-08 22:26:00,바니횽,WilShizle°
14,False,Velajuel,Barbara,Hathor,Praha,Seara,Seara,None,Hathor,Seara,Okeanos,Fran,Moore/WaterRYU1,Chiwu,Cheongpung,None,Chiwu,Chiwu,Cheongpung,2021-01-08 22:19:55,바니횽,XxTrueDMGxX
15,True,Molly,Velajuel,Jager,Hwadam,Artamiel,Molly,None,Jager,Artamiel,Okeanos,Seara,Oberon,Tesarion,Fran,None,Tesarion,Oberon,Fran,2021-01-08 22:14:12,바니횽,XxTrueDMGxX
16,False,Molly,Artamiel,Velajuel,Verdehile,Juno,Molly,None,Artamiel,Juno,Seara,Okeanos,Cheongpung,Fran,Rica,None,Rica,Seara,Rica,2021-01-08 22:11:11,바니횽,FaceRegret
17,False,Molly,Jager,Velajuel,Thrain,Woosa,None,Woosa,Jager,Woosa,Okeanos,Ganymede,Tesarion,Hathor,Barbara,Okeanos,None,Ganymede,Barbara,2021-01-08 22:06:28,바니횽,-7翼のWinGs-
18,True,Jager,Velajuel,Thrain,Artamiel,Molly,Molly,None,Jager,Molly,Okeanos,Ganymede,Barbara,Hathor,Tesarion,None,Hathor,Ganymede,Tesarion,2021-01-08 22:00:43,바니횽,-7翼のWinGs-
19,True,Molly,Tesarion,Fran,Thrain,Artamiel,None,Thrain,Tesarion,Artamiel,Seara,Vigor,XingZhe,Sekhmet,Daphnis,Seara,None,Seara,Daphnis,2021-01-08 21:48:29,바니횽,FatJules™
20,False,MoLong,XingZhe,Thrain,Artamiel,Molly,MoLong,None,XingZhe,Molly,Vigor,Taranys,Icares,Sekhmet,Vivachel,None,Sekhmet,Sekhmet,Vivachel,2021-01-08 21:42:38,바니횽,EKKO!
21,False,Hathor,Molly,Vigor,Thrain,Hwadam,Hathor,None,Hathor,Hwadam,MoLong,Okeanos,Vivachel,Icares,Velajuel,None,Velajuel,Vivachel,Velajuel,2021-01-08 21:36:29,바니횽,EKKO!
22,True,Molly,Velajuel,Tetra,Jager,Artamiel,Molly,None,Jager,Artamiel,Seara,Okeanos,Giana,Cheongpung,Ganymede,None,Cheongpung,Okeanos,Ganymede,2021-01-08 21:32:21,바니횽,CapTaiN.
23,False,Artamiel,Verdehile,Juno,Thrain,Molly,None,Thrain,Artamiel,Molly,Okeanos,Cheongpung,Miho,Vigor,Ganymede,Okeanos,None,Okeanos,Ganymede,2021-01-08 21:29:44,바니횽,Toven~
24,True,Hathor,Vigor,Okeanos,Thrain,Molly,Molly,None,Okeanos,Molly,MoLong,Harmonia,XingZhe,Sekhmet,Amelia,None,Amelia,MoLong,Amelia,2021-01-08 21:24:19,바니횽,ʚさとすけɞ
25,False,Molly,Artamiel,Jager,Juno,Verdehile,None,Juno,Artamiel,Verdehile,Chiwu,Jeogun,Asima,Dover,Seara,Chiwu,None,Asima,Seara,2021-01-08 21:20:27,바니횽,wengweng
