#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
43,1,KR,바니횽,1410,49,22,0,43,71,0.6901408450704221,2021-01-06 12:13:40.075144
51,1,KR,바니횽,1410,49,22,0,51,71,0.6901408450704221,2021-01-06 14:35:24.911220
51,1,KR,바니횽,1410,49,22,0,51,71,0.6901408450704221,2021-01-06 14:56:07.793211
51,1,KR,바니횽,1410,49,22,0,51,71,0.6901408450704221,2021-01-06 17:51:38.013822
51,1,KR,바니횽,1410,49,22,0,51,71,0.6901408450704221,2021-01-06 18:39:59.910676
51,1,KR,바니횽,1410,49,22,0,51,71,0.6901408450704221,2021-01-06 21:50:20.766289
99,1,KR,바니횽,1410,49,22,0,96,71,0.6901408450704221,2021-01-07 02:04:05.225241
99,1,KR,바니횽,1410,49,22,0,96,71,0.6901408450704221,2021-01-07 02:42:39.438623
99,1,KR,바니횽,1410,49,22,0,96,71,0.6901408450704221,2021-01-07 03:27:25.108617
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.395572
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.019798
63,1,KR,바니횽,1454,59,26,0,60,85,0.6941176470588231,2021-01-08 01:08:16.357164
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 21:49:58.697382
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:39.116495
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:46.400954
