monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Molly,25,96.2,13,52.0,0,0.0,5,20.0,12,48.0,0,0.0,8,66.7,0,0.0,<--,Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jager,17,65.4,10,58.8,10,58.8,1,5.9,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,3,11.5,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,8,30.8,4,50.0,2,25.0,3,37.5,1,12.5,0,0.0,1,100.0,0,0.0
Tetra,5,19.2,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tetra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Artamiel,18,69.2,10,55.6,7,38.9,6,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Artamiel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,3,11.5,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,2,7.7,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,8,30.8,4,50.0,0,0.0,1,12.5,0,0.0,1,12.5,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,4,15.4,2,50.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,100.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,2,7.7,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,11,42.3,7,63.6,0,0.0,1,9.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,2,7.7,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0
Rica,3,11.5,1,33.3,0,0.0,0,0.0,0,0.0,3,100.0,0,0.0,1,33.3,<--,Rica,1,3.8,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0
Seara,1,3.8,0,0.0,0,0.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,<--,Seara,10,38.5,7,70.0,7,70.0,1,10.0,5,50.0,0,0.0,1,20.0,0,0.0
Diana,1,3.8,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Diana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Lushen,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lushen,2,7.7,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Lydia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lydia,1,3.8,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bastet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,2,7.7,1,50.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,7,26.9,2,28.6,0,0.0,4,57.1,0,0.0,1,14.3,0,0.0,0,0.0,<--,Juno,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Miho,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Miho,4,15.4,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Taranys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Taranys,4,15.4,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Garo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Garo,2,7.7,2,100.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0
XingZhe,6,23.1,3,50.0,5,83.3,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,2,7.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,3,11.5,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,8,30.8,4,50.0,0,0.0,1,12.5,0,0.0,1,12.5,0,0.0,1,100.0
