#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
11,3,CN,大V威,1415,42,16,0,12,58,0.7241379310344821,2021-01-05 22:04:55.202582
11,3,CN,大V威,1415,42,16,0,12,58,0.7241379310344821,2021-01-05 22:20:08.103944
83,3,CN,大V威,1402,45,20,0,83,65,0.6923076923076921,2021-01-06 12:13:40.831866
83,3,CN,大V威,1402,45,20,0,83,65,0.6923076923076921,2021-01-06 12:13:41.108135
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 14:35:25.658203
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 14:35:25.946732
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 14:35:26.135979
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 14:56:08.470155
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 14:56:08.728420
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 14:56:08.914141
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 17:51:38.638077
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 17:51:38.875234
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 17:51:39.034825
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 18:40:00.617810
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 18:40:00.883146
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 18:40:01.057997
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 21:50:21.381018
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 21:50:21.628137
88,3,CN,大V威,1402,45,20,0,88,65,0.6923076923076921,2021-01-06 21:50:21.784238
10,3,CN,大V威,1486,60,23,0,10,83,0.72289156626506,2021-01-07 02:04:05.956575
10,3,CN,大V威,1486,60,23,0,10,83,0.72289156626506,2021-01-07 02:04:06.213175
10,3,CN,大V威,1486,60,23,0,10,83,0.72289156626506,2021-01-07 02:04:06.375017
10,3,CN,大V威,1486,60,23,0,10,83,0.72289156626506,2021-01-07 02:04:07.227314
10,3,CN,大V威,1486,60,23,0,10,83,0.72289156626506,2021-01-07 02:42:40.173912
10,3,CN,大V威,1486,60,23,0,10,83,0.72289156626506,2021-01-07 02:42:40.431249
10,3,CN,大V威,1486,60,23,0,10,83,0.72289156626506,2021-01-07 02:42:40.593709
10,3,CN,大V威,1486,60,23,0,10,83,0.72289156626506,2021-01-07 02:42:41.449890
10,3,CN,大V威,1486,60,23,0,10,83,0.72289156626506,2021-01-07 03:27:26.156532
10,3,CN,大V威,1486,60,23,0,10,83,0.72289156626506,2021-01-07 03:27:26.552867
10,3,CN,大V威,1486,60,23,0,10,83,0.72289156626506,2021-01-07 03:27:26.768746
10,3,CN,大V威,1486,60,23,0,10,83,0.72289156626506,2021-01-07 03:27:28.198377
11,3,CN,大V威,1486,60,23,0,11,83,0.72289156626506,2021-01-07 03:48:34.379854
11,3,CN,大V威,1486,60,23,0,11,83,0.72289156626506,2021-01-07 03:48:34.731017
11,3,CN,大V威,1486,60,23,0,11,83,0.72289156626506,2021-01-07 03:48:34.918724
11,3,CN,大V威,1486,60,23,0,11,83,0.72289156626506,2021-01-07 03:48:36.234174
11,3,CN,大V威,1486,60,23,0,11,83,0.72289156626506,2021-01-07 03:48:36.629483
11,3,CN,大V威,1486,60,23,0,11,83,0.72289156626506,2021-01-07 13:39:11.017802
11,3,CN,大V威,1486,60,23,0,11,83,0.72289156626506,2021-01-07 13:39:11.374854
11,3,CN,大V威,1486,60,23,0,11,83,0.72289156626506,2021-01-07 13:39:11.577360
11,3,CN,大V威,1486,60,23,0,11,83,0.72289156626506,2021-01-07 13:39:12.929643
11,3,CN,大V威,1486,60,23,0,11,83,0.72289156626506,2021-01-07 13:39:13.332366
20,3,CN,大V威,1490,73,33,0,21,106,0.688679245283018,2021-01-08 01:08:17.464288
20,3,CN,大V威,1490,73,33,0,21,106,0.688679245283018,2021-01-08 01:08:17.879766
20,3,CN,大V威,1490,73,33,0,21,106,0.688679245283018,2021-01-08 01:08:18.098513
20,3,CN,大V威,1490,73,33,0,21,106,0.688679245283018,2021-01-08 01:08:19.647911
20,3,CN,大V威,1490,73,33,0,21,106,0.688679245283018,2021-01-08 01:08:20.090051
20,3,CN,大V威,1490,73,33,0,21,106,0.688679245283018,2021-01-08 01:08:20.929887
20,3,CN,大V威,1490,73,33,0,21,106,0.688679245283018,2021-01-08 01:08:21.169693
