monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,22,34.9,13,59.1,17,77.3,4,18.2,9,40.9,0,0.0,6,66.7,0,0.0,<--,Seara,27,42.9,20,74.1,11,40.7,7,25.9,11,40.7,1,3.7,2,18.2,0,0.0
Cheongpung,39,61.9,30,76.9,0,0.0,6,15.4,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,8,12.7,4,50.0,0,0.0,6,75.0,1,12.5,0,0.0,0,0.0,0,0.0
Giana,40,63.5,26,65.0,5,12.5,8,20.0,2,5.0,1,2.5,1,50.0,1,100.0,<--,Giana,9,14.3,7,77.8,0,0.0,3,33.3,1,11.1,0,0.0,1,100.0,0,0.0
Asima,38,60.3,28,73.7,8,21.1,17,44.7,0,0.0,20,52.6,0,0.0,15,75.0,<--,Asima,1,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nicki,44,69.8,32,72.7,0,0.0,2,4.5,0,0.0,1,2.3,0,0.0,1,100.0,<--,Nicki,1,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ganymede,2,3.2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,10,15.9,6,60.0,3,30.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,6,9.5,2,33.3,0,0.0,2,33.3,0,0.0,2,33.3,0,0.0,2,100.0,<--,Juno,15,23.8,12,80.0,2,13.3,2,13.3,0,0.0,3,20.0,0,0.0,1,33.3
Verdehile,1,1.6,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,16,25.4,12,75.0,0,0.0,3,18.8,0,0.0,3,18.8,0,0.0,1,33.3
Triton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triton,4,6.3,2,50.0,0,0.0,0,0.0,0,0.0,2,50.0,0,0.0,1,50.0
Okeanos,42,66.7,29,69.0,7,16.7,3,7.1,20,47.6,0,0.0,12,60.0,0,0.0,<--,Okeanos,18,28.6,11,61.1,1,5.6,8,44.4,9,50.0,0,0.0,3,33.3,0,0.0
