battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Seara,Eleanor,TianLang,Cheongpung,Rica,None,Rica,Seara,Rica,Okeanos,Yeonhong,Fei,Masha,Chiwu,Okeanos,None,Fei,Chiwu,2021-01-07 03:59:31,Bor@m,Duhstin
1,True,Seara,Eleanor,TianLang,Daphnis,Rica,None,Rica,Seara,Rica,Okeanos,Yeonhong,Cheongpung,Ganymede,Chiwu,Okeanos,None,Ganymede,Chiwu,2021-01-07 03:55:45,Bor@m,Duhstin
2,False,Okeanos,Daphnis,Praha,Cheongpung,Seara,Seara,None,Daphnis,Seara,Fran,Molly,Vigor,Jager,Juno,None,Jager,Jager,Juno,2021-01-07 03:51:17,Bor@m,VanessaPlease~
3,True,Seara,Praha,Vigor,Rica,Eleanor,None,Rica,Praha,Eleanor,Okeanos,Daphnis,Ganymede,Elenoa,Cheongpung,Okeanos,None,Elenoa,Cheongpung,2021-01-07 03:31:44,Bor@m,Nect
4,True,Okeanos,Psamathe,Daphnis,Rica,Triana,None,Rica,Psamathe,Triana,Seara,Ethna,Masha,Tablo,Fran,Seara,None,Seara,Fran,2021-01-07 01:26:45,Bor@m,hopsteph
5,False,Seara,Eleanor,Daphnis,Moore/WaterRYU1,Ethna,Seara,None,Seara,Ethna,Okeanos,Giana,Ganymede,Vanessa,Chiwu,None,Vanessa,Vanessa,Chiwu,2021-01-07 01:25:19,Bor@m,Odizzy
6,False,Seara,Eleanor,Josephine,Juno,TianLang,Seara,None,Seara,TianLang,Okeanos,Bolverk,Fran,XingZhe,Giana,None,XingZhe,XingZhe,Giana,2021-01-07 01:20:34,Bor@m,Seiishizo
7,True,Psamathe,Okeanos,TianLang,Dover,Daphnis,None,Dover,Psamathe,Daphnis,Giana,Ragdoll,Vigor,Molly,Seara,Seara,None,Ragdoll,Seara,2021-01-06 21:28:26,Bor@m,帅狗奥特曼
8,True,Seara,Okeanos,Eleanor,Daphnis,Moore/WaterRYU1,Seara,None,Seara,Moore/WaterRYU1,Chiwu,Hathor,Ganymede,ShiHou,Vanessa,None,Vanessa,Chiwu,Vanessa,2021-01-06 20:55:55,Bor@m,알테프사
9,True,Okeanos,Psamathe,Daphnis,TianLang,Eleanor,None,Eleanor,Psamathe,Eleanor,Seara,Yeonhong,Rica,Sian,Juno,Seara,None,Seara,Juno,2021-01-06 20:54:07,Bor@m,Raii!
10,True,Seara,Daphnis,Rica,TianLang,Eleanor,Seara,None,Seara,Eleanor,Okeanos,Ganymede,Yeonhong,Sian,Vanessa,None,Sian,Yeonhong,Vanessa,2021-01-06 20:52:18,Bor@m,Raii!
11,False,Seara,Okeanos,Daphnis,TianLang,Eleanor,None,Eleanor,Seara,Eleanor,Velajuel,Josephine,Rica,Malite,Wedjat,Velajuel,None,Velajuel,Wedjat,2021-01-06 20:48:51,Bor@m,삞댥챦
12,False,Seara,TianLang,Okeanos,Psamathe,Eleanor,Seara,None,Psamathe,Eleanor,Velajuel,Wedjat,Rica,Malite,Josephine,None,Malite,Wedjat,Josephine,2021-01-06 20:45:14,Bor@m,삞댥챦
13,True,Eleanor,Daphnis,Praha,Psamathe,Seara,Seara,None,Psamathe,Seara,Okeanos,Fran,Vigor,Laika,Barbara,None,Barbara,Okeanos,Barbara,2021-01-06 20:33:28,Bor@m,隐ཀ卡比獸࿒࿐
14,True,Seara,Josephine,Rica,TianLang,Eleanor,Seara,None,Seara,Eleanor,Vanessa,Okeanos,Yeonhong,Ganymede,Fran,None,Fran,Vanessa,Fran,2021-01-06 09:51:33,Bor@m,TopaV
15,True,Okeanos,Ethna,Cheongpung,TianLang,Psamathe,None,TianLang,Okeanos,Psamathe,Seara,Savannah,Barbara,Moore/WaterRYU1,Daphnis,Seara,None,Seara,Daphnis,2021-01-07 12:08:03,Bor@m,Alzaher
16,True,Seara,Eleanor,Verdehile,Rica,Leo,None,Rica,Seara,Leo,Savannah,Jamire,Barbara,Tablo,Okeanos,Okeanos,None,Jamire,Okeanos,2021-01-07 08:38:37,Bor@m,RこまR
17,True,Seara,Eleanor,Daphnis,Ethna,Leo,None,Leo,Seara,Leo,Okeanos,Savannah,Tablo,Jamire,Barbara,Okeanos,None,Tablo,Barbara,2021-01-07 08:35:06,Bor@m,RこまR
18,True,Seara,TianLang,Rica,Daphnis,Eleanor,Seara,None,Seara,Eleanor,Ragdoll,Okeanos,Cheongpung,Savannah,Chiwu,None,Chiwu,Okeanos,Chiwu,2021-01-07 06:45:03,Bor@m,Kenballer
