#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 14:56:09.224992
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 14:56:09.237219
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 14:56:09.249202
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 14:56:09.261111
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 14:56:09.424088
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 17:51:39.310788
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 17:51:39.321942
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 17:51:39.333238
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 17:51:39.344907
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 17:51:39.496359
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 18:40:01.356492
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 18:40:01.368302
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 18:40:01.379977
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 18:40:01.392680
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 18:40:01.552453
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 21:50:22.065438
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 21:50:22.077433
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 21:50:22.088740
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 21:50:22.100123
12,6,US,Bor@m,1451,55,22,0,13,77,0.7142857142857141,2021-01-06 21:50:22.248341
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 02:04:06.698975
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 02:04:06.710640
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 02:04:06.722416
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 02:04:06.734412
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 02:04:06.865119
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 02:04:07.391099
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 02:42:40.931865
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 02:42:40.943524
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 02:42:40.955146
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 02:42:40.966938
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 02:42:41.092860
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 02:42:41.604159
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 03:27:27.393202
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 03:27:27.405122
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 03:27:27.416882
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 03:27:27.428720
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 03:27:27.698333
11,6,US,Bor@m,1483,64,25,0,12,89,0.719101123595505,2021-01-07 03:27:28.482746
12,6,US,Bor@m,1483,64,25,0,13,89,0.719101123595505,2021-01-07 03:48:35.489891
12,6,US,Bor@m,1483,64,25,0,13,89,0.719101123595505,2021-01-07 03:48:35.500899
12,6,US,Bor@m,1483,64,25,0,13,89,0.719101123595505,2021-01-07 03:48:35.511951
12,6,US,Bor@m,1483,64,25,0,13,89,0.719101123595505,2021-01-07 03:48:35.522883
12,6,US,Bor@m,1483,64,25,0,13,89,0.719101123595505,2021-01-07 03:48:35.773846
12,6,US,Bor@m,1483,64,25,0,13,89,0.719101123595505,2021-01-07 03:48:36.498076
12,6,US,Bor@m,1483,64,25,0,13,89,0.719101123595505,2021-01-07 13:39:12.166726
12,6,US,Bor@m,1483,64,25,0,13,89,0.719101123595505,2021-01-07 13:39:12.177957
12,6,US,Bor@m,1483,64,25,0,13,89,0.719101123595505,2021-01-07 13:39:12.189259
12,6,US,Bor@m,1483,64,25,0,13,89,0.719101123595505,2021-01-07 13:39:12.200681
12,6,US,Bor@m,1483,64,25,0,13,89,0.719101123595505,2021-01-07 13:39:12.454218
12,6,US,Bor@m,1483,64,25,0,13,89,0.719101123595505,2021-01-07 13:39:13.197520
12,6,US,Bor@m,1483,64,25,0,13,89,0.719101123595505,2021-01-07 13:39:13.969988
12,6,US,Bor@m,1513,91,40,0,13,131,0.694656488549618,2021-01-08 01:08:18.779397
12,6,US,Bor@m,1513,91,40,0,13,131,0.694656488549618,2021-01-08 01:08:18.791939
12,6,US,Bor@m,1513,91,40,0,13,131,0.694656488549618,2021-01-08 01:08:18.804677
12,6,US,Bor@m,1513,91,40,0,13,131,0.694656488549618,2021-01-08 01:08:18.817382
12,6,US,Bor@m,1513,91,40,0,13,131,0.694656488549618,2021-01-08 01:08:19.105067
12,6,US,Bor@m,1513,91,40,0,13,131,0.694656488549618,2021-01-08 01:08:19.941541
12,6,US,Bor@m,1513,91,40,0,13,131,0.694656488549618,2021-01-08 01:08:20.784266
12,6,US,Bor@m,1513,91,40,0,13,131,0.694656488549618,2021-01-08 01:12:48.998786
12,6,US,Bor@m,1513,91,40,0,13,131,0.694656488549618,2021-01-08 01:13:11.353876
