monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,59,80.8,37,62.7,44,74.6,8,13.6,36,61.0,0,0.0,20,55.6,0,0.0,<--,Seara,14,19.2,12,85.7,9,64.3,1,7.1,14,100.0,0,0.0,2,14.3,0,0.0
Eleanor,42,57.5,29,69.0,0,0.0,11,26.2,0,0.0,2,4.8,0,0.0,1,50.0,<--,Eleanor,2,2.7,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
TianLang,35,47.9,21,60.0,0,0.0,9,25.7,0,0.0,5,14.3,0,0.0,5,100.0,<--,TianLang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,13,17.8,10,76.9,0,0.0,5,38.5,0,0.0,3,23.1,0,0.0,2,66.7,<--,Cheongpung,16,21.9,13,81.2,0,0.0,4,25.0,1,6.2,2,12.5,0,0.0,1,50.0
Rica,22,30.1,17,77.3,0,0.0,6,27.3,0,0.0,15,68.2,0,0.0,12,80.0,<--,Rica,5,6.8,2,40.0,0,0.0,0,0.0,0,0.0,2,40.0,0,0.0,1,50.0
Okeanos,43,58.9,27,62.8,3,7.0,5,11.6,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,30,41.1,22,73.3,9,30.0,1,3.3,13,43.3,0,0.0,2,15.4,0,0.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,9,12.3,6,66.7,1,11.1,0,0.0,0,0.0,1,11.1,0,0.0,1,100.0
Fei,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fei,1,1.4,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,3,4.1,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,19,26.0,11,57.9,10,52.6,8,42.1,0,0.0,1,5.3,0,0.0,0,0.0
Daphnis,43,58.9,29,67.4,2,4.7,5,11.6,0,0.0,1,2.3,0,0.0,1,100.0,<--,Daphnis,6,8.2,6,100.0,0,0.0,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0
Ganymede,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,15,20.5,11,73.3,6,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Praha,8,11.0,6,75.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Praha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,6,8.2,4,66.7,1,16.7,2,33.3,0,0.0,1,16.7,0,0.0,1,100.0,<--,Fran,14,19.2,11,78.6,0,0.0,4,28.6,1,7.1,1,7.1,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,13,17.8,6,46.2,0,0.0,6,46.2,2,15.4,0,0.0,2,100.0,0,0.0
Vigor,5,6.8,3,60.0,0,0.0,1,20.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Vigor,12,16.4,10,83.3,0,0.0,1,8.3,0,0.0,1,8.3,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,2,2.7,0,0.0,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Juno,10,13.7,7,70.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,10,13.7,6,60.0,0,0.0,8,80.0,0,0.0,2,20.0,0,0.0,1,50.0
Elenoa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Elenoa,1,1.4,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Psamathe,20,27.4,17,85.0,19,95.0,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Psamathe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triana,3,4.1,1,33.3,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,<--,Triana,5,6.8,3,60.0,0,0.0,3,60.0,0,0.0,1,20.0,0,0.0,0,0.0
Ethna,19,26.0,13,68.4,0,0.0,4,21.1,0,0.0,3,15.8,0,0.0,3,100.0,<--,Ethna,2,2.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tablo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tablo,3,4.1,3,100.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU1,8,11.0,2,25.0,0,0.0,5,62.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU1,4,5.5,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,13,17.8,9,69.2,0,0.0,6,46.2,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,13,17.8,10,76.9,7,53.8,6,46.2,2,15.4,3,23.1,0,0.0,1,33.3
Josephine,7,9.6,6,85.7,2,28.6,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Josephine,4,5.5,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Bolverk,2,2.7,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bolverk,3,4.1,1,33.3,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,1,1.4,0,0.0,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0
Dover,2,2.7,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Dover,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,10,13.7,3,30.0,1,10.0,0,0.0,1,10.0,0,0.0,1,100.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,3,4.1,3,100.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ShiHou,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,ShiHou,3,4.1,3,100.0,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0
Sian,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Sian,2,2.7,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Velajuel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,7,9.6,3,42.9,3,42.9,0,0.0,1,14.3,0,0.0,1,100.0,0,0.0
Malite,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Malite,2,2.7,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Wedjat,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Wedjat,2,2.7,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Laika,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Laika,3,4.1,3,100.0,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,14,19.2,13,92.9,0,0.0,6,42.9,0,0.0,3,21.4,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,14,19.2,10,71.4,0,0.0,1,7.1,0,0.0,1,7.1,0,0.0,1,100.0
Verdehile,9,12.3,7,77.8,0,0.0,4,44.4,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,3,4.1,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,5,6.8,4,80.0,0,0.0,4,80.0,0,0.0,3,60.0,0,0.0,2,66.7,<--,Leo,4,5.5,2,50.0,1,25.0,0,0.0,0,0.0,1,25.0,0,0.0,1,100.0
Jamire,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jamire,2,2.7,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Artamiel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Artamiel,6,8.2,5,83.3,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,3,4.1,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Anavel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Anavel,2,2.7,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
MoLong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MoLong,8,11.0,3,37.5,7,87.5,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0
Icares,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Icares,3,4.1,1,33.3,0,0.0,0,0.0,0,0.0,2,66.7,0,0.0,2,100.0
SonZhangLao,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,SonZhangLao,1,1.4,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU,2,2.7,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Valantis,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Valantis,2,2.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Poseidon,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Poseidon,3,4.1,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Bastet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,3,4.1,2,66.7,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
Triton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triton,3,4.1,1,33.3,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,1,100.0
Harmonia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Harmonia,4,5.5,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Han,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Han,3,4.1,3,100.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Aschubel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Aschubel,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0
Amelia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Amelia,4,5.5,3,75.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,1,100.0
Taranys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Taranys,2,2.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Shan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Shan,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Gemini,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Gemini,2,2.7,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Bellenus,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bellenus,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Wolyung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Wolyung,1,1.4,1,100.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Lushen,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lushen,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Shimitae,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Shimitae,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nicki,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nicki,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bernard,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bernard,1,1.4,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Oberon,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Oberon,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Zeratu,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,<--,Zeratu,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MeiHouWang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MeiHouWang,2,2.7,2,100.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Jeogun,3,4.1,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jeogun,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fermion,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fermion,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Abellio,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Abellio,1,1.4,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Lulu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lulu,2,2.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Pater,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Pater,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
