#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.188659
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.233685
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.598152
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:28.402475
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.302434
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.343966
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.677004
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.424783
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.970258
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.012786
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.359194
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.121251
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.891057
79,4,US,DDSquirtle,1447,76,44,0,79,120,0.6333333333333331,2021-01-08 01:08:18.559059
79,4,US,DDSquirtle,1447,76,44,0,79,120,0.6333333333333331,2021-01-08 01:08:18.607247
79,4,US,DDSquirtle,1447,76,44,0,79,120,0.6333333333333331,2021-01-08 01:08:18.998658
79,4,US,DDSquirtle,1447,76,44,0,79,120,0.6333333333333331,2021-01-08 01:08:19.858716
79,4,US,DDSquirtle,1447,76,44,0,79,120,0.6333333333333331,2021-01-08 01:08:20.700034
79,4,US,DDSquirtle,1447,76,44,0,79,120,0.6333333333333331,2021-01-08 01:12:48.908122
79,4,US,DDSquirtle,1447,76,44,0,79,120,0.6333333333333331,2021-01-08 01:13:11.262491
79,4,US,DDSquirtle,1447,76,44,0,79,120,0.6333333333333331,2021-01-08 12:19:42.475961
66,4,US,DDSquirtle,1472,87,50,0,66,137,0.6350364963503651,2021-01-08 21:49:58.257910
66,4,US,DDSquirtle,1472,87,50,0,66,137,0.6350364963503651,2021-01-08 21:49:58.883705
66,4,US,DDSquirtle,1472,87,50,0,66,137,0.6350364963503651,2021-01-08 23:21:38.639612
66,4,US,DDSquirtle,1472,87,50,0,66,137,0.6350364963503651,2021-01-08 23:21:39.297720
66,4,US,DDSquirtle,1472,87,50,0,66,137,0.6350364963503651,2021-01-08 23:21:45.963208
66,4,US,DDSquirtle,1472,87,50,0,66,137,0.6350364963503651,2021-01-08 23:21:46.583624
48,4,US,DDSquirtle,1510,111,65,0,48,176,0.630681818181818,2021-01-09 22:19:56.219759
48,4,US,DDSquirtle,1510,111,65,0,48,176,0.630681818181818,2021-01-10 17:08:57.668799
48,4,US,DDSquirtle,1510,111,65,0,48,176,0.630681818181818,2021-01-10 17:08:58.437874
