monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Cheongpung,91,100.0,55,60.4,5,5.5,13,14.3,43,47.3,0,0.0,23,53.5,0,0.0,<--,Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,62,68.1,36,58.1,35,56.5,27,43.5,0,0.0,3,4.8,0,0.0,1,33.3,<--,Vanessa,4,4.4,2,50.0,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Shan,45,49.5,29,64.4,5,11.1,9,20.0,0,0.0,5,11.1,0,0.0,3,60.0,<--,Shan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Gemini,49,53.8,31,63.3,23,46.9,7,14.3,0,0.0,13,26.5,0,0.0,10,76.9,<--,Gemini,1,1.1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,61,67.0,37,60.7,0,0.0,11,18.0,0,0.0,2,3.3,0,0.0,1,50.0,<--,Barbara,7,7.7,3,42.9,0,0.0,0,0.0,1,14.3,0,0.0,1,100.0,0,0.0
Seara,14,15.4,8,57.1,5,35.7,2,14.3,0,0.0,1,7.1,0,0.0,0,0.0,<--,Seara,43,47.3,27,62.8,27,62.8,3,7.0,19,44.2,0,0.0,6,31.6,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,28,30.8,19,67.9,19,67.9,1,3.6,1,3.6,0,0.0,0,0.0,0,0.0
Okeanos,43,47.3,27,62.8,1,2.3,5,11.6,0,0.0,3,7.0,0,0.0,2,66.7,<--,Okeanos,41,45.1,24,58.5,2,4.9,8,19.5,17,41.5,0,0.0,7,41.2,0,0.0
Fran,2,2.2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,23,25.3,12,52.2,7,30.4,0,0.0,2,8.7,0,0.0,0,0.0,0,0.0
Eshir,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Eshir,9,9.9,7,77.8,0,0.0,5,55.6,0,0.0,2,22.2,0,0.0,0,0.0
Ethna,10,11.0,6,60.0,3,30.0,2,20.0,0,0.0,3,30.0,0,0.0,2,66.7,<--,Ethna,8,8.8,3,37.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,33,36.3,19,57.6,3,9.1,21,63.6,0,0.0,5,15.2,0,0.0,4,80.0
Diana,8,8.8,5,62.5,0,0.0,0,0.0,0,0.0,2,25.0,0,0.0,1,50.0,<--,Diana,10,11.0,3,30.0,0,0.0,0,0.0,0,0.0,1,10.0,0,0.0,1,100.0
Bastet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,7,7.7,5,71.4,0,0.0,2,28.6,0,0.0,0,0.0,0,0.0,0,0.0
Shimitae,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Shimitae,4,4.4,2,50.0,2,50.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0
Triton,9,9.9,5,55.6,0,0.0,1,11.1,0,0.0,1,11.1,0,0.0,1,100.0,<--,Triton,4,4.4,3,75.0,0,0.0,3,75.0,0,0.0,2,50.0,0,0.0,0,0.0
Psamathe,6,6.6,4,66.7,1,16.7,3,50.0,0,0.0,2,33.3,0,0.0,2,100.0,<--,Psamathe,2,2.2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,19,20.9,12,63.2,0,0.0,1,5.3,1,5.3,0,0.0,0,0.0,0,0.0
Verdehile,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,34,37.4,18,52.9,0,0.0,12,35.3,1,2.9,7,20.6,1,100.0,4,57.1
Velajuel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,3,3.3,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Ganymede,12,13.2,7,58.3,2,16.7,1,8.3,0,0.0,1,8.3,0,0.0,1,100.0,<--,Ganymede,15,16.5,9,60.0,2,13.3,0,0.0,0,0.0,1,6.7,0,0.0,1,100.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,8,8.8,3,37.5,0,0.0,0,0.0,2,25.0,1,12.5,1,50.0,1,100.0
Antares,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Antares,4,4.4,2,50.0,0,0.0,1,25.0,0,0.0,3,75.0,0,0.0,1,33.3
Tablo,5,5.5,4,80.0,1,20.0,1,20.0,0,0.0,5,100.0,0,0.0,4,80.0,<--,Tablo,3,3.3,2,66.7,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Juno,9,9.9,6,66.7,2,22.2,3,33.3,0,0.0,3,33.3,0,0.0,3,100.0,<--,Juno,11,12.1,6,54.5,1,9.1,3,27.3,0,0.0,2,18.2,0,0.0,1,50.0
Anavel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Anavel,1,1.1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Praha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Praha,2,2.2,2,100.0,1,50.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0
Ursha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ursha,1,1.1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Helena,7,7.7,3,42.9,0,0.0,1,14.3,0,0.0,1,14.3,0,0.0,0,0.0,<--,Helena,2,2.2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nyx,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nyx,1,1.1,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Thrain,4,4.4,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Thrain,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Icares,5,5.5,3,60.0,0,0.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Icares,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,8,8.8,3,37.5,1,12.5,3,37.5,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,11,12.1,9,81.8,0,0.0,3,27.3,0,0.0,1,9.1,0,0.0,0,0.0
