monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,27,67.5,16,59.3,5,18.5,3,11.1,11,40.7,0,0.0,7,63.6,0,0.0,<--,Okeanos,10,25.0,4,40.0,3,30.0,2,20.0,5,50.0,0,0.0,2,40.0,0,0.0
Vigor,8,20.0,4,50.0,0,0.0,1,12.5,0,0.0,1,12.5,0,0.0,0,0.0,<--,Vigor,9,22.5,6,66.7,0,0.0,1,11.1,0,0.0,3,33.3,0,0.0,2,66.7
Lulu,5,12.5,3,60.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Lulu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ethna,13,32.5,7,53.8,1,7.7,1,7.7,0,0.0,1,7.7,0,0.0,0,0.0,<--,Ethna,4,10.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,31,77.5,17,54.8,19,61.3,9,29.0,13,41.9,0,0.0,7,53.8,0,0.0,<--,Seara,8,20.0,5,62.5,2,25.0,4,50.0,5,62.5,0,0.0,2,40.0,0,0.0
Fran,24,60.0,15,62.5,12,50.0,1,4.2,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,5,12.5,2,40.0,2,40.0,0,0.0,1,20.0,0,0.0,1,100.0,0,0.0
Molly,7,17.5,3,42.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,3,7.5,1,33.3,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
Artamiel,4,10.0,4,100.0,0,0.0,3,75.0,0,0.0,3,75.0,0,0.0,3,100.0,<--,Artamiel,3,7.5,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,6,15.0,4,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,1,2.5,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
