monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,36,85.7,26,72.2,4,11.1,6,16.7,23,63.9,0,0.0,16,69.6,0,0.0,<--,Okeanos,6,14.3,6,100.0,1,16.7,0,0.0,5,83.3,0,0.0,0,0.0,0,0.0
Yeonhong,37,88.1,27,73.0,11,29.7,3,8.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,8,19.0,6,75.0,2,25.0,1,12.5,0,0.0,2,25.0,0,0.0,2,100.0,<--,Daphnis,5,11.9,3,60.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,6,14.3,5,83.3,0,0.0,0,0.0,0,0.0,1,16.7,0,0.0,0,0.0,<--,Vigor,6,14.3,3,50.0,0,0.0,2,33.3,0,0.0,1,16.7,0,0.0,0,0.0
Ganymede,10,23.8,8,80.0,1,10.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,6,14.3,5,83.3,0,0.0,3,50.0,0,0.0,1,16.7,0,0.0,0,0.0
Molly,3,7.1,3,100.0,0,0.0,2,66.7,0,0.0,2,66.7,0,0.0,2,100.0,<--,Molly,8,19.0,5,62.5,0,0.0,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0
Juno,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,5,11.9,2,40.0,0,0.0,2,40.0,0,0.0,1,20.0,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,3,7.1,1,33.3,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Fran,3,7.1,3,100.0,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,13,31.0,8,61.5,3,23.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,14,33.3,12,85.7,11,78.6,2,14.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,23,54.8,15,65.2,14,60.9,7,30.4,8,34.8,0,0.0,3,37.5,0,0.0
