#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:04:54.139052
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:04:54.268528
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:04:54.417879
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:04:54.553838
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:04:54.687100
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:04:54.790615
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:04:54.818253
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:04:54.950750
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:04:55.054725
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:04:55.237321
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:20:07.111422
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:20:07.231114
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:20:07.374839
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:20:07.485865
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:20:07.613527
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:20:07.715085
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:20:07.741615
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:20:07.857591
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:20:07.959417
5,4,UY,Elmimo,1443,45,15,0,6,60,0.75,2021-01-05 22:20:08.137448
