monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Lulu,51,60.0,35,68.6,0,0.0,2,3.9,0,0.0,3,5.9,0,0.0,1,33.3,<--,Lulu,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,41,48.2,24,58.5,15,36.6,7,17.1,1,2.4,4,9.8,1,100.0,4,100.0,<--,Okeanos,30,35.3,26,86.7,7,23.3,3,10.0,7,23.3,0,0.0,2,28.6,0,0.0
Ragdoll,66,77.6,43,65.2,0,0.0,29,43.9,2,3.0,0,0.0,1,50.0,0,0.0,<--,Ragdoll,10,11.8,7,70.0,2,20.0,0,0.0,4,40.0,0,0.0,1,25.0,0,0.0
Jager,49,57.6,37,75.5,16,32.7,9,18.4,0,0.0,2,4.1,0,0.0,2,100.0,<--,Jager,9,10.6,6,66.7,3,33.3,1,11.1,1,11.1,0,0.0,0,0.0,0,0.0
Amelia,5,5.9,2,40.0,0,0.0,2,40.0,0,0.0,3,60.0,0,0.0,1,33.3,<--,Amelia,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0
Seara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,32,37.6,24,75.0,28,87.5,0,0.0,7,21.9,0,0.0,3,42.9,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,4,4.7,2,50.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,29,34.1,17,58.6,0,0.0,0,0.0,0,0.0,4,13.8,0,0.0,3,75.0,<--,Vigor,18,21.2,12,66.7,0,0.0,3,16.7,0,0.0,2,11.1,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,27,31.8,18,66.7,0,0.0,0,0.0,6,22.2,0,0.0,2,33.3,0,0.0
Fran,65,76.5,46,70.8,22,33.8,7,10.8,36,55.4,0,0.0,28,77.8,0,0.0,<--,Fran,18,21.2,9,50.0,2,11.1,10,55.6,17,94.4,0,0.0,9,52.9,0,0.0
Savannah,23,27.1,15,65.2,0,0.0,5,21.7,0,0.0,4,17.4,0,0.0,3,75.0,<--,Savannah,11,12.9,10,90.9,0,0.0,0,0.0,0,0.0,1,9.1,0,0.0,0,0.0
Leo,9,10.6,7,77.8,0,0.0,6,66.7,0,0.0,3,33.3,0,0.0,3,100.0,<--,Leo,1,1.2,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,17,20.0,8,47.1,0,0.0,14,82.4,0,0.0,0,0.0,0,0.0,0,0.0
Harmonia,1,1.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Harmonia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Taranys,17,20.0,9,52.9,0,0.0,3,17.6,0,0.0,2,11.8,0,0.0,0,0.0,<--,Taranys,2,2.4,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Pater,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Pater,2,2.4,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Laika,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Laika,4,4.7,4,100.0,1,25.0,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0
MoLong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MoLong,8,9.4,6,75.0,4,50.0,1,12.5,0,0.0,1,12.5,0,0.0,0,0.0
Bolverk,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bolverk,3,3.5,1,33.3,0,0.0,0,0.0,0,0.0,2,66.7,0,0.0,2,100.0
Julianne,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Julianne,1,1.2,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bastet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,6,7.1,5,83.3,0,0.0,4,66.7,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,17,20.0,13,76.5,17,100.0,0,0.0,0,0.0,3,17.6,0,0.0,1,33.3,<--,Vanessa,2,2.4,1,50.0,2,100.0,0,0.0,2,100.0,0,0.0,1,50.0,0,0.0
Juno,4,4.7,2,50.0,1,25.0,2,50.0,0,0.0,2,50.0,0,0.0,1,50.0,<--,Juno,6,7.1,4,66.7,0,0.0,2,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,6,7.1,6,100.0,0,0.0,1,16.7,0,0.0,1,16.7,0,0.0,0,0.0
