battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Okeanos,Han,Giana,Triana,Leo,Okeanos,None,Han,Leo,Seara,Barbara,Savannah,Raki,Chiwu,None,Raki,Seara,Chiwu,2021-01-05 09:22:14,Ex|Shizzy,Harunek
1,True,Okeanos,Han,WaterRYU,Rica,Giana,Okeanos,None,WaterRYU,Giana,Seara,Ragdoll,Chiwu,Ganymede,Hathor,None,Ganymede,Chiwu,Hathor,2021-01-05 09:17:26,Ex|Shizzy,渣男锡纸烫®
2,False,Giana,Chiwu,Han,Rica,Okeanos,None,Rica,Chiwu,Okeanos,Seara,Bellenus,Verdehile,Savannah,Tiana,Seara,None,Seara,Tiana,2021-01-05 09:13:23,Ex|Shizzy,TreNasty
3,True,Okeanos,Giana,Han,Savannah,Ganymede,None,Ganymede,Okeanos,Ganymede,Seara,Juno,Vigor,XingZhe,Molly,Seara,None,Seara,Molly,2021-01-05 09:10:09,Ex|Shizzy,HardLog
4,False,Seara,Giana,Han,Savannah,Fran,Fran,None,Seara,Fran,XingZhe,Molly,Jager,Rica,Ragdoll,None,Rica,XingZhe,Ragdoll,2021-01-05 09:07:19,Ex|Shizzy,MiranღNoah
5,False,Okeanos,Giana,Han,Ganymede,Savannah,None,Ganymede,Ganymede,Savannah,Ragdoll,Seara,Molly,Jager,Fran,Fran,None,Seara,Fran,2021-01-05 09:02:42,Ex|Shizzy,MiranღNoah
6,True,Okeanos,Giana,Han,Savannah,Molly,None,Molly,Okeanos,Molly,Barbara,Juno,Triana,Verdehile,Seara,Seara,None,Juno,Seara,2021-01-05 08:58:45,Ex|Shizzy,G2urker
7,True,Okeanos,Giana,Savannah,Triana,Han,Okeanos,None,Okeanos,Han,Seara,Barbara,Anavel,Verdehile,Juno,None,Verdehile,Seara,Juno,2021-01-05 08:53:56,Ex|Shizzy,G2urker
8,True,Okeanos,Fran,Giana,Han,Seara,None,Han,Okeanos,Seara,Molly,XingZhe,Velajuel,Tetra,Akroma,Molly,None,XingZhe,Akroma,2021-01-05 07:27:45,Ex|Shizzy,我想六哥了
9,True,Molly,Giana,Seara,Vigor,Velajuel,None,Velajuel,Seara,Velajuel,Fran,Ragdoll,Ganymede,Rica,Okeanos,Fran,None,Fran,Okeanos,2021-01-05 07:17:41,Ex|Shizzy,o0从麟开始0o
10,True,Okeanos,Fran,Giana,Seara,Ganymede,None,Seara,Okeanos,Ganymede,Molly,Ragdoll,Velajuel,Artamiel,Amelia,Molly,None,Artamiel,Amelia,2021-01-05 07:14:04,Ex|Shizzy,o0从麟开始0o
11,False,Fran,Han,WaterRYU,Savannah,Giana,Fran,None,WaterRYU,Giana,Seara,Barbara,Chiwu,Vanessa,Okeanos,None,Vanessa,Vanessa,Okeanos,2021-01-05 07:09:47,Ex|Shizzy,☆étoile☆
12,True,Okeanos,Giana,WaterRYU,Leo,Han,None,Leo,Okeanos,Han,Chiwu,Savannah,Psamathe,Fran,Seara,Seara,None,Psamathe,Seara,2021-01-05 07:04:35,Ex|Shizzy,Raxxaz~
13,True,Okeanos,Fran,Han,Ganymede,Giana,None,Ganymede,Ganymede,Giana,Seara,Savannah,Molly,Jager,Daphnis,Seara,None,Seara,Daphnis,2021-01-05 06:59:34,Ex|Shizzy,VanessaPlease~
14,True,Okeanos,Han,Ganymede,Savannah,Giana,Okeanos,None,Ganymede,Giana,Fran,Seara,Molly,Velajuel,Juno,None,Velajuel,Seara,Juno,2021-01-05 06:55:35,Ex|Shizzy,VanessaPlease~
