monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,68,67.3,55,80.9,18,26.5,4,5.9,26,38.2,1,1.5,22,84.6,0,0.0,<--,Okeanos,30,29.7,28,93.3,2,6.7,12,40.0,15,50.0,0,0.0,0,0.0,0,0.0
Han,76,75.2,64,84.2,3,3.9,14,18.4,2,2.6,3,3.9,2,100.0,3,100.0,<--,Han,3,3.0,2,66.7,3,100.0,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0
Giana,93,92.1,82,88.2,0,0.0,31,33.3,16,17.2,0,0.0,15,93.8,0,0.0,<--,Giana,5,5.0,1,20.0,0,0.0,4,80.0,5,100.0,0,0.0,4,80.0,0,0.0
Triana,4,4.0,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,5,5.0,5,100.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0
Leo,10,9.9,8,80.0,0,0.0,7,70.0,0,0.0,6,60.0,0,0.0,5,83.3,<--,Leo,7,6.9,6,85.7,3,42.9,2,28.6,0,0.0,3,42.9,0,0.0,1,33.3
Seara,53,52.5,44,83.0,35,66.0,9,17.0,2,3.8,1,1.9,2,100.0,1,100.0,<--,Seara,44,43.6,37,84.1,25,56.8,8,18.2,16,36.4,0,0.0,4,25.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,14,13.9,11,78.6,0,0.0,1,7.1,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,42,41.6,35,83.3,0,0.0,5,11.9,0,0.0,12,28.6,0,0.0,11,91.7,<--,Savannah,23,22.8,18,78.3,0,0.0,4,17.4,0,0.0,0,0.0,0,0.0,0,0.0
Raki,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Raki,1,1.0,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Chiwu,8,7.9,4,50.0,3,37.5,2,25.0,0,0.0,1,12.5,0,0.0,0,0.0,<--,Chiwu,25,24.8,22,88.0,7,28.0,7,28.0,0,0.0,1,4.0,0,0.0,0,0.0
Moore/WaterRYU1,37,36.6,31,83.8,18,48.6,5,13.5,0,0.0,3,8.1,0,0.0,2,66.7,<--,Moore/WaterRYU1,5,5.0,5,100.0,3,60.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0
Rica,14,13.9,11,78.6,0,0.0,1,7.1,0,0.0,5,35.7,0,0.0,3,60.0,<--,Rica,3,3.0,2,66.7,0,0.0,1,33.3,0,0.0,1,33.3,0,0.0,1,100.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,16,15.8,12,75.0,0,0.0,7,43.8,2,12.5,0,0.0,0,0.0,0,0.0
Ganymede,17,16.8,13,76.5,10,58.8,4,23.5,0,0.0,8,47.1,0,0.0,6,75.0,<--,Ganymede,15,14.9,13,86.7,2,13.3,1,6.7,1,6.7,2,13.3,0,0.0,0,0.0
Hathor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hathor,5,5.0,4,80.0,0,0.0,3,60.0,1,20.0,0,0.0,0,0.0,0,0.0
Bellenus,1,1.0,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bellenus,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,2,2.0,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,15,14.9,14,93.3,0,0.0,1,6.7,0,0.0,5,33.3,0,0.0,0,0.0
Tiana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tiana,1,1.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,5,5.0,5,100.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Juno,29,28.7,27,93.1,2,6.9,4,13.8,0,0.0,3,10.3,0,0.0,0,0.0
Vigor,8,7.9,8,100.0,0,0.0,1,12.5,0,0.0,2,25.0,0,0.0,2,100.0,<--,Vigor,10,9.9,8,80.0,0,0.0,0,0.0,1,10.0,1,10.0,0,0.0,0,0.0
XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,10,9.9,8,80.0,5,50.0,2,20.0,0,0.0,3,30.0,0,0.0,1,33.3
Molly,11,10.9,10,90.9,0,0.0,4,36.4,0,0.0,2,18.2,0,0.0,2,100.0,<--,Molly,25,24.8,17,68.0,0,0.0,8,32.0,3,12.0,3,12.0,0,0.0,1,33.3
Fran,34,33.7,28,82.4,5,14.7,7,20.6,4,11.8,1,2.9,2,50.0,1,100.0,<--,Fran,23,22.8,20,87.0,7,30.4,6,26.1,4,17.4,2,8.7,1,25.0,1,50.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,10,9.9,5,50.0,2,20.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0
Anavel,1,1.0,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Anavel,2,2.0,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,5,5.0,5,100.0,0,0.0,2,40.0,0,0.0,4,80.0,0,0.0,4,100.0,<--,Velajuel,8,7.9,8,100.0,3,37.5,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0
Tetra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tetra,13,12.9,13,100.0,0,0.0,1,7.7,0,0.0,5,38.5,0,0.0,0,0.0
Akroma,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Akroma,3,3.0,3,100.0,0,0.0,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0
Artamiel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Artamiel,6,5.9,5,83.3,2,33.3,2,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Amelia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Amelia,3,3.0,3,100.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,12,11.9,10,83.3,9,75.0,2,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,11,10.9,9,81.8,11,100.0,0,0.0,0,0.0,1,9.1,0,0.0,1,100.0
Psamathe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Psamathe,3,3.0,3,100.0,2,66.7,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0
Daphnis,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Daphnis,3,3.0,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,13,12.9,12,92.3,0,0.0,1,7.7,0,0.0,1,7.7,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,6,5.9,6,100.0,0,0.0,0,0.0,0,0.0,1,16.7,0,0.0,0,0.0
MeiHouWang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MeiHouWang,3,3.0,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Pater,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Pater,7,6.9,7,100.0,0,0.0,1,14.3,0,0.0,2,28.6,0,0.0,0,0.0
