monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,22,73.3,12,54.5,20,90.9,2,9.1,9,40.9,0,0.0,6,66.7,0,0.0,<--,Seara,8,26.7,6,75.0,5,62.5,2,25.0,8,100.0,0,0.0,2,25.0,0,0.0
Ganymede,12,40.0,5,41.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,4,13.3,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Eshir,5,16.7,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Eshir,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,18,60.0,11,61.1,6,33.3,1,5.6,1,5.6,0,0.0,0,0.0,0,0.0,<--,Fran,4,13.3,3,75.0,2,50.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU,6,20.0,3,50.0,1,16.7,3,50.0,0,0.0,4,66.7,0,0.0,3,75.0,<--,Moore/WaterRYU,2,6.7,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,18,60.0,13,72.2,0,0.0,4,22.2,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,12,40.0,5,41.7,4,33.3,3,25.0,7,58.3,0,0.0,5,71.4,0,0.0
Bastet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,3,10.0,2,66.7,0,0.0,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0
Cheongpung,24,80.0,15,62.5,0,0.0,6,25.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,3,10.0,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,2,6.7,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Daphnis,2,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,5,16.7,2,40.0,2,40.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0
Han,16,53.3,12,75.0,2,12.5,1,6.2,0,0.0,2,12.5,0,0.0,1,50.0,<--,Han,1,3.3,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0
