#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
15,4,US,FlagBearer,1441,45,15,0,16,60,0.75,2021-01-06 14:35:26.193114
15,4,US,FlagBearer,1441,45,15,0,16,60,0.75,2021-01-06 14:56:08.966891
15,4,US,FlagBearer,1441,45,15,0,16,60,0.75,2021-01-06 17:51:39.081804
15,4,US,FlagBearer,1441,45,15,0,16,60,0.75,2021-01-06 18:40:01.109103
15,4,US,FlagBearer,1441,45,15,0,16,60,0.75,2021-01-06 21:50:21.830565
16,4,US,FlagBearer,1466,50,17,0,17,67,0.7462686567164181,2021-01-07 02:04:06.427192
16,4,US,FlagBearer,1466,50,17,0,17,67,0.7462686567164181,2021-01-07 02:04:07.354169
16,4,US,FlagBearer,1466,50,17,0,17,67,0.7462686567164181,2021-01-07 02:42:40.649689
16,4,US,FlagBearer,1466,50,17,0,17,67,0.7462686567164181,2021-01-07 02:42:41.567909
16,4,US,FlagBearer,1466,50,17,0,17,67,0.7462686567164181,2021-01-07 03:27:26.855103
16,4,US,FlagBearer,1466,50,17,0,17,67,0.7462686567164181,2021-01-07 03:27:28.369264
17,4,US,FlagBearer,1466,50,17,0,18,67,0.7462686567164181,2021-01-07 03:48:34.996990
17,4,US,FlagBearer,1466,50,17,0,18,67,0.7462686567164181,2021-01-07 03:48:36.394129
17,4,US,FlagBearer,1466,50,17,0,18,67,0.7462686567164181,2021-01-07 03:48:36.785213
17,4,US,FlagBearer,1466,50,17,0,18,67,0.7462686567164181,2021-01-07 13:39:11.657785
17,4,US,FlagBearer,1466,50,17,0,18,67,0.7462686567164181,2021-01-07 13:39:13.089803
17,4,US,FlagBearer,1466,50,17,0,18,67,0.7462686567164181,2021-01-07 13:39:13.497617
30,4,US,FlagBearer,1475,67,30,0,31,97,0.6907216494845361,2021-01-08 01:08:18.185800
30,4,US,FlagBearer,1475,67,30,0,31,97,0.6907216494845361,2021-01-08 01:08:19.824370
30,4,US,FlagBearer,1475,67,30,0,31,97,0.6907216494845361,2021-01-08 01:08:20.266626
30,4,US,FlagBearer,1475,67,30,0,31,97,0.6907216494845361,2021-01-08 01:08:21.119703
30,4,US,FlagBearer,1475,67,30,0,31,97,0.6907216494845361,2021-01-08 01:08:21.378186
30,4,US,FlagBearer,1475,67,30,0,31,97,0.6907216494845361,2021-01-08 01:08:21.437731
