monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Nicki,37,100.0,30,81.1,6,16.2,6,16.2,16,43.2,0,0.0,13,81.2,0,0.0,<--,Nicki,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bernard,31,83.8,25,80.6,6,19.4,2,6.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bernard,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,8,21.6,7,87.5,4,50.0,2,25.0,0,0.0,1,12.5,0,0.0,1,100.0,<--,Daphnis,2,5.4,1,50.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,7,18.9,6,85.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Draco,33,89.2,26,78.8,1,3.0,4,12.1,0,0.0,2,6.1,0,0.0,2,100.0,<--,Draco,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,3,8.1,3,100.0,2,66.7,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,18,48.6,14,77.8,0,0.0,2,11.1,11,61.1,0,0.0,3,27.3,0,0.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,1,2.7,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,6,16.2,4,66.7,0,0.0,0,0.0,0,0.0,1,16.7,0,0.0,0,0.0
Sian,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Sian,1,2.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,9,24.3,9,100.0,4,44.4,2,22.2,4,44.4,0,0.0,0,0.0,0,0.0
Julie,12,32.4,8,66.7,0,0.0,3,25.0,0,0.0,5,41.7,0,0.0,3,60.0,<--,Julie,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Lushen,13,35.1,10,76.9,0,0.0,7,53.8,0,0.0,3,23.1,0,0.0,3,100.0,<--,Lushen,3,8.1,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Beelzebub,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Beelzebub,1,2.7,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Hwadam,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Hwadam,2,5.4,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,2,5.4,2,100.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Rica,1,2.7,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Rica,2,5.4,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,7,18.9,7,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,5,13.5,4,80.0,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0
Triton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triton,2,5.4,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
