battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,False,Seara,Savannah,Soha,Praha,Okeanos,Seara,None,Seara,Okeanos,Velajuel,Vanessa,Josephine,Diana,Fran,None,Diana,Vanessa,Fran,2021-01-07 15:56:56,GreekSteeler,°마틴
1,True,Seara,Savannah,Okeanos,Soha,Praha,Seara,None,Okeanos,Praha,Vigor,Verdehile,Lulu,Miho,Fran,None,Miho,Vigor,Fran,2021-01-07 15:53:14,GreekSteeler,༒Ryuza༒
2,False,Seara,Savannah,Ganymede,Vanessa,Praha,None,Vanessa,Vanessa,Praha,Chiwu,Verdehile,Ethna,Bellenus,Okeanos,Okeanos,None,Chiwu,Okeanos,2021-01-07 15:49:53,GreekSteeler,Mockingjay20
3,False,Seara,Savannah,Ganymede,Vanessa,Praha,None,Vanessa,Vanessa,Praha,Chiwu,Ethna,Juno,Rica,Okeanos,Okeanos,None,Chiwu,Okeanos,2021-01-07 15:46:24,GreekSteeler,Mockingjay20
4,False,Okeanos,Savannah,Ganymede,Praha,Seara,Seara,None,Ganymede,Seara,Antares,Miho,Diana,Tetra,Verdehile,None,Tetra,Antares,Verdehile,2021-01-07 15:41:32,GreekSteeler,十二个符文
5,True,Okeanos,Savannah,Ganymede,Praha,Seara,Seara,None,Ganymede,Seara,Tesarion,Miho,Molly,Fran,Josephine,None,Fran,Fran,Josephine,2021-01-07 15:36:43,GreekSteeler,꧁༺道༻꧂
6,True,Seara,Okeanos,Savannah,Praha,Ganymede,None,Praha,Seara,Ganymede,Fran,Diana,Jeanne,Rica,Amelia,Fran,None,Jeanne,Amelia,2021-01-07 15:27:14,GreekSteeler,都世和
7,False,Seara,Okeanos,Ganymede,Praha,Savannah,Seara,None,Seara,Savannah,Bastet,Juno,Velajuel,Woosa,Chiwu,None,Woosa,Woosa,Chiwu,2021-01-07 15:24:49,GreekSteeler,マロンとリス
8,False,Savannah,Okeanos,Praha,Ganymede,Seara,Seara,None,Ganymede,Seara,Cheongpung,Bering,Bellenus,ShiHou,Jamire,None,ShiHou,ShiHou,Jamire,2021-01-07 15:22:21,GreekSteeler,꧁Đen꧂
9,True,Okeanos,Savannah,Vanessa,Ganymede,Praha,None,Praha,Vanessa,Praha,Seara,Loren,Daphnis,Verdehile,Woosa,Seara,None,Seara,Woosa,2021-01-07 15:20:16,GreekSteeler,赵香菜菜子
10,True,Seara,Savannah,Okeanos,Praha,Vanessa,Seara,None,Seara,Vanessa,Ganymede,Cheongpung,Rica,Woonsa,Fran,None,Woonsa,Ganymede,Fran,2021-01-07 15:18:20,GreekSteeler,石蔭村長個孫
11,False,Okeanos,Savannah,Ganymede,Vanessa,Praha,None,Praha,Vanessa,Praha,Seara,Juno,Fran,MeiHouWang,Leo,Seara,None,MeiHouWang,Leo,2021-01-07 15:16:02,GreekSteeler,keikan89
12,True,Okeanos,Savannah,Praha,Ganymede,Seara,None,Ganymede,Ganymede,Seara,Vigor,Verdehile,Hathor,FengYan,Velajuel,Vigor,None,Hathor,Velajuel,2021-01-07 14:21:08,GreekSteeler,JezZelleDGreat
13,True,Okeanos,Savannah,Ganymede,Praha,Seara,None,Praha,Ganymede,Seara,MoLong,Bolverk,FengYan,Woosa,Odin,MoLong,None,MoLong,Odin,2021-01-07 04:28:15,GreekSteeler,我杀了你爹
14,True,Seara,Okeanos,Savannah,Ganymede,Praha,Seara,None,Seara,Praha,Fran,Vigor,Chow,Woosa,Juno,None,Woosa,Fran,Juno,2021-01-07 02:19:34,GreekSteeler,Opi-Quo
15,True,Seara,Okeanos,Savannah,Vanessa,Ganymede,Seara,None,Vanessa,Ganymede,Verad,Delphoi,Bellenus,Nephthys,Praha,None,Nephthys,Nephthys,Praha,2021-01-07 16:33:12,GreekSteeler,^O^熊二
16,True,Seara,Okeanos,Savannah,Vanessa,Ganymede,Seara,None,Vanessa,Ganymede,Charlotte,Poseidon,Triton,Gemini,Fran,None,Fran,Gemini,Fran,2021-01-07 16:29:46,GreekSteeler,`柠檬精
17,False,Okeanos,Savannah,Praha,Vanessa,Ganymede,None,Vanessa,Okeanos,Ganymede,Seara,Leo,Josephine,Taranys,Molly,Seara,None,Leo,Molly,2021-01-07 16:25:28,GreekSteeler,喵喵拳.奎恩
18,False,Seara,Savannah,Vanessa,Ganymede,Praha,Seara,None,Vanessa,Praha,Daphnis,Okeanos,Ethna,Raki,Leo,None,Raki,Raki,Leo,2021-01-07 16:20:48,GreekSteeler,℠ΛПDY
