monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,29,90.6,15,51.7,8,27.6,11,37.9,16,55.2,0,0.0,7,43.8,0,0.0,<--,Seara,3,9.4,1,33.3,1,33.3,0,0.0,3,100.0,0,0.0,2,66.7,0,0.0
Savannah,31,96.9,16,51.6,0,0.0,2,6.5,0,0.0,2,6.5,0,0.0,2,100.0,<--,Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Soha,5,15.6,3,60.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Soha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Praha,30,93.8,14,46.7,2,6.7,9,30.0,0,0.0,6,20.0,0,0.0,3,50.0,<--,Praha,1,3.1,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,25,78.1,16,64.0,5,20.0,4,16.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,6,18.8,0,0.0,1,16.7,3,50.0,3,50.0,0,0.0,3,100.0,0,0.0
Velajuel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,4,12.5,2,50.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,13,40.6,4,30.8,9,69.2,1,7.7,0,0.0,4,30.8,0,0.0,0,0.0,<--,Vanessa,2,6.2,1,50.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Josephine,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Josephine,3,9.4,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Diana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,4,12.5,1,25.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,100.0
Fran,4,12.5,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,13,40.6,8,61.5,4,30.8,6,46.2,2,15.4,2,15.4,0,0.0,0,0.0
Vigor,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,5,15.6,5,100.0,2,40.0,0,0.0,2,40.0,0,0.0,0,0.0,0,0.0
Verdehile,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,7,21.9,4,57.1,0,0.0,2,28.6,0,0.0,0,0.0,0,0.0,0,0.0
Lulu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lulu,1,3.1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
