#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
50,3,CN,砖头硬邦邦,1408,26,3,0,51,29,0.896551724137931,2021-01-06 12:13:39.871070
50,3,CN,砖头硬邦邦,1408,26,3,0,51,29,0.896551724137931,2021-01-06 12:13:39.989277
50,3,CN,砖头硬邦邦,1408,26,3,0,51,29,0.896551724137931,2021-01-06 12:13:40.146342
50,3,CN,砖头硬邦邦,1408,26,3,0,51,29,0.896551724137931,2021-01-06 12:13:40.253055
50,3,CN,砖头硬邦邦,1408,26,3,0,51,29,0.896551724137931,2021-01-06 12:13:40.373475
50,3,CN,砖头硬邦邦,1408,26,3,0,51,29,0.896551724137931,2021-01-06 12:13:40.498504
50,3,CN,砖头硬邦邦,1408,26,3,0,51,29,0.896551724137931,2021-01-06 12:13:40.626966
50,3,CN,砖头硬邦邦,1408,26,3,0,51,29,0.896551724137931,2021-01-06 12:13:41.020505
56,3,CN,砖头硬邦邦,1408,26,3,0,57,29,0.896551724137931,2021-01-06 14:35:24.711595
56,3,CN,砖头硬邦邦,1408,26,3,0,57,29,0.896551724137931,2021-01-06 14:35:24.828394
56,3,CN,砖头硬邦邦,1408,26,3,0,57,29,0.896551724137931,2021-01-06 14:35:24.989583
56,3,CN,砖头硬邦邦,1408,26,3,0,57,29,0.896551724137931,2021-01-06 14:35:25.091756
56,3,CN,砖头硬邦邦,1408,26,3,0,57,29,0.896551724137931,2021-01-06 14:35:25.211695
56,3,CN,砖头硬邦邦,1408,26,3,0,57,29,0.896551724137931,2021-01-06 14:35:25.331645
56,3,CN,砖头硬邦邦,1408,26,3,0,57,29,0.896551724137931,2021-01-06 14:35:25.451493
56,3,CN,砖头硬邦邦,1408,26,3,0,57,29,0.896551724137931,2021-01-06 14:35:25.867857
56,3,CN,砖头硬邦邦,1408,26,3,0,57,29,0.896551724137931,2021-01-06 14:35:26.330893
56,3,CN,砖头硬邦邦,1408,26,3,0,57,29,0.896551724137931,2021-01-06 14:56:07.613764
56,3,CN,砖头硬邦邦,1408,26,3,0,57,29,0.896551724137931,2021-01-06 14:56:07.718779
