#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
84,3,CN,Howtoplay༢,1361,21,2,0,84,23,0.9130434782608691,2021-01-05 22:04:54.200295
84,3,CN,Howtoplay༢,1361,21,2,0,84,23,0.9130434782608691,2021-01-05 22:04:54.328766
84,3,CN,Howtoplay༢,1361,21,2,0,84,23,0.9130434782608691,2021-01-05 22:04:54.477238
84,3,CN,Howtoplay༢,1361,21,2,0,84,23,0.9130434782608691,2021-01-05 22:04:54.615705
84,3,CN,Howtoplay༢,1361,21,2,0,84,23,0.9130434782608691,2021-01-05 22:04:54.747474
84,3,CN,Howtoplay༢,1361,21,2,0,84,23,0.9130434782608691,2021-01-05 22:04:54.892133
84,3,CN,Howtoplay༢,1361,21,2,0,84,23,0.9130434782608691,2021-01-05 22:04:55.010705
84,3,CN,Howtoplay༢,1361,21,2,0,84,23,0.9130434782608691,2021-01-05 22:20:07.167725
84,3,CN,Howtoplay༢,1361,21,2,0,84,23,0.9130434782608691,2021-01-05 22:20:07.289231
84,3,CN,Howtoplay༢,1361,21,2,0,84,23,0.9130434782608691,2021-01-05 22:20:07.433037
84,3,CN,Howtoplay༢,1361,21,2,0,84,23,0.9130434782608691,2021-01-05 22:20:07.544532
84,3,CN,Howtoplay༢,1361,21,2,0,84,23,0.9130434782608691,2021-01-05 22:20:07.672676
84,3,CN,Howtoplay༢,1361,21,2,0,84,23,0.9130434782608691,2021-01-05 22:20:07.800871
84,3,CN,Howtoplay༢,1361,21,2,0,84,23,0.9130434782608691,2021-01-05 22:20:07.916107
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:24.829717
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:24.984796
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.195766
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.356275
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.535472
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.725975
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.903644
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.427892
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.025756
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.898728
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:28.062502
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.139024
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.281497
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.476051
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.634624
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.804427
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.979429
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.143163
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.627079
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.152762
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.960942
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.111471
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.902123
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:09.748301
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:09.895625
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.106539
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.264236
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.432665
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.609770
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.778819
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.267912
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.816954
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.646525
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.801308
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.619339
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.798203
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.061040
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.225798
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.448803
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.626563
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.819169
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.014237
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.200479
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.740521
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.363007
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.335185
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.506769
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.399536
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.596532
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:12:48.821289
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:13:11.168171
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 12:19:42.390031
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 21:49:58.170462
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 21:49:58.784369
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:38.552040
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:39.201194
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:45.875514
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:46.486178
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 11:20:08.554159
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 15:20:45.669032
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 20:50:25.263686
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 22:19:56.091759
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 22:19:56.642377
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-10 17:08:57.547323
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-10 17:08:58.070263
