monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Han,12,63.2,12,100.0,3,25.0,1,8.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Han,1,5.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,6,31.6,6,100.0,0,0.0,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,7,36.8,5,71.4,1,14.3,1,14.3,1,14.3,0,0.0,1,100.0,0,0.0
Zeratu,4,21.1,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Zeratu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nephthys,7,36.8,6,85.7,5,71.4,2,28.6,0,0.0,1,14.3,0,0.0,1,100.0,<--,Nephthys,4,21.1,3,75.0,3,75.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0
Giana,18,94.7,16,88.9,0,0.0,6,33.3,10,55.6,0,0.0,9,90.0,0,0.0,<--,Giana,1,5.3,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Vanessa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,2,10.5,2,100.0,2,100.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0
Molly,6,31.6,5,83.3,0,0.0,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,5,26.3,4,80.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU1,2,10.5,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,4,21.1,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Pater,6,31.6,5,83.3,0,0.0,1,16.7,0,0.0,2,33.3,0,0.0,2,100.0,<--,Pater,2,10.5,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,4,21.1,3,75.0,1,25.0,1,25.0,0,0.0,1,25.0,0,0.0,1,100.0,<--,Seara,4,21.1,4,100.0,3,75.0,0,0.0,3,75.0,0,0.0,0,0.0,0,0.0
TianLang,4,21.1,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,TianLang,1,5.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Akroma,4,21.1,3,75.0,2,50.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,<--,Akroma,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tetra,1,5.3,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Tetra,3,15.8,3,100.0,0,0.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,3,15.8,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,2,10.5,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,1,5.3,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,10,52.6,9,90.0,3,30.0,2,20.0,1,10.0,0,0.0,0,0.0,0,0.0
