monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Giana,12,80.0,11,91.7,0,0.0,4,33.3,5,41.7,0,0.0,5,100.0,0,0.0,<--,Giana,3,20.0,1,33.3,2,66.7,0,0.0,3,100.0,0,0.0,2,66.7,0,0.0
Jager,14,93.3,12,85.7,11,78.6,1,7.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,1,6.7,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,12,80.0,10,83.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,3,20.0,2,66.7,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
Ragdoll,12,80.0,10,83.3,1,8.3,2,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,2,13.3,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Nephthys,6,40.0,4,66.7,2,33.3,2,33.3,0,0.0,3,50.0,0,0.0,2,66.7,<--,Nephthys,4,26.7,3,75.0,1,25.0,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,4,26.7,2,50.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,8,53.3,7,87.5,3,37.5,1,12.5,3,37.5,1,12.5,1,33.3,0,0.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,9,60.0,9,100.0,1,11.1,3,33.3,1,11.1,0,0.0,0,0.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,3,20.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,3,20.0,3,100.0,2,66.7,0,0.0,0,0.0,2,66.7,0,0.0,0,0.0
Cheongpung,4,26.7,3,75.0,0,0.0,1,25.0,0,0.0,2,50.0,0,0.0,1,50.0,<--,Cheongpung,6,40.0,4,66.7,0,0.0,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0
Artamiel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Artamiel,2,13.3,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Zeratu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Zeratu,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
