#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:24.889102
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.052126
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.251241
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.417377
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.598304
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.787442
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.964466
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.496648
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.093413
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.965366
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:28.146118
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.193078
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.343465
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.531299
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.692896
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.863464
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.035955
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.199611
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.688252
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.214123
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.022934
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.187754
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.967537
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:09.804051
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:09.963557
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.164102
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.322212
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.491435
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.668750
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.836829
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.331060
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.880303
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.710650
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.880240
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.685786
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.853080
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.123518
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.296769
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.511187
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.695659
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.883594
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.078171
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.264245
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.811097
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.433386
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.406680
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.593864
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.475230
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.659031
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:12:48.879050
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:13:11.233426
