#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
21,4,US,KĪRĪN_,1401,33,10,0,22,43,0.7674418604651161,2021-01-05 22:04:55.176987
21,4,US,KĪRĪN_,1401,33,10,0,22,43,0.7674418604651161,2021-01-05 22:20:08.079389
12,4,US,KĪRĪN_,1437,44,15,0,12,59,0.745762711864406,2021-01-06 12:13:40.804652
12,4,US,KĪRĪN_,1437,44,15,0,12,59,0.745762711864406,2021-01-06 12:13:41.081945
12,4,US,KĪRĪN_,1437,44,15,0,12,59,0.745762711864406,2021-01-06 12:13:41.239138
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 14:35:25.630730
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 14:35:25.919963
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 14:35:26.082978
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 14:35:26.095620
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 14:56:08.445130
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 14:56:08.703979
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 14:56:08.865966
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 14:56:08.877912
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 17:51:38.615010
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 17:51:38.852509
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 17:51:38.991202
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 17:51:39.002081
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 18:40:00.591909
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 18:40:00.858543
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 18:40:01.010676
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 18:40:01.022532
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 21:50:21.358045
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 21:50:21.606070
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 21:50:21.741738
11,4,US,KĪRĪN_,1458,47,15,0,12,62,0.758064516129032,2021-01-06 21:50:21.752218
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 02:04:05.931538
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 02:04:06.188837
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 02:04:06.327726
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 02:04:06.339442
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 02:04:07.200889
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 02:42:40.149014
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 02:42:40.406550
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 02:42:40.546416
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 02:42:40.557889
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 02:42:41.423651
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 03:27:26.131271
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 03:27:26.519629
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 03:27:26.720457
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 03:27:26.732366
20,4,US,KĪRĪN_,1460,54,20,0,21,74,0.729729729729729,2021-01-07 03:27:28.172825
8,4,US,KĪRĪN_,1496,64,23,0,9,87,0.7356321839080461,2021-01-07 03:48:34.357007
8,4,US,KĪRĪN_,1496,64,23,0,9,87,0.7356321839080461,2021-01-07 03:48:34.708124
8,4,US,KĪRĪN_,1496,64,23,0,9,87,0.7356321839080461,2021-01-07 03:48:34.876033
8,4,US,KĪRĪN_,1496,64,23,0,9,87,0.7356321839080461,2021-01-07 03:48:34.886674
8,4,US,KĪRĪN_,1496,64,23,0,9,87,0.7356321839080461,2021-01-07 03:48:36.211173
8,4,US,KĪRĪN_,1496,64,23,0,9,87,0.7356321839080461,2021-01-07 03:48:36.604689
8,4,US,KĪRĪN_,1496,64,23,0,9,87,0.7356321839080461,2021-01-07 03:48:36.794159
8,4,US,KĪRĪN_,1496,64,23,0,9,87,0.7356321839080461,2021-01-07 13:39:10.994313
8,4,US,KĪRĪN_,1496,64,23,0,9,87,0.7356321839080461,2021-01-07 13:39:11.351532
8,4,US,KĪRĪN_,1496,64,23,0,9,87,0.7356321839080461,2021-01-07 13:39:11.531138
8,4,US,KĪRĪN_,1496,64,23,0,9,87,0.7356321839080461,2021-01-07 13:39:11.542471
8,4,US,KĪRĪN_,1496,64,23,0,9,87,0.7356321839080461,2021-01-07 13:39:12.905196
8,4,US,KĪRĪN_,1496,64,23,0,9,87,0.7356321839080461,2021-01-07 13:39:13.307209
8,4,US,KĪRĪN_,1496,64,23,0,9,87,0.7356321839080461,2021-01-07 13:39:13.506775
18,4,US,KĪRĪN_,1500,82,35,0,18,117,0.7008547008547,2021-01-08 01:08:17.438566
18,4,US,KĪRĪN_,1500,82,35,0,18,117,0.7008547008547,2021-01-08 01:08:17.833648
18,4,US,KĪRĪN_,1500,82,35,0,18,117,0.7008547008547,2021-01-08 01:08:18.048627
18,4,US,KĪRĪN_,1500,82,35,0,18,117,0.7008547008547,2021-01-08 01:08:18.061146
18,4,US,KĪRĪN_,1500,82,35,0,18,117,0.7008547008547,2021-01-08 01:08:19.620809
18,4,US,KĪRĪN_,1500,82,35,0,18,117,0.7008547008547,2021-01-08 01:08:20.062949
18,4,US,KĪRĪN_,1500,82,35,0,18,117,0.7008547008547,2021-01-08 01:08:20.276645
18,4,US,KĪRĪN_,1500,82,35,0,18,117,0.7008547008547,2021-01-08 01:08:20.907448
18,4,US,KĪRĪN_,1500,82,35,0,18,117,0.7008547008547,2021-01-08 01:08:21.141499
79,4,US,KĪRĪN_,1468,83,40,0,78,123,0.674796747967479,2021-01-08 21:49:58.446424
