monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Bastet,73,96.1,49,67.1,0,0.0,18,24.7,9,12.3,0,0.0,7,77.8,0,0.0,<--,Bastet,3,3.9,1,33.3,1,33.3,0,0.0,2,66.7,0,0.0,1,50.0,0,0.0
Shimitae,49,64.5,32,65.3,21,42.9,2,4.1,0,0.0,1,2.0,0,0.0,1,100.0,<--,Shimitae,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Poseidon,18,23.7,12,66.7,2,11.1,4,22.2,0,0.0,1,5.6,0,0.0,1,100.0,<--,Poseidon,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Trinity,22,28.9,17,77.3,17,77.3,5,22.7,0,0.0,8,36.4,0,0.0,6,75.0,<--,Trinity,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Woonsa,42,55.3,26,61.9,0,0.0,15,35.7,0,0.0,2,4.8,0,0.0,0,0.0,<--,Woonsa,1,1.3,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,9,11.8,2,22.2,3,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,27,35.5,18,66.7,18,66.7,0,0.0,12,44.4,0,0.0,2,16.7,0,0.0
Okeanos,60,78.9,45,75.0,22,36.7,5,8.3,27,45.0,0,0.0,19,70.4,0,0.0,<--,Okeanos,16,21.1,5,31.2,0,0.0,2,12.5,14,87.5,0,0.0,10,71.4,0,0.0
Eshir,5,6.6,4,80.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Eshir,3,3.9,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,32,42.1,22,68.8,0,0.0,8,25.0,0,0.0,3,9.4,0,0.0,2,66.7,<--,Cheongpung,11,14.5,7,63.6,0,0.0,0,0.0,1,9.1,0,0.0,1,100.0,0,0.0
Leo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,22,28.9,12,54.5,2,9.1,15,68.2,0,0.0,3,13.6,0,0.0,1,33.3
Psamathe,5,6.6,3,60.0,5,100.0,0,0.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Psamathe,7,9.2,6,85.7,4,57.1,3,42.9,0,0.0,1,14.3,0,0.0,0,0.0
Tablo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tablo,2,2.6,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Ethna,4,5.3,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ethna,6,7.9,5,83.3,0,0.0,2,33.3,0,0.0,1,16.7,0,0.0,0,0.0
