monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,39,88.6,24,61.5,2,5.1,9,23.1,21,53.8,0,0.0,11,52.4,0,0.0,<--,Okeanos,5,11.4,4,80.0,0,0.0,2,40.0,5,100.0,0,0.0,1,20.0,0,0.0
Chiwu,23,52.3,16,69.6,12,52.2,4,17.4,0,0.0,2,8.7,0,0.0,2,100.0,<--,Chiwu,7,15.9,5,71.4,5,71.4,1,14.3,2,28.6,0,0.0,1,50.0,0,0.0
Psamathe,8,18.2,7,87.5,7,87.5,1,12.5,0,0.0,1,12.5,0,0.0,1,100.0,<--,Psamathe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triton,5,11.4,4,80.0,0,0.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triton,1,2.3,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0
Savannah,36,81.8,24,66.7,0,0.0,10,27.8,0,0.0,2,5.6,0,0.0,2,100.0,<--,Savannah,3,6.8,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Seara,11,25.0,5,45.5,8,72.7,1,9.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,18,40.9,10,55.6,11,61.1,7,38.9,7,38.9,0,0.0,2,28.6,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,4,9.1,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,3,6.8,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
Miho,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Miho,1,2.3,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0
Verdehile,7,15.9,4,57.1,0,0.0,2,28.6,0,0.0,2,28.6,0,0.0,0,0.0,<--,Verdehile,10,22.7,5,50.0,0,0.0,1,10.0,0,0.0,1,10.0,0,0.0,1,100.0
Rica,4,9.1,4,100.0,0,0.0,2,50.0,0,0.0,4,100.0,0,0.0,4,100.0,<--,Rica,4,9.1,2,50.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Wolyung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Wolyung,2,4.5,2,100.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU1,1,2.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,7,15.9,4,57.1,0,0.0,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0
Bernard,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bernard,2,4.5,2,100.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,14,31.8,9,64.3,0,0.0,1,7.1,0,0.0,1,7.1,0,0.0,1,100.0,<--,Vigor,3,6.8,2,66.7,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,1,100.0
Han,16,36.4,8,50.0,2,12.5,2,12.5,0,0.0,7,43.8,0,0.0,4,57.1,<--,Han,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,25,56.8,13,52.0,9,36.0,4,16.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,9,20.5,6,66.7,1,11.1,1,11.1,2,22.2,0,0.0,0,0.0,0,0.0
Juno,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,11,25.0,4,36.4,0,0.0,3,27.3,0,0.0,3,27.3,0,0.0,2,66.7
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,17,38.6,13,76.5,0,0.0,13,76.5,4,23.5,1,5.9,1,25.0,0,0.0
Abellio,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Abellio,1,2.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Josephine,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Josephine,3,6.8,3,100.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,6,13.6,5,83.3,4,66.7,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,2,4.5,1,50.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,1,2.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,5,11.4,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,9,20.5,5,55.6,1,11.1,2,22.2,1,11.1,0,0.0,0,0.0,0,0.0
Praha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Praha,7,15.9,4,57.1,2,28.6,0,0.0,0,0.0,1,14.3,0,0.0,0,0.0
TianLang,16,36.4,10,62.5,0,0.0,5,31.2,0,0.0,1,6.2,0,0.0,1,100.0,<--,TianLang,2,4.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,10,22.7,5,50.0,1,10.0,1,10.0,0,0.0,2,20.0,0,0.0,1,50.0
Betta,7,15.9,5,71.4,0,0.0,0,0.0,0,0.0,1,14.3,0,0.0,1,100.0,<--,Betta,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
