#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
15,5,TH,Krom`z,1408,48,22,0,15,70,0.685714285714285,2021-01-05 22:04:54.538964
15,5,TH,Krom`z,1408,48,22,0,15,70,0.685714285714285,2021-01-05 22:04:54.672668
15,5,TH,Krom`z,1408,48,22,0,15,70,0.685714285714285,2021-01-05 22:04:54.803573
15,5,TH,Krom`z,1408,48,22,0,15,70,0.685714285714285,2021-01-05 22:04:54.936240
15,5,TH,Krom`z,1408,48,22,0,15,70,0.685714285714285,2021-01-05 22:04:55.251289
15,5,TH,Krom`z,1408,48,22,0,15,70,0.685714285714285,2021-01-05 22:20:07.471935
15,5,TH,Krom`z,1408,48,22,0,15,70,0.685714285714285,2021-01-05 22:20:07.599466
15,5,TH,Krom`z,1408,48,22,0,15,70,0.685714285714285,2021-01-05 22:20:07.727435
15,5,TH,Krom`z,1408,48,22,0,15,70,0.685714285714285,2021-01-05 22:20:07.843509
15,5,TH,Krom`z,1408,48,22,0,15,70,0.685714285714285,2021-01-05 22:20:08.151409
