monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,10,66.7,6,60.0,8,80.0,1,10.0,6,60.0,0,0.0,4,66.7,0,0.0,<--,Seara,1,6.7,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,6,40.0,4,66.7,0,0.0,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,5,33.3,4,80.0,0,0.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,3,20.0,2,66.7,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ganymede,5,33.3,3,60.0,2,40.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,<--,Ganymede,2,13.3,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,7,46.7,4,57.1,0,0.0,2,28.6,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,2,13.3,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Okeanos,7,46.7,5,71.4,0,0.0,3,42.9,1,14.3,0,0.0,1,100.0,0,0.0,<--,Okeanos,8,53.3,4,50.0,3,37.5,0,0.0,2,25.0,0,0.0,1,50.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,2,13.3,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0,0,0.0
Triana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Diana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,6,40.0,3,50.0,0,0.0,6,100.0,0,0.0,0,0.0,0,0.0,0,0.0
