#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
31,1,KR,°빛대,1386,52,27,0,32,79,0.658227848101265,2021-01-05 22:04:55.287115
31,1,KR,°빛대,1386,52,27,0,32,79,0.658227848101265,2021-01-05 22:20:08.187064
14,1,KR,°빛대,1436,63,31,0,15,94,0.670212765957446,2021-01-06 12:13:40.905949
14,1,KR,°빛대,1436,63,31,0,15,94,0.670212765957446,2021-01-06 12:13:41.196472
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 14:35:25.750764
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 14:35:26.043295
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 14:35:26.216298
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 14:56:08.556375
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 14:56:08.828710
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 14:56:08.988207
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 17:51:38.715254
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 17:51:38.957621
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 17:51:39.101009
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 18:40:00.711073
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 18:40:00.974525
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 18:40:01.130179
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 21:50:21.470994
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 21:50:21.708832
36,1,KR,°빛대,1420,65,35,0,35,100,0.65,2021-01-06 21:50:21.849704
26,1,KR,°빛대,1442,78,42,0,27,120,0.65,2021-01-07 02:04:06.029677
26,1,KR,°빛대,1442,78,42,0,27,120,0.65,2021-01-07 02:04:06.291713
26,1,KR,°빛대,1442,78,42,0,27,120,0.65,2021-01-07 02:04:06.448123
26,1,KR,°빛대,1442,78,42,0,27,120,0.65,2021-01-07 02:04:07.261159
26,1,KR,°빛대,1442,78,42,0,27,120,0.65,2021-01-07 02:42:40.247717
26,1,KR,°빛대,1442,78,42,0,27,120,0.65,2021-01-07 02:42:40.509654
26,1,KR,°빛대,1442,78,42,0,27,120,0.65,2021-01-07 02:42:40.670342
26,1,KR,°빛대,1442,78,42,0,27,120,0.65,2021-01-07 02:42:41.482551
26,1,KR,°빛대,1442,78,42,0,27,120,0.65,2021-01-07 03:27:26.252010
26,1,KR,°빛대,1442,78,42,0,27,120,0.65,2021-01-07 03:27:26.659401
26,1,KR,°빛대,1442,78,42,0,27,120,0.65,2021-01-07 03:27:26.876078
26,1,KR,°빛대,1442,78,42,0,27,120,0.65,2021-01-07 03:27:28.252555
29,1,KR,°빛대,1442,78,42,0,29,120,0.65,2021-01-07 03:48:34.466609
29,1,KR,°빛대,1442,78,42,0,29,120,0.65,2021-01-07 03:48:34.821467
29,1,KR,°빛대,1442,78,42,0,29,120,0.65,2021-01-07 03:48:35.016248
29,1,KR,°빛대,1442,78,42,0,29,120,0.65,2021-01-07 03:48:36.283349
29,1,KR,°빛대,1442,78,42,0,29,120,0.65,2021-01-07 03:48:36.678390
29,1,KR,°빛대,1442,78,42,0,29,120,0.65,2021-01-07 13:39:11.105819
29,1,KR,°빛대,1442,78,42,0,29,120,0.65,2021-01-07 13:39:11.474742
29,1,KR,°빛대,1442,78,42,0,29,120,0.65,2021-01-07 13:39:11.677216
29,1,KR,°빛대,1442,78,42,0,29,120,0.65,2021-01-07 13:39:12.980251
29,1,KR,°빛대,1442,78,42,0,29,120,0.65,2021-01-07 13:39:13.383406
38,1,KR,°빛대,1467,96,54,0,39,150,0.64,2021-01-08 01:08:17.561493
38,1,KR,°빛대,1467,96,54,0,39,150,0.64,2021-01-08 01:08:17.986850
38,1,KR,°빛대,1467,96,54,0,39,150,0.64,2021-01-08 01:08:18.207162
38,1,KR,°빛대,1467,96,54,0,39,150,0.64,2021-01-08 01:08:19.704362
38,1,KR,°빛대,1467,96,54,0,39,150,0.64,2021-01-08 01:08:20.144956
38,1,KR,°빛대,1467,96,54,0,39,150,0.64,2021-01-08 01:08:20.993707
38,1,KR,°빛대,1467,96,54,0,39,150,0.64,2021-01-08 01:08:21.248624
