monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,11,73.3,6,54.5,0,0.0,2,18.2,7,63.6,0,0.0,5,71.4,0,0.0,<--,Okeanos,3,20.0,2,66.7,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
Ganymede,9,60.0,5,55.6,0,0.0,2,22.2,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,2,13.3,1,50.0,2,100.0,0,0.0,1,50.0,0,0.0,1,100.0,0,0.0
Vanessa,3,20.0,1,33.3,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,1,6.7,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0
Molly,7,46.7,3,42.9,0,0.0,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,2,13.3,2,100.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Tetra,5,33.3,2,40.0,0,0.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tetra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,2,13.3,1,50.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,2,13.3,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Nephthys,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Nephthys,1,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bellenus,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bellenus,2,13.3,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Savannah,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Savannah,2,13.3,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Poseidon,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Poseidon,1,6.7,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,9,60.0,5,55.6,0,0.0,2,22.2,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,1,6.7,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Yeonhong,8,53.3,5,62.5,1,12.5,1,12.5,0,0.0,3,37.5,0,0.0,1,33.3,<--,Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Seara,5,33.3,3,60.0,4,80.0,1,20.0,0,0.0,1,20.0,0,0.0,0,0.0,<--,Seara,5,33.3,2,40.0,4,80.0,0,0.0,3,60.0,0,0.0,2,66.7,0,0.0
Eshir,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Eshir,1,6.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,4,26.7,2,50.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,4,26.7,3,75.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,5,33.3,3,60.0,0,0.0,3,60.0,0,0.0,1,20.0,0,0.0,0,0.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,1,6.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
