battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Seara,Okeanos,Lulu,Praha,Giana,None,Praha,Seara,Giana,Fran,Velajuel,Triana,Julianne,TianLang,Fran,None,Fran,TianLang,2021-01-07 00:10:32,Luckygod!,ĹittléTyrant
1,False,Seara,Nephthys,Savannah,Josephine,Moore/WaterRYU1,Seara,None,Nephthys,Moore/WaterRYU1,Giana,Okeanos,Chiwu,Triton,Shimitae,None,Shimitae,Chiwu,Shimitae,2021-01-07 00:05:44,Luckygod!,SgtSlaughter
2,True,Fran,Giana,Nephthys,Vigor,Seara,None,Vigor,Nephthys,Seara,Okeanos,Barbara,Chiwu,Tetra,Ragdoll,Okeanos,None,Chiwu,Ragdoll,2021-01-06 23:59:10,Luckygod!,Judas
3,True,Fran,Okeanos,Moore/WaterRYU1,Nephthys,Giana,Giana,None,Nephthys,Giana,Seara,Hathor,Chiwu,Ganymede,Lulu,None,Lulu,Chiwu,Lulu,2021-01-06 23:54:11,Luckygod!,三玖は俺の嫁
4,False,Seara,Savannah,Lulu,Juno,Okeanos,Seara,None,Seara,Okeanos,Hathor,Fran,Vanessa,Ganymede,Giana,None,Ganymede,Vanessa,Giana,2021-01-06 23:52:10,Luckygod!,三玖は俺の嫁
5,True,Seara,Okeanos,Fran,Lulu,Nephthys,Seara,None,Seara,Nephthys,Hathor,Molly,Vanessa,Josephine,Diana,None,Diana,Vanessa,Diana,2021-01-06 23:47:48,Luckygod!,#미업
6,True,Seara,Fran,Nephthys,Lulu,Giana,Seara,None,Nephthys,Giana,Okeanos,Molly,Vanessa,Josephine,Diana,None,Diana,Vanessa,Diana,2021-01-06 23:42:07,Luckygod!,#미업
7,True,Giana,Okeanos,Nephthys,Moore/WaterRYU1,Savannah,None,Moore/WaterRYU1,Moore/WaterRYU1,Savannah,Chiwu,Barbara,Triton,Juno,Seara,Seara,None,Chiwu,Seara,2021-01-06 23:35:50,Luckygod!,TitoGoflette
8,False,Seara,Vigor,Fran,Juno,Okeanos,None,Juno,Seara,Okeanos,Molly,Hathor,Woosa,Cheongpung,Artamiel,Molly,None,Cheongpung,Artamiel,2021-01-06 23:33:00,Luckygod!,Sicnarf_shoes
9,True,Okeanos,Giana,Savannah,Vigor,Nephthys,None,Vigor,Okeanos,Nephthys,Josephine,Fran,Masha,Molly,Seara,Seara,None,Fran,Seara,2021-01-06 23:28:32,Luckygod!,SmokeZzz
10,True,Okeanos,Nephthys,Lulu,Chiwu,Giana,None,Chiwu,Nephthys,Giana,Seara,Fran,Savannah,Ganymede,Moore/WaterRYU,Seara,None,Seara,Moore/WaterRYU,2021-01-06 23:22:30,Luckygod!,ด.ช.|3r@wn¥
11,False,Seara,Giana,Fran,Savannah,Moore/WaterRYU1,None,Moore/WaterRYU1,Seara,Moore/WaterRYU1,Ganymede,Okeanos,Gemini,Shimitae,Woonsa,Ganymede,None,Shimitae,Woonsa,2021-01-06 23:18:14,Luckygod!,ぉなん♡ぽむ
