#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
49,1,KR,Luckygod!,1411,52,25,0,47,77,0.6753246753246751,2021-01-06 14:56:09.492285
49,1,KR,Luckygod!,1411,52,25,0,47,77,0.6753246753246751,2021-01-06 17:51:39.559898
49,1,KR,Luckygod!,1411,52,25,0,47,77,0.6753246753246751,2021-01-06 18:40:01.622110
49,1,KR,Luckygod!,1411,52,25,0,47,77,0.6753246753246751,2021-01-06 21:50:22.319459
92,1,KR,Luckygod!,1411,52,25,0,91,77,0.6753246753246751,2021-01-07 02:04:06.942728
92,1,KR,Luckygod!,1411,52,25,0,91,77,0.6753246753246751,2021-01-07 02:04:07.466156
92,1,KR,Luckygod!,1411,52,25,0,91,77,0.6753246753246751,2021-01-07 02:42:41.174019
92,1,KR,Luckygod!,1411,52,25,0,91,77,0.6753246753246751,2021-01-07 02:42:41.677095
92,1,KR,Luckygod!,1411,52,25,0,91,77,0.6753246753246751,2021-01-07 03:27:27.796242
92,1,KR,Luckygod!,1411,52,25,0,91,77,0.6753246753246751,2021-01-07 03:27:28.573428
99,1,KR,Luckygod!,1411,52,25,0,100,77,0.6753246753246751,2021-01-07 03:48:35.865891
99,1,KR,Luckygod!,1411,52,25,0,100,77,0.6753246753246751,2021-01-07 03:48:36.584065
99,1,KR,Luckygod!,1411,52,25,0,100,77,0.6753246753246751,2021-01-07 13:39:12.547854
99,1,KR,Luckygod!,1411,52,25,0,100,77,0.6753246753246751,2021-01-07 13:39:13.286580
99,1,KR,Luckygod!,1411,52,25,0,100,77,0.6753246753246751,2021-01-07 13:39:14.060774
48,1,KR,Luckygod!,1462,63,29,0,48,92,0.6847826086956521,2021-01-08 01:08:19.224313
48,1,KR,Luckygod!,1462,63,29,0,48,92,0.6847826086956521,2021-01-08 01:08:20.039876
48,1,KR,Luckygod!,1462,63,29,0,48,92,0.6847826086956521,2021-01-08 01:08:20.883880
48,1,KR,Luckygod!,1462,63,29,0,48,92,0.6847826086956521,2021-01-08 01:12:49.071515
48,1,KR,Luckygod!,1462,63,29,0,48,92,0.6847826086956521,2021-01-08 01:13:11.425993
48,1,KR,Luckygod!,1462,63,29,0,48,92,0.6847826086956521,2021-01-08 12:19:42.644204
39,1,KR,Luckygod!,1486,75,36,0,40,111,0.6756756756756751,2021-01-08 21:49:58.434603
39,1,KR,Luckygod!,1486,75,36,0,40,111,0.6756756756756751,2021-01-08 21:49:59.085975
39,1,KR,Luckygod!,1486,75,36,0,40,111,0.6756756756756751,2021-01-08 23:21:38.858678
39,1,KR,Luckygod!,1486,75,36,0,40,111,0.6756756756756751,2021-01-08 23:21:39.529342
39,1,KR,Luckygod!,1486,75,36,0,40,111,0.6756756756756751,2021-01-08 23:21:46.140990
39,1,KR,Luckygod!,1486,75,36,0,40,111,0.6756756756756751,2021-01-08 23:21:46.784005
94,1,KR,Luckygod!,1486,75,36,0,95,111,0.6756756756756751,2021-01-09 22:19:56.430790
94,1,KR,Luckygod!,1486,75,36,0,95,111,0.6756756756756751,2021-01-10 17:08:57.868465
94,1,KR,Luckygod!,1486,75,36,0,95,111,0.6756756756756751,2021-01-10 17:08:58.645773
