monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,44,74.6,32,72.7,25,56.8,9,20.5,28,63.6,0,0.0,19,67.9,0,0.0,<--,Seara,14,23.7,10,71.4,8,57.1,3,21.4,8,57.1,0,0.0,3,37.5,0,0.0
Okeanos,21,35.6,14,66.7,3,14.3,4,19.0,4,19.0,0,0.0,2,50.0,0,0.0,<--,Okeanos,21,35.6,16,76.2,2,9.5,4,19.0,4,19.0,0,0.0,0,0.0,0,0.0
Lulu,14,23.7,13,92.9,0,0.0,1,7.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lulu,3,5.1,2,66.7,0,0.0,1,33.3,0,0.0,2,66.7,0,0.0,1,50.0
Praha,5,8.5,5,100.0,1,20.0,0,0.0,0,0.0,3,60.0,0,0.0,3,100.0,<--,Praha,1,1.7,1,100.0,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Giana,47,79.7,36,76.6,2,4.3,20,42.6,3,6.4,0,0.0,3,100.0,0,0.0,<--,Giana,7,11.9,3,42.9,0,0.0,3,42.9,2,28.6,0,0.0,0,0.0,0,0.0
Fran,22,37.3,15,68.2,2,9.1,2,9.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,13,22.0,11,84.6,3,23.1,1,7.7,3,23.1,0,0.0,0,0.0,0,0.0
Velajuel,1,1.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,6,10.2,3,50.0,2,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,3,5.1,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Julianne,1,1.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Julianne,1,1.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TianLang,25,42.4,16,64.0,0,0.0,5,20.0,0,0.0,2,8.0,0,0.0,1,50.0,<--,TianLang,1,1.7,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Nephthys,30,50.8,23,76.7,22,73.3,4,13.3,1,3.3,4,13.3,1,100.0,4,100.0,<--,Nephthys,1,1.7,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,25,42.4,17,68.0,0,0.0,3,12.0,0,0.0,1,4.0,0,0.0,0,0.0,<--,Savannah,4,6.8,2,50.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,100.0
Josephine,3,5.1,0,0.0,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Josephine,7,11.9,7,100.0,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU1,12,20.3,9,75.0,2,16.7,6,50.0,0,0.0,2,16.7,0,0.0,1,50.0,<--,Moore/WaterRYU1,3,5.1,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,1,1.7,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Chiwu,14,23.7,11,78.6,9,64.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triton,2,3.4,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Shimitae,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Shimitae,2,3.4,0,0.0,1,50.0,1,50.0,0,0.0,1,50.0,0,0.0,1,100.0
Vigor,15,25.4,8,53.3,0,0.0,1,6.7,0,0.0,3,20.0,0,0.0,2,66.7,<--,Vigor,4,6.8,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Barbara,2,3.4,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,14,23.7,10,71.4,0,0.0,3,21.4,0,0.0,1,7.1,0,0.0,0,0.0
