monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Chiwu,50,94.3,31,62.0,23,46.0,9,18.0,19,38.0,0,0.0,13,68.4,0,0.0,<--,Chiwu,1,1.9,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0
QitianDasheng,48,90.6,31,64.6,4,8.3,10,20.8,0,0.0,0,0.0,0,0.0,0,0.0,<--,QitianDasheng,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Psamathe,23,43.4,17,73.9,18,78.3,4,17.4,0,0.0,7,30.4,0,0.0,6,85.7,<--,Psamathe,1,1.9,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Savannah,36,67.9,25,69.4,0,0.0,1,2.8,0,0.0,4,11.1,0,0.0,2,50.0,<--,Savannah,3,5.7,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,47,88.7,29,61.7,1,2.1,14,29.8,5,10.6,0,0.0,1,20.0,0,0.0,<--,Giana,5,9.4,3,60.0,0,0.0,4,80.0,3,60.0,0,0.0,1,33.3,0,0.0
Okeanos,1,1.9,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,28,52.8,19,67.9,0,0.0,0,0.0,6,21.4,0,0.0,2,33.3,0,0.0
Cheongpung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,10,18.9,8,80.0,0,0.0,0,0.0,0,0.0,2,20.0,0,0.0,1,50.0
Wolyung,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Wolyung,1,1.9,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Pater,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Pater,1,1.9,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0
Verdehile,1,1.9,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,<--,Verdehile,15,28.3,10,66.7,0,0.0,9,60.0,0,0.0,2,13.3,0,0.0,0,0.0
Leo,1,1.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,9,17.0,4,44.4,0,0.0,6,66.7,0,0.0,2,22.2,0,0.0,1,50.0
Seara,7,13.2,3,42.9,2,28.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,26,49.1,16,61.5,18,69.2,7,26.9,12,46.2,0,0.0,6,50.0,0,0.0
Barbara,1,1.9,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,6,11.3,5,83.3,0,0.0,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0
Juno,2,3.8,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,<--,Juno,22,41.5,12,54.5,1,4.5,1,4.5,0,0.0,6,27.3,0,0.0,2,33.3
Fran,6,11.3,4,66.7,0,0.0,0,0.0,0,0.0,2,33.3,0,0.0,2,100.0,<--,Fran,9,17.0,6,66.7,4,44.4,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0
Tesarion,2,3.8,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tesarion,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Miho,2,3.8,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Miho,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,7,13.2,2,28.6,0,0.0,3,42.9,0,0.0,0,0.0,0,0.0,0,0.0
XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,1,1.9,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Elsharion,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Elsharion,1,1.9,1,100.0,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,19,35.8,6,31.6,0,0.0,10,52.6,1,5.3,1,5.3,1,100.0,0,0.0
