#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
34,2,JP,MiranღNoah,1470,60,25,0,35,85,0.7058823529411761,2021-01-08 01:08:21.413316
48,2,JP,MiranღNoah,1481,63,26,0,48,89,0.707865168539325,2021-01-08 21:49:58.679542
48,2,JP,MiranღNoah,1481,63,26,0,48,89,0.707865168539325,2021-01-08 21:49:59.338688
48,2,JP,MiranღNoah,1481,63,26,0,48,89,0.707865168539325,2021-01-08 23:21:39.099326
48,2,JP,MiranღNoah,1481,63,26,0,48,89,0.707865168539325,2021-01-08 23:21:39.777512
48,2,JP,MiranღNoah,1481,63,26,0,48,89,0.707865168539325,2021-01-08 23:21:46.383819
48,2,JP,MiranღNoah,1481,63,26,0,48,89,0.707865168539325,2021-01-08 23:21:47.033509
80,2,JP,MiranღNoah,1470,64,28,0,79,92,0.695652173913043,2021-01-09 00:22:41.923026
80,2,JP,MiranღNoah,1470,64,28,0,79,92,0.695652173913043,2021-01-09 00:24:17.035714
80,2,JP,MiranღNoah,1470,64,28,0,79,92,0.695652173913043,2021-01-09 11:20:08.446270
80,2,JP,MiranღNoah,1470,64,28,0,79,92,0.695652173913043,2021-01-09 15:20:45.544048
80,2,JP,MiranღNoah,1470,64,28,0,79,92,0.695652173913043,2021-01-09 20:50:25.150713
46,2,JP,MiranღNoah,1511,76,31,0,45,107,0.710280373831775,2021-01-09 22:19:55.966157
46,2,JP,MiranღNoah,1511,76,31,0,45,107,0.710280373831775,2021-01-09 22:19:56.981570
46,2,JP,MiranღNoah,1511,76,31,0,45,107,0.710280373831775,2021-01-10 17:08:57.427429
46,2,JP,MiranღNoah,1511,76,31,0,45,107,0.710280373831775,2021-01-10 17:08:58.401781
