monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Fran,34,91.9,23,67.6,18,52.9,3,8.8,19,55.9,1,2.9,13,68.4,0,0.0,<--,Fran,2,5.4,0,0.0,1,50.0,0,0.0,2,100.0,0,0.0,2,100.0,0,0.0
Jager,28,75.7,20,71.4,4,14.3,3,10.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,20,54.1,14,70.0,0,0.0,4,20.0,0,0.0,3,15.0,0,0.0,2,66.7,<--,Molly,8,21.6,5,62.5,0,0.0,4,50.0,1,12.5,0,0.0,0,0.0,0,0.0
MeiHouWang,9,24.3,6,66.7,0,0.0,0,0.0,0,0.0,4,44.4,0,0.0,2,50.0,<--,MeiHouWang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,26,70.3,17,65.4,0,0.0,9,34.6,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,3,8.1,2,66.7,1,33.3,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
Seara,12,32.4,4,33.3,9,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,13,35.1,12,92.3,8,61.5,1,7.7,3,23.1,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,5,13.5,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,18,48.6,13,72.2,6,33.3,0,0.0,6,33.3,0,0.0,2,33.3,0,0.0
Ganymede,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,6,16.2,6,100.0,1,16.7,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,3,8.1,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,8,21.6,5,62.5,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0
