#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.107358
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.119286
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.130887
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.165526
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.222087
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.574958
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:28.390376
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.226827
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.237929
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.248629
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.280667
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.333171
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.655359
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.413822
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.893296
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.904131
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.915125
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.948406
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.001797
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.336539
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.109898
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.878395
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.447818
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.460030
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.478914
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.533362
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.594549
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.973968
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.846118
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.686580
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:12:48.894873
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:13:11.249090
