monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Seara,40,71.4,24,60.0,14,35.0,23,57.5,26,65.0,0,0.0,16,61.5,0,0.0,<--,Seara,10,17.9,6,60.0,7,70.0,2,20.0,7,70.0,0,0.0,2,28.6,0,0.0
Barbara,46,82.1,28,60.9,0,0.0,1,2.2,0,0.0,2,4.3,0,0.0,2,100.0,<--,Barbara,3,5.4,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Giana,52,92.9,32,61.5,17,32.7,11,21.2,3,5.8,0,0.0,1,33.3,0,0.0,<--,Giana,3,5.4,1,33.3,0,0.0,3,100.0,2,66.7,0,0.0,2,100.0,0,0.0
Miho,2,3.6,2,100.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0,<--,Miho,1,1.8,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,4,7.1,3,75.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,11,19.6,7,63.6,0,0.0,0,0.0,0,0.0,2,18.2,0,0.0,1,50.0
Okeanos,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,28,50.0,16,57.1,2,7.1,9,32.1,6,21.4,0,0.0,3,50.0,0,0.0
Chiwu,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,17,30.4,11,64.7,5,29.4,10,58.8,2,11.8,0,0.0,1,50.0,0,0.0
Psamathe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Psamathe,5,8.9,3,60.0,4,80.0,0,0.0,0,0.0,1,20.0,0,0.0,1,100.0
Triton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triton,4,7.1,3,75.0,0,0.0,1,25.0,0,0.0,1,25.0,0,0.0,1,100.0
Savannah,12,21.4,6,50.0,0,0.0,0,0.0,0,0.0,1,8.3,0,0.0,0,0.0,<--,Savannah,11,19.6,8,72.7,0,0.0,4,36.4,0,0.0,2,18.2,0,0.0,0,0.0
Beelzebub,32,57.1,16,50.0,15,46.9,6,18.8,0,0.0,0,0.0,0,0.0,0,0.0,<--,Beelzebub,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,8,14.3,5,62.5,2,25.0,3,37.5,0,0.0,3,37.5,0,0.0,3,100.0,<--,Fran,13,23.2,6,46.2,5,38.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,5,8.9,4,80.0,0,0.0,1,20.0,0,0.0,2,40.0,0,0.0,2,100.0,<--,Vigor,3,5.4,3,100.0,0,0.0,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0
Tesarion,2,3.6,1,50.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,<--,Tesarion,1,1.8,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,7,12.5,5,71.4,3,42.9,1,14.3,0,0.0,1,14.3,0,0.0,0,0.0
Triana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,6,10.7,4,66.7,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,10,17.9,3,30.0,0,0.0,3,30.0,2,20.0,0,0.0,1,50.0,0,0.0
Akroma,3,5.4,1,33.3,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Akroma,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Cheongpung,44,78.6,26,59.1,0,0.0,2,4.5,3,6.8,0,0.0,1,33.3,0,0.0,<--,Cheongpung,7,12.5,4,57.1,1,14.3,1,14.3,0,0.0,1,14.3,0,0.0,0,0.0
Diana,1,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,1,1.8,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Bellenus,7,12.5,3,42.9,0,0.0,0,0.0,0,0.0,5,71.4,0,0.0,2,40.0,<--,Bellenus,1,1.8,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,1,1.8,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Leo,12,21.4,4,33.3,3,25.0,3,25.0,0,0.0,2,16.7,0,0.0,2,100.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,8,14.3,3,37.5,1,12.5,0,0.0,2,25.0,0,0.0,0,0.0,0,0.0
Antares,1,1.8,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Antares,1,1.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
