monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Cheongpung,54,90.0,32,59.3,0,0.0,9,16.7,1,1.9,2,3.7,1,100.0,1,50.0,<--,Cheongpung,4,6.7,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,12,20.0,5,41.7,8,66.7,4,33.3,0,0.0,1,8.3,0,0.0,0,0.0,<--,Vanessa,3,5.0,1,33.3,2,66.7,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0
TianLang,39,65.0,22,56.4,0,0.0,13,33.3,0,0.0,5,12.8,0,0.0,3,60.0,<--,TianLang,4,6.7,3,75.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,8,13.3,5,62.5,0,0.0,2,25.0,0,0.0,1,12.5,0,0.0,1,100.0,<--,Leo,5,8.3,3,60.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0
Okeanos,53,88.3,33,62.3,23,43.4,5,9.4,33,62.3,0,0.0,22,66.7,0,0.0,<--,Okeanos,7,11.7,2,28.6,1,14.3,3,42.9,6,85.7,0,0.0,5,83.3,0,0.0
Seara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Seara,29,48.3,17,58.6,19,65.5,5,17.2,9,31.0,0,0.0,5,55.6,0,0.0
Verdehile,14,23.3,10,71.4,0,0.0,5,35.7,0,0.0,3,21.4,0,0.0,1,33.3,<--,Verdehile,16,26.7,12,75.0,0,0.0,1,6.2,0,0.0,2,12.5,0,0.0,0,0.0
Gemini,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Gemini,1,1.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ganymede,6,10.0,2,33.3,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,9,15.0,5,55.6,0,0.0,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0
Chiwu,22,36.7,11,50.0,13,59.1,4,18.2,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,14,23.3,9,64.3,6,42.9,3,21.4,1,7.1,0,0.0,1,100.0,0,0.0
Bastet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,6,10.0,2,33.3,0,0.0,0,0.0,1,16.7,0,0.0,0,0.0,0,0.0
Lucifer,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lucifer,1,1.7,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Psamathe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Psamathe,2,3.3,1,50.0,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0
Lushen,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lushen,4,6.7,2,50.0,0,0.0,3,75.0,0,0.0,1,25.0,0,0.0,0,0.0
Daphnis,31,51.7,19,61.3,2,6.5,9,29.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Daphnis,3,5.0,1,33.3,0,0.0,0,0.0,0,0.0,1,33.3,0,0.0,1,100.0
Vigor,19,31.7,10,52.6,0,0.0,3,15.8,0,0.0,6,31.6,0,0.0,3,50.0,<--,Vigor,6,10.0,4,66.7,0,0.0,1,16.7,0,0.0,1,16.7,0,0.0,0,0.0
Fran,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,19,31.7,14,73.7,6,31.6,0,0.0,3,15.8,0,0.0,1,33.3,0,0.0
Juno,1,1.7,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,18,30.0,9,50.0,0,0.0,6,33.3,0,0.0,2,11.1,0,0.0,1,50.0
Praha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Praha,3,5.0,2,66.7,2,66.7,0,0.0,0,0.0,2,66.7,0,0.0,0,0.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,9,15.0,3,33.3,0,0.0,3,33.3,0,0.0,3,33.3,0,0.0,2,66.7
Triana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Triana,2,3.3,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Moore/WaterRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU1,6,10.0,2,33.3,2,33.3,1,16.7,0,0.0,1,16.7,0,0.0,1,100.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,12,20.0,7,58.3,0,0.0,1,8.3,2,16.7,0,0.0,1,50.0,0,0.0
Alexandra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Alexandra,2,3.3,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
XingZhe,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,4,6.7,2,50.0,2,50.0,2,50.0,0,0.0,1,25.0,0,0.0,1,100.0
Abellio,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Abellio,1,1.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Shimitae,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Shimitae,3,5.0,1,33.3,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Poseidon,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Poseidon,2,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Trinity,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Trinity,2,3.3,0,0.0,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,1,100.0
Woonsa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Woonsa,2,3.3,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,11,18.3,6,54.5,1,9.1,2,18.2,1,9.1,0,0.0,0,0.0,0,0.0
