#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:24.852196
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.018682
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.218030
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.378931
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.558847
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.748708
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:25.926149
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.058459
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:26.461739
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.059242
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:27.931555
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:28.109584
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.159171
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.313084
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.498452
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.656639
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:33.827153
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.000540
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.163928
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.287185
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:34.656991
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.182798
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:35.991375
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.154209
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:48:36.933341
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:09.769157
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:09.928134
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.128305
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.285513
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.454267
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.631527
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.800073
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:10.925942
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.299017
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:11.847984
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.677751
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:12.845353
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.650882
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 13:39:13.819340
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.084609
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.261262
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.475243
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.653774
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:16.842877
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.037602
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.223794
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.362705
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.775279
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.397593
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.370315
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.555772
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.433855
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.619206
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:12:48.842802
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:13:11.193210
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 12:19:42.411276
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 21:49:58.192282
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 21:49:58.807173
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:38.574078
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:39.223169
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:45.897534
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 23:21:46.508425
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 11:20:08.574668
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 15:20:45.693024
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 20:50:25.285433
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 22:19:56.116300
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-09 22:19:56.665779
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-10 17:08:57.570188
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-10 17:08:58.092660
