battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Nephthys,Woonsa,Molly,Artamiel,Han,None,Artamiel,Nephthys,Han,Okeanos,Seara,Yeonhong,Tetra,Cheongpung,Okeanos,None,Seara,Cheongpung,2021-01-06 06:09:58,PRO༊,Duhstin
1,True,Nephthys,Woonsa,Molly,Artamiel,Han,None,Artamiel,Nephthys,Han,Ganymede,Yeonhong,Vigor,XingZhe,Okeanos,Okeanos,None,XingZhe,Okeanos,2021-01-06 05:26:21,PRO༊,Raii!
2,True,Nephthys,Woonsa,Molly,Artamiel,Han,Nephthys,None,Nephthys,Han,Juno,Seara,Tetra,Verdehile,Rica,None,Rica,Seara,Rica,2021-01-06 04:52:51,PRO༊,Raii!
3,True,Nephthys,Han,Woonsa,Molly,Artamiel,Nephthys,None,Nephthys,Artamiel,Seara,Yeonhong,Moore/WaterRYU1,Triton,Savannah,None,Savannah,Seara,Savannah,2021-01-06 04:46:15,PRO༊,おがさわら
4,False,Nephthys,Han,Molly,Velajuel,Woonsa,None,Velajuel,Nephthys,Woonsa,Okeanos,Savannah,Seara,Fran,Moore/WaterRYU1,Okeanos,None,Seara,Moore/WaterRYU1,2021-01-06 04:44:19,PRO༊,PinkRoid~
5,False,Nephthys,Woonsa,Molly,Velajuel,Han,None,Velajuel,Nephthys,Han,Okeanos,Savannah,Rica,Tetra,Moore/WaterRYU1,Okeanos,None,Okeanos,Moore/WaterRYU1,2021-01-06 04:39:14,PRO༊,PinkRoid~
6,False,Nephthys,Han,Cheongpung,Velajuel,Woonsa,Nephthys,None,Nephthys,Woonsa,Giana,Okeanos,Savannah,Seara,Chiwu,None,Seara,Seara,Chiwu,2021-01-06 04:35:12,PRO༊,Seiishizo
7,True,Nephthys,Molly,Woonsa,Cheongpung,Han,None,Cheongpung,Nephthys,Han,Okeanos,Seara,Valantis,Asima,Moore/WaterRYU,Okeanos,None,Seara,Moore/WaterRYU,2021-01-06 03:56:13,PRO༊,大V威
8,True,Molly,Nephthys,Rahul,Artamiel,Han,None,Artamiel,Nephthys,Han,Tetra,Jager,Juno,Akroma,Ragdoll,Ragdoll,None,Akroma,Ragdoll,2021-01-06 01:11:30,PRO༊,Elmimo
9,True,Han,Woonsa,Molly,Rahul,Nephthys,None,Rahul,Han,Nephthys,Fran,Jager,Lulu,Leo,Ragdoll,Fran,None,Jager,Ragdoll,2021-01-06 00:50:41,PRO༊,Elmimo
10,True,Han,Woonsa,Artamiel,Rahul,Nephthys,Nephthys,None,Han,Nephthys,Fran,Tetra,Jager,Anavel,Ragdoll,None,Anavel,Jager,Ragdoll,2021-01-05 18:13:16,PRO༊,Mr.VSR`
11,True,Nephthys,Han,Molly,Artamiel,Woonsa,Nephthys,None,Nephthys,Woonsa,Ragdoll,Giana,Velajuel,Rica,Moore/WaterRYU,None,Rica,Velajuel,Moore/WaterRYU,2021-01-05 15:40:48,PRO༊,secondbaby
12,True,Woonsa,Han,Molly,Cheongpung,Nephthys,None,Cheongpung,Han,Nephthys,MoLong,Ragdoll,Artamiel,Elucia,Pater,MoLong,None,MoLong,Pater,2021-01-05 15:27:42,PRO༊,BBodda
13,False,Nephthys,Molly,Artamiel,Okeanos,Woonsa,Nephthys,None,Nephthys,Woonsa,Giana,Han,Cheongpung,Seara,Pater,None,Seara,Seara,Pater,2021-01-05 15:24:40,PRO༊,Howtoplay༢
14,True,Nephthys,Han,Velajuel,Artamiel,Woonsa,None,Artamiel,Nephthys,Woonsa,Seara,Okeanos,Juno,Cheongpung,Chiwu,Seara,None,Seara,Chiwu,2021-01-05 15:16:38,PRO༊,aro.@SWG
15,True,Molly,Han,Woonsa,Artamiel,Nephthys,Molly,None,Han,Nephthys,Seara,Sekhmet,Juno,Vigor,Alexandra,None,Vigor,Sekhmet,Alexandra,2021-01-07 02:08:55,PRO༊,-ᴛɪᴍʙø-
16,True,Molly,Han,Cheongpung,Savannah,Nephthys,Molly,None,Han,Nephthys,MoLong,Julianne,TianLang,Verdehile,Fran,None,Verdehile,MoLong,Fran,2021-01-07 02:05:15,PRO༊,ĹittléTyrant
17,False,Molly,Han,Cheongpung,Artamiel,Nephthys,Molly,None,Han,Nephthys,Vigor,Ragdoll,MoLong,Harmonia,Rica,None,Rica,MoLong,Rica,2021-01-07 02:02:50,PRO༊,Alloraan
18,True,Nephthys,Woonsa,Han,Artamiel,Molly,Molly,None,Nephthys,Molly,Okeanos,Ganymede,Juno,Tetra,TianLang,None,TianLang,Ganymede,TianLang,2021-01-07 01:59:22,PRO༊,ずっと真夜
19,True,Nephthys,Woonsa,Molly,Artamiel,Han,None,Artamiel,Nephthys,Han,Chiwu,Barbara,Cheongpung,Savannah,Seara,Seara,None,Chiwu,Seara,2021-01-07 01:57:25,PRO༊,BoogerSugar
20,False,Okeanos,Nephthys,Han,Juno,Woonsa,Okeanos,None,Nephthys,Woonsa,Seara,Chiwu,Savannah,Ganymede,Giana,None,Ganymede,Chiwu,Giana,2021-01-07 01:54:23,PRO༊,Seiishizo
21,False,Han,Nephthys,Molly,Cheongpung,Woonsa,None,Cheongpung,Nephthys,Woonsa,Okeanos,Fran,Savannah,Ganymede,Seara,Okeanos,None,Fran,Seara,2021-01-07 01:50:59,PRO༊,Raxxaz~
22,False,Molly,Han,Artamiel,Cheongpung,Nephthys,Molly,None,Han,Nephthys,Ragdoll,Jager,Tetra,Anavel,Okeanos,None,Okeanos,Jager,Okeanos,2021-01-07 01:47:52,PRO༊,Elmimo
23,False,Molly,Han,Artamiel,Rahul,Nephthys,None,Rahul,Han,Nephthys,Tetra,Jager,Fran,Tesarion,Ragdoll,Ragdoll,None,Tesarion,Ragdoll,2021-01-07 01:44:56,PRO༊,Elmimo
24,True,Molly,Woonsa,Han,Artamiel,Nephthys,None,Artamiel,Han,Nephthys,Seara,Chiwu,Verdehile,Sian,Hathor,Seara,None,Chiwu,Hathor,2021-01-07 01:16:35,PRO༊,Idan~
25,True,Nephthys,Woonsa,Molly,Artamiel,Han,None,Artamiel,Nephthys,Han,Giana,Ragdoll,Juno,Tetra,Seara,Seara,None,Juno,Seara,2021-01-07 01:12:37,PRO༊,Benz.;
26,True,Nephthys,Woonsa,Cheongpung,Artamiel,Han,None,Artamiel,Nephthys,Han,Velajuel,XingZhe,Ragdoll,Verdehile,Molly,Molly,None,XingZhe,Molly,2021-01-07 01:09:33,PRO༊,魔灵王归来
27,False,Nephthys,Okeanos,Woonsa,Artamiel,Han,None,Artamiel,Nephthys,Han,Velajuel,Wedjat,Verdehile,Tetra,Juno,Velajuel,None,Wedjat,Juno,2021-01-06 21:10:32,PRO༊,삞댥챦
28,False,Molly,Nephthys,Han,Okeanos,Woonsa,Molly,None,Nephthys,Woonsa,Seara,Vigor,Fran,Daphnis,Moore/WaterRYU1,None,Moore/WaterRYU1,Seara,Moore/WaterRYU1,2021-01-06 21:02:41,PRO༊,Ma梦dy
29,False,Han,Nephthys,Woonsa,Molly,Artamiel,None,Artamiel,Nephthys,Artamiel,Okeanos,Moore/WaterRYU1,Chiwu,Ethna,Cheongpung,Okeanos,None,Chiwu,Cheongpung,2021-01-06 20:58:08,PRO༊,Yếm.Hồng
30,False,Molly,Nephthys,Han,Vereesa/DarkCHUN-LI1,Woonsa,Molly,None,Han,Woonsa,Seara,Okeanos,Chiwu,Savannah,Juno,None,Juno,Chiwu,Juno,2021-01-07 04:30:11,PRO༊,Catch~
31,False,Molly,Nephthys,Han,Artamiel,Woonsa,None,Artamiel,Nephthys,Woonsa,Seara,Okeanos,Moore/WaterRYU,Daphnis,Fran,Seara,None,Seara,Fran,2021-01-07 04:28:26,PRO༊,ひろちゃす
32,True,Molly,Han,Woonsa,Artamiel,Nephthys,None,Artamiel,Han,Nephthys,Fran,Vigor,Verdehile,Savannah,Okeanos,Okeanos,None,Fran,Okeanos,2021-01-07 04:23:45,PRO༊,xXLaVarXx
33,True,Nephthys,Han,Artamiel,Molly,Diana,None,Diana,Nephthys,Diana,Racuni,Chow,Bastet,Tetra,Okeanos,Okeanos,None,Bastet,Okeanos,2021-01-07 02:17:11,PRO༊,Viilipytty
34,True,Han,Nephthys,Molly,Woonsa,Artamiel,None,Artamiel,Nephthys,Artamiel,Okeanos,Barbara,Chiwu,Masha,Ragdoll,Okeanos,None,Chiwu,Ragdoll,2021-01-07 02:12:17,PRO༊,Judas
