#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
7,1,KR,PRO༊,1437,47,17,0,8,64,0.734375,2021-01-05 22:04:55.225346
7,1,KR,PRO༊,1437,47,17,0,8,64,0.734375,2021-01-05 22:20:08.125969
60,1,KR,PRO༊,1407,60,32,0,56,92,0.652173913043478,2021-01-06 12:13:40.855091
60,1,KR,PRO༊,1407,60,32,0,56,92,0.652173913043478,2021-01-06 12:13:41.138577
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 14:35:25.683031
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 14:35:25.972386
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 14:35:26.160531
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 14:56:08.492857
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 14:56:08.751926
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 14:56:08.936451
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 17:51:38.658975
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 17:51:38.897202
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 17:51:39.054987
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 18:40:00.649035
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 18:40:00.907658
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 18:40:01.079858
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 21:50:21.401801
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 21:50:21.649386
35,1,KR,PRO༊,1420,64,34,0,35,98,0.6530612244897951,2021-01-06 21:50:21.804090
42,1,KR,PRO༊,1433,72,39,0,40,111,0.648648648648648,2021-01-07 02:04:05.978906
42,1,KR,PRO༊,1433,72,39,0,40,111,0.648648648648648,2021-01-07 02:04:06.236577
42,1,KR,PRO༊,1433,72,39,0,40,111,0.648648648648648,2021-01-07 02:04:06.396733
42,1,KR,PRO༊,1433,72,39,0,40,111,0.648648648648648,2021-01-07 02:04:07.240451
42,1,KR,PRO༊,1433,72,39,0,40,111,0.648648648648648,2021-01-07 02:42:40.197164
42,1,KR,PRO༊,1433,72,39,0,40,111,0.648648648648648,2021-01-07 02:42:40.454999
42,1,KR,PRO༊,1433,72,39,0,40,111,0.648648648648648,2021-01-07 02:42:40.617764
42,1,KR,PRO༊,1433,72,39,0,40,111,0.648648648648648,2021-01-07 02:42:41.462272
42,1,KR,PRO༊,1433,72,39,0,40,111,0.648648648648648,2021-01-07 03:27:26.179677
42,1,KR,PRO༊,1433,72,39,0,40,111,0.648648648648648,2021-01-07 03:27:26.581225
42,1,KR,PRO༊,1433,72,39,0,40,111,0.648648648648648,2021-01-07 03:27:26.791148
42,1,KR,PRO༊,1433,72,39,0,40,111,0.648648648648648,2021-01-07 03:27:28.210568
47,1,KR,PRO༊,1433,72,39,0,46,111,0.648648648648648,2021-01-07 03:48:34.401217
47,1,KR,PRO༊,1433,72,39,0,46,111,0.648648648648648,2021-01-07 03:48:34.752395
47,1,KR,PRO༊,1433,72,39,0,46,111,0.648648648648648,2021-01-07 03:48:34.938878
47,1,KR,PRO༊,1433,72,39,0,46,111,0.648648648648648,2021-01-07 03:48:36.244981
47,1,KR,PRO༊,1433,72,39,0,46,111,0.648648648648648,2021-01-07 03:48:36.640264
47,1,KR,PRO༊,1433,72,39,0,46,111,0.648648648648648,2021-01-07 13:39:11.039238
47,1,KR,PRO༊,1433,72,39,0,46,111,0.648648648648648,2021-01-07 13:39:11.397471
47,1,KR,PRO༊,1433,72,39,0,46,111,0.648648648648648,2021-01-07 13:39:11.598227
47,1,KR,PRO༊,1433,72,39,0,46,111,0.648648648648648,2021-01-07 13:39:12.940732
47,1,KR,PRO༊,1433,72,39,0,46,111,0.648648648648648,2021-01-07 13:39:13.343561
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.488194
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:17.906506
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:18.121169
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.660556
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.102143
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.942236
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:21.182757
