monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,51,77.3,38,74.5,3,5.9,13,25.5,32,62.7,0,0.0,23,71.9,0,0.0,<--,Okeanos,15,22.7,8,53.3,3,20.0,4,26.7,14,93.3,0,0.0,7,50.0,0,0.0
Ganymede,31,47.0,23,74.2,15,48.4,2,6.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ganymede,7,10.6,3,42.9,2,28.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Vigor,15,22.7,9,60.0,0,0.0,3,20.0,0,0.0,2,13.3,0,0.0,1,50.0,<--,Vigor,8,12.1,7,87.5,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0
Velajuel,7,10.6,4,57.1,0,0.0,2,28.6,0,0.0,5,71.4,0,0.0,4,80.0,<--,Velajuel,10,15.2,8,80.0,1,10.0,1,10.0,1,10.0,3,30.0,0,0.0,1,33.3
Chiwu,12,18.2,7,58.3,7,58.3,2,16.7,0,0.0,1,8.3,0,0.0,1,100.0,<--,Chiwu,11,16.7,9,81.8,6,54.5,2,18.2,1,9.1,0,0.0,0,0.0,0,0.0
Hathor,8,12.1,3,37.5,0,0.0,2,25.0,0,0.0,2,25.0,0,0.0,1,50.0,<--,Hathor,7,10.6,6,85.7,2,28.6,3,42.9,3,42.9,0,0.0,0,0.0,0,0.0
Fran,33,50.0,24,72.7,2,6.1,9,27.3,1,3.0,0,0.0,1,100.0,0,0.0,<--,Fran,13,19.7,7,53.8,5,38.5,3,23.1,1,7.7,0,0.0,1,100.0,0,0.0
Juno,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Juno,17,25.8,11,64.7,1,5.9,3,17.6,0,0.0,3,17.6,0,0.0,2,66.7
Savannah,34,51.5,27,79.4,0,0.0,2,5.9,0,0.0,1,2.9,0,0.0,1,100.0,<--,Savannah,12,18.2,9,75.0,0,0.0,1,8.3,0,0.0,1,8.3,0,0.0,0,0.0
Rica,9,13.6,7,77.8,0,0.0,0,0.0,0,0.0,1,11.1,0,0.0,1,100.0,<--,Rica,6,9.1,5,83.3,0,0.0,3,50.0,0,0.0,4,66.7,0,0.0,1,25.0
Daphnis,3,4.5,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Daphnis,3,4.5,2,66.7,0,0.0,1,33.3,0,0.0,0,0.0,0,0.0,0,0.0
TianLang,25,37.9,18,72.0,0,0.0,10,40.0,0,0.0,7,28.0,0,0.0,5,71.4,<--,TianLang,1,1.5,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Diana,4,6.1,2,50.0,0,0.0,0,0.0,0,0.0,2,50.0,0,0.0,1,50.0,<--,Diana,5,7.6,4,80.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,1,100.0
Verdehile,11,16.7,7,63.6,0,0.0,0,0.0,0,0.0,2,18.2,0,0.0,0,0.0,<--,Verdehile,9,13.6,8,88.9,0,0.0,4,44.4,0,0.0,2,22.2,0,0.0,0,0.0
MoLong,5,7.6,2,40.0,3,60.0,0,0.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,MoLong,1,1.5,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,3,4.5,1,33.3,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MeiHouWang,1,1.5,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,MeiHouWang,4,6.1,3,75.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,17,25.8,12,70.6,0,0.0,0,0.0,2,11.8,1,5.9,0,0.0,0,0.0
Ragdoll,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ragdoll,12,18.2,7,58.3,0,0.0,2,16.7,0,0.0,1,8.3,0,0.0,0,0.0
Seara,22,33.3,15,68.2,17,77.3,2,9.1,0,0.0,1,4.5,0,0.0,1,100.0,<--,Seara,19,28.8,14,73.7,13,68.4,2,10.5,5,26.3,0,0.0,0,0.0,0,0.0
Giana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Giana,18,27.3,12,66.7,0,0.0,9,50.0,2,11.1,1,5.6,1,50.0,1,100.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,4,6.1,3,75.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
