#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
50,3,CN,海贼༒卡罗特,1374,30,9,0,51,39,0.769230769230769,2021-01-05 22:04:54.219180
50,3,CN,海贼༒卡罗特,1374,30,9,0,51,39,0.769230769230769,2021-01-05 22:04:54.354216
50,3,CN,海贼༒卡罗特,1374,30,9,0,51,39,0.769230769230769,2021-01-05 22:04:54.489910
50,3,CN,海贼༒卡罗特,1374,30,9,0,51,39,0.769230769230769,2021-01-05 22:04:54.634321
50,3,CN,海贼༒卡罗特,1374,30,9,0,51,39,0.769230769230769,2021-01-05 22:04:54.765527
50,3,CN,海贼༒卡罗特,1374,30,9,0,51,39,0.769230769230769,2021-01-05 22:04:54.910071
50,3,CN,海贼༒卡罗特,1374,30,9,0,51,39,0.769230769230769,2021-01-05 22:04:55.028386
50,3,CN,海贼༒卡罗特,1374,30,9,0,51,39,0.769230769230769,2021-01-05 22:20:07.184685
50,3,CN,海贼༒卡罗特,1374,30,9,0,51,39,0.769230769230769,2021-01-05 22:20:07.313961
50,3,CN,海贼༒卡罗特,1374,30,9,0,51,39,0.769230769230769,2021-01-05 22:20:07.445399
50,3,CN,海贼༒卡罗特,1374,30,9,0,51,39,0.769230769230769,2021-01-05 22:20:07.562281
50,3,CN,海贼༒卡罗特,1374,30,9,0,51,39,0.769230769230769,2021-01-05 22:20:07.690106
50,3,CN,海贼༒卡罗特,1374,30,9,0,51,39,0.769230769230769,2021-01-05 22:20:07.818042
50,3,CN,海贼༒卡罗特,1374,30,9,0,51,39,0.769230769230769,2021-01-05 22:20:07.933271
95,3,CN,海贼༒卡罗特,1397,47,22,0,96,69,0.6811594202898551,2021-01-06 12:13:39.879054
95,3,CN,海贼༒卡罗特,1397,47,22,0,96,69,0.6811594202898551,2021-01-06 12:13:40.003187
95,3,CN,海贼༒卡罗特,1397,47,22,0,96,69,0.6811594202898551,2021-01-06 12:13:40.148167
95,3,CN,海贼༒卡罗特,1397,47,22,0,96,69,0.6811594202898551,2021-01-06 12:13:40.260149
95,3,CN,海贼༒卡罗特,1397,47,22,0,96,69,0.6811594202898551,2021-01-06 12:13:40.380660
95,3,CN,海贼༒卡罗特,1397,47,22,0,96,69,0.6811594202898551,2021-01-06 12:13:40.505644
95,3,CN,海贼༒卡罗特,1397,47,22,0,96,69,0.6811594202898551,2021-01-06 12:13:40.634141
95,3,CN,海贼༒卡罗特,1397,47,22,0,96,69,0.6811594202898551,2021-01-06 12:13:41.034204
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-07 03:27:24.867247
