monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Fran,22,30.6,17,77.3,7,31.8,1,4.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,Fran,27,37.5,20,74.1,1,3.7,2,7.4,1,3.7,0,0.0,0,0.0,0,0.0
Giana,52,72.2,39,75.0,0,0.0,12,23.1,1,1.9,2,3.8,1,100.0,1,50.0,<--,Giana,8,11.1,5,62.5,2,25.0,0,0.0,4,50.0,0,0.0,2,50.0,0,0.0
Juno,7,9.7,6,85.7,2,28.6,0,0.0,0,0.0,2,28.6,0,0.0,2,100.0,<--,Juno,25,34.7,21,84.0,1,4.0,2,8.0,0,0.0,1,4.0,0,0.0,1,100.0
Vigor,5,6.9,5,100.0,0,0.0,0,0.0,0,0.0,2,40.0,0,0.0,2,100.0,<--,Vigor,29,40.3,23,79.3,0,0.0,17,58.6,1,3.4,15,51.7,0,0.0,0,0.0
Seara,29,40.3,22,75.9,18,62.1,7,24.1,6,20.7,0,0.0,5,83.3,0,0.0,<--,Seara,33,45.8,24,72.7,25,75.8,2,6.1,5,15.2,1,3.0,2,40.0,0,0.0
Okeanos,56,77.8,40,71.4,8,14.3,6,10.7,34,60.7,0,0.0,25,73.5,0,0.0,<--,Okeanos,12,16.7,11,91.7,0,0.0,4,33.3,6,50.0,0,0.0,1,16.7,0,0.0
Velajuel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Velajuel,20,27.8,20,100.0,3,15.0,0,0.0,1,5.0,0,0.0,0,0.0,0,0.0
Artamiel,5,6.9,4,80.0,0,0.0,1,20.0,0,0.0,2,40.0,0,0.0,1,50.0,<--,Artamiel,4,5.6,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MoLong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,MoLong,4,5.6,2,50.0,4,100.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0
Molly,40,55.6,31,77.5,0,0.0,19,47.5,0,0.0,1,2.5,0,0.0,1,100.0,<--,Molly,9,12.5,7,77.8,0,0.0,6,66.7,3,33.3,0,0.0,1,33.3,0,0.0
Jager,18,25.0,13,72.2,5,27.8,3,16.7,0,0.0,1,5.6,0,0.0,0,0.0,<--,Jager,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU,19,26.4,12,63.2,11,57.9,3,15.8,0,0.0,3,15.8,0,0.0,2,66.7,<--,Moore/WaterRYU,1,1.4,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,5,6.9,4,80.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Verdehile,6,8.3,2,33.3,0,0.0,5,83.3,0,0.0,1,16.7,0,0.0,0,0.0
Cheongpung,8,11.1,4,50.0,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,<--,Cheongpung,9,12.5,5,55.6,0,0.0,2,22.2,1,11.1,0,0.0,0,0.0,0,0.0
Woonsa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Woonsa,2,2.8,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Daphnis,16,22.2,16,100.0,14,87.5,0,0.0,0,0.0,2,12.5,0,0.0,2,100.0,<--,Daphnis,9,12.5,5,55.6,1,11.1,1,11.1,0,0.0,3,33.3,0,0.0,1,33.3
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,2,2.8,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TianLang,32,44.4,28,87.5,0,0.0,6,18.8,0,0.0,1,3.1,0,0.0,1,100.0,<--,TianLang,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Anavel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Anavel,2,2.8,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0
Leo,6,8.3,5,83.3,1,16.7,3,50.0,0,0.0,3,50.0,0,0.0,3,100.0,<--,Leo,2,2.8,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Diana,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,5,6.9,4,80.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,1,100.0
Triana,5,6.9,3,60.0,0,0.0,0,0.0,0,0.0,2,40.0,0,0.0,1,50.0,<--,Triana,4,5.6,2,50.0,0,0.0,2,50.0,0,0.0,1,25.0,0,0.0,1,100.0
Bering,5,6.9,3,60.0,0,0.0,1,20.0,0,0.0,1,20.0,0,0.0,1,100.0,<--,Bering,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tablo,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Tablo,2,2.8,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
