monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Vigor,13,43.3,11,84.6,0,0.0,1,7.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vigor,3,10.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Okeanos,14,46.7,14,100.0,1,7.1,1,7.1,0,0.0,0,0.0,0,0.0,0,0.0,<--,Okeanos,8,26.7,6,75.0,1,12.5,0,0.0,1,12.5,0,0.0,1,100.0,0,0.0
Konamiya,6,20.0,6,100.0,0,0.0,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,<--,Konamiya,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Juno,10,33.3,9,90.0,1,10.0,3,30.0,0,0.0,3,30.0,0,0.0,3,100.0,<--,Juno,4,13.3,4,100.0,0,0.0,3,75.0,0,0.0,3,75.0,0,0.0,0,0.0
Seara,23,76.7,20,87.0,16,69.6,6,26.1,13,56.5,0,0.0,12,92.3,0,0.0,<--,Seara,5,16.7,4,80.0,5,100.0,0,0.0,3,60.0,0,0.0,0,0.0,0,0.0
Loren,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Loren,5,16.7,4,80.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0
Triana,8,26.7,7,87.5,0,0.0,2,25.0,0,0.0,1,12.5,0,0.0,1,100.0,<--,Triana,4,13.3,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Ethna,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Ethna,10,33.3,8,80.0,2,20.0,2,20.0,0,0.0,1,10.0,0,0.0,1,100.0
Masha,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Masha,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Fran,8,26.7,6,75.0,1,12.5,1,12.5,2,25.0,0,0.0,1,50.0,0,0.0,<--,Fran,14,46.7,13,92.9,4,28.6,3,21.4,6,42.9,0,0.0,0,0.0,0,0.0
Oberon,7,23.3,7,100.0,2,28.6,2,28.6,0,0.0,3,42.9,0,0.0,3,100.0,<--,Oberon,1,3.3,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Verdehile,1,3.3,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,0,0.0,1,100.0,<--,Verdehile,5,16.7,5,100.0,0,0.0,2,40.0,0,0.0,1,20.0,0,0.0,0,0.0
XingZhe,3,10.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,5,16.7,5,100.0,4,80.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0
Vanessa,2,6.7,1,50.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,1,3.3,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
