battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Molly,Juno,Diana,XingZhe,Triana,Molly,None,XingZhe,Triana,Bastet,Lucifer,Leo,Odin,Lushen,None,Odin,Lucifer,Lushen,2021-01-06 21:13:09,Raii!,GEAN
1,False,Seara,Ganymede,Juno,Verdehile,Triana,None,Triana,Seara,Triana,Okeanos,Chiwu,Ethna,ShiHou,Covenant,Okeanos,None,Chiwu,Covenant,2021-01-06 21:10:57,Raii!,Patisaur
2,True,Okeanos,Ganymede,Yeonhong,Juno,Rica,Okeanos,None,Yeonhong,Rica,Seara,Ethna,Sekhmet,Verdehile,Fran,None,Verdehile,Seara,Fran,2021-01-06 21:07:23,Raii!,[Wish]Clown®
3,False,Okeanos,Ganymede,Yeonhong,Rica,Velajuel,Okeanos,None,Yeonhong,Velajuel,Seara,Fran,Ethna,Triana,Juno,None,Juno,Seara,Juno,2021-01-06 21:03:43,Raii!,[Wish]Clown®
4,True,Juno,Molly,Diana,Rica,Triana,None,Rica,Juno,Triana,Bastet,Lucifer,Leo,Oberon,Lushen,Bastet,None,Oberon,Lushen,2021-01-06 20:59:08,Raii!,GEAN
5,True,Okeanos,Ganymede,Yeonhong,Seara,ShiHou,Okeanos,None,Seara,ShiHou,Fran,Anavel,Verdehile,Velajuel,Leo,None,Velajuel,Velajuel,Leo,2021-01-06 20:56:46,Raii!,Enylem
6,False,Seara,Yeonhong,Rica,Sian,Juno,Seara,None,Seara,Juno,Okeanos,Psamathe,Daphnis,TianLang,Eleanor,None,Eleanor,Psamathe,Eleanor,2021-01-06 20:54:07,Raii!,Bor@m
7,False,Okeanos,Ganymede,Yeonhong,Sian,Vanessa,None,Sian,Yeonhong,Vanessa,Seara,Daphnis,Rica,TianLang,Eleanor,Seara,None,Seara,Eleanor,2021-01-06 20:52:18,Raii!,Bor@m
8,True,Ganymede,Okeanos,Yeonhong,Rica,Seara,None,Rica,Yeonhong,Seara,Chiwu,ShiHou,Vanessa,Ethna,Hathor,Chiwu,None,Vanessa,Hathor,2021-01-06 19:48:02,Raii!,알테프사
9,True,Seara,Yeonhong,Ganymede,Rica,Okeanos,Okeanos,None,Ganymede,Okeanos,Molly,Artamiel,Jager,Velajuel,Fran,None,Fran,Artamiel,Fran,2021-01-06 19:45:36,Raii!,바니횽
10,True,Okeanos,Seara,Juno,Vigor,Triana,Okeanos,None,Seara,Triana,Vanessa,Yeonhong,Lulu,Fran,MoLong,None,Fran,Vanessa,MoLong,2021-01-06 19:41:10,Raii!,규규구구비둘기
11,False,Okeanos,Ganymede,Yeonhong,Rica,Velajuel,Okeanos,None,Ganymede,Velajuel,Seara,Fran,Verdehile,Hathor,Juno,None,Juno,Seara,Juno,2021-01-06 19:38:26,Raii!,吴迪他来了
12,False,Okeanos,Seara,Yeonhong,Vigor,Molly,None,Molly,Seara,Molly,Bernadotte/KEN,Ganymede,Tablo,Woonsa,Barbara,Bernadotte/KEN,None,Tablo,Barbara,2021-01-06 19:31:10,Raii!,ロトねこ
13,True,Seara,Okeanos,Ganymede,Rica,Yeonhong,None,Rica,Seara,Yeonhong,Giana,Jager,Molly,TianLang,Nephthys,Giana,None,Jager,Nephthys,2021-01-06 18:19:28,Raii!,杰咪爸
14,True,Seara,Yeonhong,Ganymede,Rica,Okeanos,Okeanos,None,Seara,Okeanos,Giana,Jager,Molly,Ragdoll,Nephthys,None,Nephthys,Jager,Nephthys,2021-01-06 18:11:41,Raii!,杰咪爸
15,True,Seara,Juno,Verdehile,Vigor,Leo,None,Leo,Seara,Leo,Savannah,Chiwu,Ganymede,Barbara,Okeanos,Okeanos,None,Chiwu,Okeanos,2021-01-07 18:55:16,Raii!,-RememberYS-
16,False,Okeanos,Yeonhong,Seara,Sian,Rica,Okeanos,None,Seara,Rica,Hathor,Ganymede,Vigor,Masha,Amelia,None,Amelia,Hathor,Amelia,2021-01-07 18:52:11,Raii!,AsianGandalf
17,True,Seara,Okeanos,Ganymede,Rica,Yeonhong,Seara,None,Seara,Yeonhong,Giana,Molly,Barbara,Savannah,Juno,None,Juno,Giana,Juno,2021-01-07 18:50:05,Raii!,G-Fam✨
18,True,Ganymede,Okeanos,Yeonhong,Rica,Juno,None,Rica,Yeonhong,Juno,Seara,Hathor,Barbara,Savannah,Fran,Seara,None,Seara,Fran,2021-01-07 18:47:13,Raii!,G-Fam✨
19,False,Okeanos,Seara,Yeonhong,Juno,Leo,Okeanos,None,Seara,Leo,Bastet,Cheongpung,Psamathe,Tablo,Lushen,None,Lushen,Psamathe,Lushen,2021-01-07 18:43:58,Raii!,venry
20,True,Okeanos,Yeonhong,Ganymede,Rica,Seara,None,Rica,Ganymede,Seara,Molly,XingZhe,Vigor,MeiHouWang,Juno,Molly,None,XingZhe,Juno,2021-01-07 18:41:07,Raii!,桜@SWG
