#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
38,4,CA,Raii!,1419,59,31,0,38,90,0.655555555555555,2021-01-06 14:56:09.458869
38,4,CA,Raii!,1419,59,31,0,38,90,0.655555555555555,2021-01-06 17:51:39.527852
38,4,CA,Raii!,1419,59,31,0,38,90,0.655555555555555,2021-01-06 18:40:01.586641
38,4,CA,Raii!,1419,59,31,0,38,90,0.655555555555555,2021-01-06 21:50:22.281621
69,4,CA,Raii!,1419,59,31,0,70,90,0.655555555555555,2021-01-07 02:04:06.899660
69,4,CA,Raii!,1419,59,31,0,70,90,0.655555555555555,2021-01-07 02:04:07.418350
69,4,CA,Raii!,1419,59,31,0,70,90,0.655555555555555,2021-01-07 02:42:41.127120
69,4,CA,Raii!,1419,59,31,0,70,90,0.655555555555555,2021-01-07 02:42:41.629754
69,4,CA,Raii!,1419,59,31,0,70,90,0.655555555555555,2021-01-07 03:27:27.743344
69,4,CA,Raii!,1419,59,31,0,70,90,0.655555555555555,2021-01-07 03:27:28.517320
44,4,CA,Raii!,1434,65,34,0,41,99,0.656565656565656,2021-01-07 03:48:35.816131
44,4,CA,Raii!,1434,65,34,0,41,99,0.656565656565656,2021-01-07 03:48:36.530095
44,4,CA,Raii!,1434,65,34,0,41,99,0.656565656565656,2021-01-07 13:39:12.497380
44,4,CA,Raii!,1434,65,34,0,41,99,0.656565656565656,2021-01-07 13:39:13.230482
44,4,CA,Raii!,1434,65,34,0,41,99,0.656565656565656,2021-01-07 13:39:14.005225
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.167347
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:19.978066
0,1000,GR,greeksteeler,100,0,0,0,0,0,0,2021-01-08 01:08:20.822477
