monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Molly,3,4.0,2,66.7,0,0.0,1,33.3,1,33.3,1,33.3,1,100.0,0,0.0,<--,Molly,18,24.0,14,77.8,0,0.0,0,0.0,5,27.8,1,5.6,1,20.0,0,0.0
Juno,24,32.0,16,66.7,1,4.2,7,29.2,0,0.0,4,16.7,0,0.0,2,50.0,<--,Juno,15,20.0,8,53.3,1,6.7,8,53.3,0,0.0,5,33.3,0,0.0,2,40.0
Diana,3,4.0,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Diana,2,2.7,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
XingZhe,1,1.3,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,XingZhe,3,4.0,3,100.0,3,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Triana,6,8.0,5,83.3,0,0.0,4,66.7,0,0.0,2,33.3,0,0.0,1,50.0,<--,Triana,2,2.7,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Bastet,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Bastet,5,6.7,4,80.0,1,20.0,1,20.0,2,40.0,1,20.0,0,0.0,0,0.0
Lucifer,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lucifer,2,2.7,2,100.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Leo,4,5.3,1,25.0,0,0.0,3,75.0,0,0.0,1,25.0,0,0.0,1,100.0,<--,Leo,10,13.3,6,60.0,1,10.0,7,70.0,0,0.0,1,10.0,0,0.0,1,100.0
Odin,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Odin,1,1.3,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0
Lushen,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Lushen,4,5.3,3,75.0,0,0.0,3,75.0,0,0.0,1,25.0,0,0.0,1,100.0
Seara,44,58.7,30,68.2,33,75.0,7,15.9,2,4.5,0,0.0,1,50.0,0,0.0,<--,Seara,28,37.3,16,57.1,22,78.6,3,10.7,10,35.7,0,0.0,2,20.0,0,0.0
