battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Seara,Chiwu,Fran,Savannah,Rica,None,Rica,Chiwu,Rica,XingZhe,Molly,Vanessa,Platy,Okeanos,Okeanos,None,Vanessa,Okeanos,2021-01-07 04:28:05,Raxxaz~,°빛대
1,True,Okeanos,Chiwu,Seara,Savannah,Triton,None,Triton,Chiwu,Triton,Wedjat,Bastet,Odin,Baleygr,Psamathe,Wedjat,None,Wedjat,Psamathe,2021-01-07 04:14:13,Raxxaz~,“nao”
2,True,Seara,Chiwu,Okeanos,Savannah,Triton,None,Triton,Chiwu,Triton,Bastet,Lucifer,Lushen,Psamathe,Leo,Bastet,None,Psamathe,Leo,2021-01-07 04:11:31,Raxxaz~,✨非洲阿潇✨
3,True,Okeanos,Fran,Verdehile,Juno,Savannah,Okeanos,None,Juno,Savannah,Seara,Chiwu,Giana,Hathor,Barbara,None,Barbara,Chiwu,Barbara,2021-01-07 04:06:27,Raxxaz~,o2loveo
4,False,Seara,Fran,Chiwu,Savannah,Leo,None,Leo,Chiwu,Leo,Okeanos,Shimitae,Bastet,Trinity,Woonsa,Okeanos,None,Trinity,Woonsa,2021-01-07 04:01:52,Raxxaz~,KĪRĪN_
5,True,Okeanos,Chiwu,Psamathe,Triton,Savannah,Okeanos,None,Psamathe,Savannah,Seara,Giana,Moore/WaterRYU1,Fran,Leo,None,Leo,Moore/WaterRYU1,Leo,2021-01-07 03:58:04,Raxxaz~,o2loveo
6,False,Okeanos,Chiwu,Savannah,Rica,Dover,Okeanos,None,Chiwu,Dover,Seara,Yeonhong,MeiHouWang,Leo,Tetra,None,Tetra,Seara,Tetra,2021-01-07 03:53:28,Raxxaz~,Duhstin
7,True,Okeanos,Chiwu,Savannah,Diana,Leo,Okeanos,None,Chiwu,Leo,Bastet,Shimitae,Triton,Miho,Poseidon,None,Miho,Shimitae,Poseidon,2021-01-07 03:47:38,Raxxaz~,XカブレラX
8,False,Seara,Fran,Ganymede,Bellenus,Chiwu,None,Bellenus,Seara,Chiwu,Okeanos,Cheongpung,Daphnis,Verdehile,Velajuel,Okeanos,None,Okeanos,Velajuel,2021-01-07 03:44:34,Raxxaz~,Nect
9,True,Okeanos,Fran,Savannah,Ganymede,Seara,Okeanos,None,Fran,Seara,Han,Nephthys,Molly,Cheongpung,Woonsa,None,Cheongpung,Nephthys,Woonsa,2021-01-07 01:50:59,Raxxaz~,PRO༊
10,True,Seara,Fran,Savannah,Dover,Chiwu,None,Dover,Seara,Chiwu,Okeanos,Eshir,Barbara,Ethna,Tablo,Okeanos,None,Ethna,Tablo,2021-01-07 01:34:16,Raxxaz~,Viilipytty
11,True,Okeanos,Savannah,Psamathe,Ganymede,Chiwu,Okeanos,None,Psamathe,Chiwu,Seara,Barbara,Velajuel,Rica,Wolyung,None,Rica,Seara,Wolyung,2021-01-07 01:29:16,Raxxaz~,Nisalis
12,True,Okeanos,Savannah,Ganymede,Bellenus,Chiwu,None,Bellenus,Ganymede,Chiwu,Seara,Fran,Ethna,Juno,Verdehile,Seara,None,Seara,Verdehile,2021-01-07 01:25:05,Raxxaz~,Awesomeheid
13,False,Seara,Chiwu,Verdehile,Dover,Fran,None,Dover,Chiwu,Fran,Okeanos,Savannah,Ganymede,Moore/WaterRYU1,TianLang,Okeanos,None,Moore/WaterRYU1,TianLang,2021-01-07 01:20:54,Raxxaz~,PinkRoid~
14,False,Seara,Fran,Chiwu,Ganymede,Dover,None,Dover,Seara,Dover,Okeanos,Savannah,Verdehile,Vanessa,Moore/WaterRYU1,Okeanos,None,Vanessa,Moore/WaterRYU1,2021-01-07 01:15:08,Raxxaz~,PinkRoid~
15,True,Okeanos,Savannah,Ganymede,Juno,Chiwu,Okeanos,None,Juno,Chiwu,Seara,Fran,Molly,Barbara,Giana,None,Giana,Seara,Giana,2021-01-07 15:56:27,Raxxaz~,G-Fam✨
16,True,Seara,Chiwu,Fran,Rica,Praha,None,Praha,Seara,Praha,Okeanos,Vanessa,Woosa,MeiHouWang,Yeonhong,Okeanos,None,Vanessa,Yeonhong,2021-01-07 05:11:57,Raxxaz~,Duhstin
17,False,Okeanos,Seara,Praha,Vigor,Verdehile,Okeanos,None,Okeanos,Verdehile,Molly,Juno,Leo,MeiHouWang,Diana,None,Diana,MeiHouWang,Diana,2021-01-07 05:01:27,Raxxaz~,Ꮤ﹏椛落✿知秋
18,True,Chiwu,Psamathe,Leo,Rica,Verdehile,None,Rica,Psamathe,Verdehile,Okeanos,Moore/WaterRYU1,Cheongpung,Wolyung,Lushen,Okeanos,None,Wolyung,Lushen,2021-01-07 04:53:08,Raxxaz~,SheisouTV
19,False,Psamathe,Triton,Chiwu,Leo,Okeanos,Okeanos,None,Psamathe,Okeanos,Nicki,Shimitae,Bernard,Cheongpung,Wolyung,None,Cheongpung,Shimitae,Wolyung,2021-01-07 04:49:43,Raxxaz~,SheisouTV
20,True,Okeanos,Fran,Chiwu,Savannah,Seara,Okeanos,None,Chiwu,Seara,Molly,MoLong,Velajuel,Leona,Ragdoll,None,Leona,MoLong,Ragdoll,2021-01-07 04:42:40,Raxxaz~,JUN☆★
21,True,Seara,Okeanos,Chiwu,Triton,Dover,None,Dover,Okeanos,Dover,Praha,Ursha,Nyx,Helena,Eleanor,Praha,None,Nyx,Eleanor,2021-01-07 04:32:55,Raxxaz~,St34my
22,True,Seara,Fran,Vigor,Praha,Rica,None,Rica,Seara,Rica,Ragdoll,Chiwu,Okeanos,Molly,Cheongpung,Ragdoll,None,Chiwu,Cheongpung,2021-01-08 00:26:44,Raxxaz~,TrueWhale
23,True,Seara,Chiwu,Savannah,Juno,Okeanos,None,Juno,Chiwu,Okeanos,Hathor,Fran,Vanessa,Ganymede,Verdehile,Hathor,None,Vanessa,Verdehile,2021-01-07 23:58:36,Raxxaz~,三玖は俺の嫁
24,True,Okeanos,Fran,Juno,Praha,Seara,Okeanos,None,Juno,Seara,Vigor,Leo,Velajuel,Pater,Molly,None,Pater,Velajuel,Molly,2021-01-07 22:36:24,Raxxaz~,✎﹏ղấლ‿✶
25,True,Seara,Fran,Chiwu,Savannah,Okeanos,Okeanos,None,Chiwu,Okeanos,Cheongpung,Pater,Juno,Karnal/FireM.BISON1,Wolyung,None,Karnal/FireM.BISON1,Karnal/FireM.BISON1,Wolyung,2021-01-07 22:28:56,Raxxaz~,Taniss
26,False,Okeanos,Chiwu,Savannah,Tetra,Molly,Okeanos,None,Chiwu,Molly,Giana,Verdehile,Moore/WaterRYU1,QitianDasheng,Seara,None,QitianDasheng,Moore/WaterRYU1,Seara,2021-01-07 22:23:44,Raxxaz~,삞묦돓
27,True,Seara,Juno,Praha,Molly,Leo,Seara,None,Seara,Leo,Moore/WaterRYU,Okeanos,Hathor,Ganymede,Verdehile,None,Verdehile,Moore/WaterRYU,Verdehile,2021-01-08 07:56:11,Raxxaz~,fallenwizard
28,True,Seara,Okeanos,Juno,Molly,Leo,None,Leo,Seara,Leo,Fran,Chiwu,Savannah,Barbara,Loren,Fran,None,Chiwu,Loren,2021-01-08 07:49:25,Raxxaz~,The･ROCK!!
29,True,Okeanos,Fran,Savannah,Rica,Chiwu,None,Chiwu,Fran,Chiwu,Loren,Verdehile,Daphnis,Barbara,Seara,Seara,None,Daphnis,Seara,2021-01-08 07:45:43,Raxxaz~,The･ROCK!!
30,True,Okeanos,Seara,Fran,Savannah,Chiwu,Okeanos,None,Seara,Chiwu,Molly,Elsharion,Triana,Diana,Ragdoll,None,Diana,Elsharion,Ragdoll,2021-01-08 07:38:54,Raxxaz~,Ryuji@
31,True,Seara,Okeanos,Tetra,Juno,Molly,None,Molly,Seara,Molly,Chiwu,Giana,QitianDasheng,Savannah,Poseidon,Chiwu,None,Chiwu,Poseidon,2021-01-08 07:33:08,Raxxaz~,#Maximus
32,True,Seara,Okeanos,Tetra,Juno,Molly,None,Molly,Seara,Molly,Psamathe,Chiwu,Giana,QitianDasheng,Poseidon,Psamathe,None,Psamathe,Poseidon,2021-01-08 07:28:24,Raxxaz~,#Maximus
33,False,Chiwu,Savannah,Fran,Ganymede,Okeanos,Okeanos,None,Chiwu,Okeanos,Seara,Hathor,Verdehile,Leona,Amelia,None,Leona,Hathor,Amelia,2021-01-08 07:25:09,Raxxaz~,Reivan
34,True,Okeanos,Chiwu,Psamathe,Triton,Savannah,Okeanos,None,Psamathe,Savannah,Seara,Barbara,Daphnis,Tablo,Verdehile,None,Verdehile,Seara,Verdehile,2021-01-08 07:18:56,Raxxaz~,1piss
35,True,Seara,Fran,Juno,Molly,Rica,None,Rica,Seara,Rica,Moore/WaterRYU,Savannah,Cheongpung,TianLang,Okeanos,Okeanos,None,Moore/WaterRYU,Okeanos,2021-01-08 07:12:41,Raxxaz~,俏皮可爱小尾巴
36,True,Okeanos,Chiwu,Rica,Bellenus,Psamathe,Okeanos,None,Chiwu,Psamathe,Wolyung,Shimitae,Kabilla,Verdehile,Barbara,None,Barbara,Wolyung,Barbara,2021-01-08 07:09:01,Raxxaz~,SheisouTV
37,True,Okeanos,Chiwu,Triton,Savannah,Psamathe,Okeanos,None,Chiwu,Psamathe,Wolyung,Seara,Cheongpung,Moore/WaterRYU1,Verdehile,None,Verdehile,Wolyung,Verdehile,2021-01-08 07:05:55,Raxxaz~,SheisouTV
38,True,Okeanos,Chiwu,Savannah,Psamathe,Triton,Okeanos,None,Psamathe,Triton,Seara,Bastet,Vanessa,Lushen,Woonsa,None,Woonsa,Vanessa,Woonsa,2021-01-08 06:59:56,Raxxaz~,おじいぺん
39,True,Seara,Fran,Ganymede,Masha,Chiwu,None,Masha,Seara,Chiwu,Okeanos,Cheongpung,Savannah,Helena,Juno,Okeanos,None,Okeanos,Juno,2021-01-08 06:48:53,Raxxaz~,MadcuzBad
