#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
6,6,DE,Raxxaz~,1479,57,23,0,7,80,0.7125,2021-01-06 14:35:26.242133
6,6,DE,Raxxaz~,1479,57,23,0,7,80,0.7125,2021-01-06 14:56:09.014276
6,6,DE,Raxxaz~,1479,57,23,0,7,80,0.7125,2021-01-06 17:51:39.122203
6,6,DE,Raxxaz~,1479,57,23,0,7,80,0.7125,2021-01-06 18:40:01.153297
6,6,DE,Raxxaz~,1479,57,23,0,7,80,0.7125,2021-01-06 21:50:21.870692
9,6,DE,Raxxaz~,1486,61,25,0,10,86,0.709302325581395,2021-01-07 02:04:06.471386
9,6,DE,Raxxaz~,1486,61,25,0,10,86,0.709302325581395,2021-01-07 02:04:07.317845
9,6,DE,Raxxaz~,1486,61,25,0,10,86,0.709302325581395,2021-01-07 02:42:40.693500
9,6,DE,Raxxaz~,1486,61,25,0,10,86,0.709302325581395,2021-01-07 02:42:41.532228
9,6,DE,Raxxaz~,1486,61,25,0,10,86,0.709302325581395,2021-01-07 03:27:26.900132
9,6,DE,Raxxaz~,1486,61,25,0,10,86,0.709302325581395,2021-01-07 03:27:28.324181
10,6,DE,Raxxaz~,1486,61,25,0,11,86,0.709302325581395,2021-01-07 03:48:35.037822
10,6,DE,Raxxaz~,1486,61,25,0,11,86,0.709302325581395,2021-01-07 03:48:36.349083
10,6,DE,Raxxaz~,1486,61,25,0,11,86,0.709302325581395,2021-01-07 03:48:36.743922
10,6,DE,Raxxaz~,1486,61,25,0,11,86,0.709302325581395,2021-01-07 13:39:11.699131
10,6,DE,Raxxaz~,1486,61,25,0,11,86,0.709302325581395,2021-01-07 13:39:13.047135
10,6,DE,Raxxaz~,1486,61,25,0,11,86,0.709302325581395,2021-01-07 13:39:13.451282
4,6,DE,Raxxaz~,1556,81,30,0,5,111,0.729729729729729,2021-01-08 01:08:18.231428
4,6,DE,Raxxaz~,1556,81,30,0,5,111,0.729729729729729,2021-01-08 01:08:19.777587
4,6,DE,Raxxaz~,1556,81,30,0,5,111,0.729729729729729,2021-01-08 01:08:20.218437
4,6,DE,Raxxaz~,1556,81,30,0,5,111,0.729729729729729,2021-01-08 01:08:21.070254
4,6,DE,Raxxaz~,1556,81,30,0,5,111,0.729729729729729,2021-01-08 01:08:21.327449
