monster_name,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,monster,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc
Okeanos,92,70.8,72,78.3,1,1.1,12,13.0,38,41.3,0,0.0,29,76.3,0,0.0,<--,Okeanos,37,28.5,23,62.2,4,10.8,13,35.1,23,62.2,0,0.0,10,43.5,0,0.0
Fran,29,22.3,22,75.9,5,17.2,6,20.7,1,3.4,0,0.0,1,100.0,0,0.0,<--,Fran,25,19.2,19,76.0,4,16.0,6,24.0,3,12.0,0,0.0,0,0.0,0,0.0
Vanessa,38,29.2,29,76.3,32,84.2,6,15.8,0,0.0,0,0.0,0,0.0,0,0.0,<--,Vanessa,9,6.9,4,44.4,9,100.0,0,0.0,2,22.2,0,0.0,0,0.0,0,0.0
Rica,13,10.0,9,69.2,0,0.0,3,23.1,0,0.0,8,61.5,0,0.0,6,75.0,<--,Rica,10,7.7,7,70.0,0,0.0,4,40.0,0,0.0,4,40.0,0,0.0,1,25.0
Giana,123,94.6,92,74.8,11,8.9,40,32.5,17,13.8,1,0.8,12,70.6,1,100.0,<--,Giana,7,5.4,4,57.1,0,0.0,1,14.3,1,14.3,0,0.0,1,100.0,0,0.0
Seara,57,43.8,43,75.4,28,49.1,11,19.3,0,0.0,1,1.8,0,0.0,1,100.0,<--,Seara,62,47.7,47,75.8,46,74.2,7,11.3,24,38.7,1,1.6,5,20.8,0,0.0
Ganymede,47,36.2,34,72.3,1,2.1,3,6.4,0,0.0,2,4.3,0,0.0,2,100.0,<--,Ganymede,13,10.0,8,61.5,3,23.1,0,0.0,1,7.7,1,7.7,1,100.0,0,0.0
Jager,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Jager,10,7.7,8,80.0,1,10.0,1,10.0,0,0.0,2,20.0,0,0.0,2,100.0
Yeonhong,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Yeonhong,6,4.6,5,83.3,1,16.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Molly,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Molly,30,23.1,22,73.3,0,0.0,11,36.7,4,13.3,0,0.0,0,0.0,0,0.0
Chiwu,55,42.3,36,65.5,29,52.7,4,7.3,0,0.0,0,0.0,0,0.0,0,0.0,<--,Chiwu,22,16.9,16,72.7,11,50.0,7,31.8,2,9.1,0,0.0,1,50.0,0,0.0
Savannah,41,31.5,29,70.7,0,0.0,11,26.8,0,0.0,4,9.8,0,0.0,3,75.0,<--,Savannah,20,15.4,16,80.0,0,0.0,1,5.0,0,0.0,2,10.0,0,0.0,0,0.0
Psamathe,7,5.4,4,57.1,5,71.4,2,28.6,0,0.0,2,28.6,0,0.0,1,50.0,<--,Psamathe,6,4.6,6,100.0,5,83.3,1,16.7,1,16.7,0,0.0,0,0.0,0,0.0
Praha,11,8.5,10,90.9,2,18.2,0,0.0,0,0.0,4,36.4,0,0.0,3,75.0,<--,Praha,4,3.1,4,100.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0
Shan,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Shan,1,0.8,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Douglas/FireRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Douglas/FireRYU1,1,0.8,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Eshir,2,1.5,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,<--,Eshir,4,3.1,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ShiHou,2,1.5,1,50.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,1,50.0,<--,ShiHou,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Moore/WaterRYU1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Moore/WaterRYU1,16,12.3,9,56.2,5,31.2,4,25.0,1,6.2,0,0.0,1,100.0,0,0.0
Verdehile,9,6.9,5,55.6,0,0.0,1,11.1,0,0.0,2,22.2,0,0.0,1,50.0,<--,Verdehile,29,22.3,22,75.9,0,0.0,6,20.7,0,0.0,6,20.7,0,0.0,1,16.7
Anavel,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Anavel,8,6.2,5,62.5,0,0.0,3,37.5,0,0.0,2,25.0,0,0.0,1,50.0
XingZhe,33,25.4,24,72.7,12,36.4,5,15.2,0,0.0,6,18.2,0,0.0,5,83.3,<--,XingZhe,9,6.9,7,77.8,3,33.3,3,33.3,0,0.0,1,11.1,0,0.0,1,100.0
Barbara,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Barbara,18,13.8,12,66.7,0,0.0,2,11.1,0,0.0,0,0.0,0,0.0,0,0.0
Shimitae,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,<--,Shimitae,3,2.3,1,33.3,2,66.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
