battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
0,True,Okeanos,Wolyung,Shimitae,Lushen,Bernard,None,Lushen,Wolyung,Bernard,Vanessa,Hathor,SonZhangLao,Triana,Moore/WaterRYU,Vanessa,None,Vanessa,Moore/WaterRYU,2021-01-06 07:14:33,SheisouTV,fallenwizard
1,False,Okeanos,Eshir,Seara,Leah/LightCHUN-LI1,Wolyung,None,Leah/LightCHUN-LI1,Seara,Wolyung,Chiwu,Vanessa,Yeonhong,Triana,Diana,Chiwu,None,Vanessa,Diana,2021-01-06 07:11:47,SheisouTV,Michelin***
2,True,Wolyung,Okeanos,Kahli,Seara,Mephisto,None,Mephisto,Wolyung,Mephisto,Ragdoll,Leo,Molly,Taranys,Beelzebub,Ragdoll,None,Leo,Beelzebub,2021-01-06 07:07:27,SheisouTV,G-Fam✨
3,True,Wolyung,Kahli,Seara,Odin,Raki,None,Raki,Wolyung,Raki,MoLong,Triana,Miho,Psamathe,Hwadam,MoLong,None,MoLong,Hwadam,2021-01-06 06:10:03,SheisouTV,[AK]GamwTonDia
4,False,Wolyung,Nicki,Bernard,Seara,Lushen,None,Seara,Wolyung,Lushen,Okeanos,XingZhe,Molly,Leo,Vanessa,Okeanos,None,XingZhe,Vanessa,2021-01-06 06:07:16,SheisouTV,°빛대
5,True,Wolyung,Nicki,Bernard,Julie,Lushen,Wolyung,None,Wolyung,Lushen,Okeanos,Molly,Juno,XingZhe,Leo,None,XingZhe,XingZhe,Leo,2021-01-06 06:04:13,SheisouTV,大V威
6,False,Wolyung,Nicki,Leah/LightCHUN-LI1,Okeanos,Lushen,Wolyung,None,Wolyung,Lushen,Juno,Molly,Triana,Diana,Leo,None,Leo,Juno,Leo,2021-01-06 05:57:55,SheisouTV,Raii!
7,True,Wolyung,Okeanos,Shimitae,Bernard,Lushen,Wolyung,None,Wolyung,Lushen,Seara,Giana,Nicki,Valantis,Leo,None,Leo,Seara,Leo,2021-01-06 05:55:57,SheisouTV,大V威
8,True,Okeanos,Shimitae,Bernard,Lushen,Wolyung,None,Lushen,Shimitae,Wolyung,Seara,Giana,Ganymede,Triana,Vanessa,Seara,None,Seara,Vanessa,2021-01-06 05:54:22,SheisouTV,~khaii~
9,True,Wolyung,Nicki,Shimitae,Leah/LightCHUN-LI1,Bernard,None,Leah/LightCHUN-LI1,Wolyung,Bernard,Okeanos,Moore/WaterRYU1,Seara,Daphnis,Barbara,Okeanos,None,Moore/WaterRYU1,Barbara,2021-01-06 05:51:44,SheisouTV,Alzaher
10,True,Okeanos,Bernard,Shimitae,Lushen,Wolyung,None,Lushen,Shimitae,Wolyung,Seara,Barbara,Yeonhong,Leo,Psamathe,Seara,None,Seara,Psamathe,2021-01-06 05:41:37,SheisouTV,ThatOneGuy49
11,True,Okeanos,Lushen,Bernard,Shimitae,Wolyung,None,Shimitae,Shimitae,Wolyung,Seara,Fran,Yeonhong,Barbara,Ragdoll,Seara,None,Seara,Ragdoll,2021-01-06 05:39:22,SheisouTV,Happyzle
12,False,Wolyung,Nicki,Okeanos,Leah/LightCHUN-LI1,Lushen,Wolyung,None,Wolyung,Lushen,Alexandra,Molly,XingZhe,Abellio,Diana,None,Abellio,XingZhe,Diana,2021-01-06 05:36:44,SheisouTV,.Namaste.
13,True,Okeanos,Bernard,Lushen,Julie,Wolyung,None,Julie,Bernard,Wolyung,Velajuel,Taranys,Leo,Juno,Wedjat,Velajuel,None,Leo,Wedjat,2021-01-06 05:33:20,SheisouTV,おさださん
14,False,Wolyung,Psamathe,Bernard,Okeanos,Lushen,Wolyung,None,Psamathe,Lushen,Chiwu,Barbara,Molly,Diana,Rica,None,Rica,Chiwu,Rica,2021-01-06 05:29:02,SheisouTV,☆étoile☆
