#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
6,1,KR,삞싥뭃,1438,58,24,1,7,83,0.698795180722891,2021-01-05 22:04:55.250101
6,1,KR,삞싥뭃,1438,58,24,1,7,83,0.698795180722891,2021-01-05 22:20:08.150314
4,1,KR,삞싥뭃,1480,64,24,1,5,89,0.719101123595505,2021-01-06 12:13:40.878016
4,1,KR,삞싥뭃,1480,64,24,1,5,89,0.719101123595505,2021-01-06 12:13:41.164397
5,1,KR,삞싥뭃,1480,64,24,1,6,89,0.719101123595505,2021-01-06 14:35:25.710560
5,1,KR,삞싥뭃,1480,64,24,1,6,89,0.719101123595505,2021-01-06 14:35:25.999528
5,1,KR,삞싥뭃,1480,64,24,1,6,89,0.719101123595505,2021-01-06 14:56:08.519504
5,1,KR,삞싥뭃,1480,64,24,1,6,89,0.719101123595505,2021-01-06 14:56:08.777224
5,1,KR,삞싥뭃,1480,64,24,1,6,89,0.719101123595505,2021-01-06 17:51:38.681736
5,1,KR,삞싥뭃,1480,64,24,1,6,89,0.719101123595505,2021-01-06 17:51:38.920309
5,1,KR,삞싥뭃,1480,64,24,1,6,89,0.719101123595505,2021-01-06 18:40:00.675865
5,1,KR,삞싥뭃,1480,64,24,1,6,89,0.719101123595505,2021-01-06 18:40:00.933876
5,1,KR,삞싥뭃,1480,64,24,1,6,89,0.719101123595505,2021-01-06 21:50:21.424254
5,1,KR,삞싥뭃,1480,64,24,1,6,89,0.719101123595505,2021-01-06 21:50:21.672142
7,1,KR,삞싥뭃,1496,68,25,1,8,94,0.7234042553191491,2021-01-07 02:04:06.003299
7,1,KR,삞싥뭃,1496,68,25,1,8,94,0.7234042553191491,2021-01-07 02:04:06.262003
7,1,KR,삞싥뭃,1496,68,25,1,8,94,0.7234042553191491,2021-01-07 02:42:40.221482
7,1,KR,삞싥뭃,1496,68,25,1,8,94,0.7234042553191491,2021-01-07 02:42:40.479797
7,1,KR,삞싥뭃,1496,68,25,1,8,94,0.7234042553191491,2021-01-07 03:27:26.215320
7,1,KR,삞싥뭃,1496,68,25,1,8,94,0.7234042553191491,2021-01-07 03:27:26.619157
3,1,KR,삞싥뭃,1502,69,25,1,4,95,0.726315789473684,2021-01-07 03:48:34.433550
3,1,KR,삞싥뭃,1502,69,25,1,4,95,0.726315789473684,2021-01-07 03:48:34.785214
3,1,KR,삞싥뭃,1502,69,25,1,4,95,0.726315789473684,2021-01-07 13:39:11.072304
3,1,KR,삞싥뭃,1502,69,25,1,4,95,0.726315789473684,2021-01-07 13:39:11.432239
2,1,KR,삞싥뭃,1613,103,32,1,3,136,0.75735294117647,2021-01-08 01:08:17.524285
2,1,KR,삞싥뭃,1613,103,32,1,3,136,0.75735294117647,2021-01-08 01:08:17.944730
